dataset,model,method,method_label,seed,L,T,site,sigma,sigma_scale,scale_reference,actual_sigma,noise_repeat,noise_seed,accuracy,checkpoint
fashion_mnist,cnn6_vgg,manual_l2_all,Manual L2 (all params),42,16,16,post_input_if,0.05,input_if_threshold,4.21175337,0.210587668,1,20302902,82.080000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_manual_l2_all_rc0p00025_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,manual_l2_all,Manual L2 (all params),42,16,16,post_input_if,0.05,input_if_threshold,4.21175337,0.210587668,2,20302903,81.770000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_manual_l2_all_rc0p00025_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,manual_l2_all,Manual L2 (all params),42,16,16,post_input_if,0.05,input_if_threshold,4.21175337,0.210587668,3,20302904,81.450000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_manual_l2_all_rc0p00025_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,manual_l2_all,Manual L2 (all params),42,16,16,post_input_if,0.05,input_if_threshold,4.21175337,0.210587668,4,20302905,81.670000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_manual_l2_all_rc0p00025_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,manual_l2_all,Manual L2 (all params),42,16,16,post_input_if,0.1,input_if_threshold,4.21175337,0.421175337,0,20303001,68.020000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_manual_l2_all_rc0p00025_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,manual_l2_all,Manual L2 (all params),42,16,16,post_input_if,0.1,input_if_threshold,4.21175337,0.421175337,1,20303002,68.020000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_manual_l2_all_rc0p00025_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,manual_l2_all,Manual L2 (all params),42,16,16,post_input_if,0.1,input_if_threshold,4.21175337,0.421175337,2,20303003,68.210000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_manual_l2_all_rc0p00025_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,manual_l2_all,Manual L2 (all params),42,16,16,post_input_if,0.1,input_if_threshold,4.21175337,0.421175337,3,20303004,68.440000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_manual_l2_all_rc0p00025_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,manual_l2_all,Manual L2 (all params),42,16,16,post_input_if,0.1,input_if_threshold,4.21175337,0.421175337,4,20303005,68.250000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_manual_l2_all_rc0p00025_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,manual_l2_all,Manual L2 (all params),42,16,16,post_input_if,0.15,input_if_threshold,4.21175337,0.631763005,0,20303101,54.330000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_manual_l2_all_rc0p00025_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,manual_l2_all,Manual L2 (all params),42,16,16,post_input_if,0.15,input_if_threshold,4.21175337,0.631763005,1,20303102,54.480000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_manual_l2_all_rc0p00025_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,manual_l2_all,Manual L2 (all params),42,16,16,post_input_if,0.15,input_if_threshold,4.21175337,0.631763005,2,20303103,54.640000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_manual_l2_all_rc0p00025_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,manual_l2_all,Manual L2 (all params),42,16,16,post_input_if,0.15,input_if_threshold,4.21175337,0.631763005,3,20303104,54.720000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_manual_l2_all_rc0p00025_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,manual_l2_all,Manual L2 (all params),42,16,16,post_input_if,0.15,input_if_threshold,4.21175337,0.631763005,4,20303105,54.130000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_manual_l2_all_rc0p00025_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,manual_l2_all,Manual L2 (all params),42,16,16,post_input_if,0.2,input_if_threshold,4.21175337,0.842350674,0,20303201,43.790000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_manual_l2_all_rc0p00025_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,manual_l2_all,Manual L2 (all params),42,16,16,post_input_if,0.2,input_if_threshold,4.21175337,0.842350674,1,20303202,43.080000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_manual_l2_all_rc0p00025_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,manual_l2_all,Manual L2 (all params),42,16,16,post_input_if,0.2,input_if_threshold,4.21175337,0.842350674,2,20303203,43.480000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_manual_l2_all_rc0p00025_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,manual_l2_all,Manual L2 (all params),42,16,16,post_input_if,0.2,input_if_threshold,4.21175337,0.842350674,3,20303204,43.460000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_manual_l2_all_rc0p00025_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,manual_l2_all,Manual L2 (all params),42,16,16,post_input_if,0.2,input_if_threshold,4.21175337,0.842350674,4,20303205,43.340000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_manual_l2_all_rc0p00025_seed42_ep30_L16_trainT0.pth
