experiment,dataset,arch,hidden_size,method,regularizer,DRS_mean,DRS_std,DRS_sem,AUC_RS_mean,AUC_RS_std,n_seeds
cifar100_vgg16,cifar100,vgg16,,mne_l2,mne_l2,0.999625,0.000186,0.000083,0.999152,0.001551,5
cifar100_vgg16,cifar100,vgg16,,no_regularization,no_regularization,0.999828,0.000127,0.000074,1.001267,0.002759,3
imagenet_resnet18,imagenet,resnet18,,weight_decay,weight_decay,0.217329,0.000000,0.000000,0.000000,0.000000,1
imagenet_resnet18,imagenet,resnet18,,mne_l2,mne_l2,0.819477,0.000000,0.000000,0.000000,0.000000,1
imagenet_resnet18,imagenet,resnet18,,no_regularization,no_regularization,0.763005,0.000000,0.000000,0.000000,0.000000,1
fc3_strict_seed_rate_uniform,mnist,fc3_h128,128,mne_l2,mne_l2,0.999775,0.000068,0.000030,0.998575,0.000269,5
fc3_strict_seed_rate_uniform,mnist,fc3_h128,128,no_regularization,no_regularization,0.993486,0.006242,0.002792,0.985461,0.009398,5
fc3_strict_seed_rate_uniform,mnist,fc3_h128,128,weight_decay,weight_decay,0.999681,0.000065,0.000029,0.998402,0.000329,5
fc3_strict_seed_rate_uniform,mnist,fc3_h16,16,mne_l2,mne_l2,0.999244,0.000170,0.000076,0.997223,0.000627,5
fc3_strict_seed_rate_uniform,mnist,fc3_h16,16,no_regularization,no_regularization,0.920649,0.034419,0.015392,0.908335,0.034553,5
fc3_strict_seed_rate_uniform,mnist,fc3_h16,16,weight_decay,weight_decay,0.994006,0.003850,0.001722,0.981985,0.006473,5
fc3_strict_seed_rate_uniform,mnist,fc3_h32,32,mne_l2,mne_l2,0.999458,0.000142,0.000063,0.997713,0.000470,5
fc3_strict_seed_rate_uniform,mnist,fc3_h32,32,no_regularization,no_regularization,0.997865,0.001501,0.000671,0.991179,0.002396,5
fc3_strict_seed_rate_uniform,mnist,fc3_h32,32,weight_decay,weight_decay,0.999534,0.000190,0.000085,0.997202,0.000377,5
fc3_strict_seed_rate_uniform,mnist,fc3_h4,4,mne_l2,mne_l2,0.996894,0.002591,0.001159,0.991974,0.007932,5
fc3_strict_seed_rate_uniform,mnist,fc3_h4,4,no_regularization,no_regularization,0.699901,0.074922,0.033506,0.660140,0.083665,5
fc3_strict_seed_rate_uniform,mnist,fc3_h4,4,weight_decay,weight_decay,0.751656,0.126491,0.056568,0.724915,0.138565,5
fc3_strict_seed_rate_uniform,mnist,fc3_h64,64,mne_l2,mne_l2,0.999599,0.000095,0.000043,0.998071,0.000874,5
fc3_strict_seed_rate_uniform,mnist,fc3_h64,64,no_regularization,no_regularization,0.998152,0.001353,0.000605,0.991500,0.004855,5
fc3_strict_seed_rate_uniform,mnist,fc3_h64,64,weight_decay,weight_decay,0.999680,0.000209,0.000094,0.998434,0.000358,5
fc3_strict_seed_rate_uniform,mnist,fc3_h8,8,mne_l2,mne_l2,0.997853,0.002102,0.000940,0.994500,0.003862,5
fc3_strict_seed_rate_uniform,mnist,fc3_h8,8,no_regularization,no_regularization,0.696829,0.119203,0.053309,0.668273,0.126542,5
fc3_strict_seed_rate_uniform,mnist,fc3_h8,8,weight_decay,weight_decay,0.870052,0.139011,0.062168,0.852440,0.143604,5
