model,method,method_label,seed,L,T,site,sigma,noise_repeat,noise_seed,accuracy,checkpoint
cnn2,no_reg,No Reg,41,16,16,both,1,1,20302002,37.100000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_no_reg_rcnone_seed41_ep30_L16_trainT0.pth
cnn2,no_reg,No Reg,41,16,16,both,1,2,20302003,37.220000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_no_reg_rcnone_seed41_ep30_L16_trainT0.pth
cnn2,l2,L2,41,16,16,both,0,0,20301801,83.450000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l2_rcnone_seed41_ep30_L16_trainT0.pth
cnn2,l2,L2,41,16,16,both,0.5,0,20301901,46.870000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l2_rcnone_seed41_ep30_L16_trainT0.pth
cnn2,l2,L2,41,16,16,both,0.5,1,20301902,46.660000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l2_rcnone_seed41_ep30_L16_trainT0.pth
cnn2,l2,L2,41,16,16,both,0.5,2,20301903,46.940000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l2_rcnone_seed41_ep30_L16_trainT0.pth
cnn2,l2,L2,41,16,16,both,1,0,20302001,23.460000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l2_rcnone_seed41_ep30_L16_trainT0.pth
cnn2,l2,L2,41,16,16,both,1,1,20302002,23.470000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l2_rcnone_seed41_ep30_L16_trainT0.pth
cnn2,l2,L2,41,16,16,both,1,2,20302003,23.280000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l2_rcnone_seed41_ep30_L16_trainT0.pth
cnn2,orthogonal,Orthogonal,41,16,16,both,0,0,20301801,82.970000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_orthogonal_rc0p0001_seed41_ep30_L16_trainT0.pth
cnn2,orthogonal,Orthogonal,41,16,16,both,0.5,0,20301901,68.820000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_orthogonal_rc0p0001_seed41_ep30_L16_trainT0.pth
cnn2,orthogonal,Orthogonal,41,16,16,both,0.5,1,20301902,69.600000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_orthogonal_rc0p0001_seed41_ep30_L16_trainT0.pth
cnn2,orthogonal,Orthogonal,41,16,16,both,0.5,2,20301903,69.670000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_orthogonal_rc0p0001_seed41_ep30_L16_trainT0.pth
