dataset,method,sigma,if_name,n_channels,r_mean,m_mean,q_mean,A_mean,p_cross_mean,p_bound_mean,D_mean,S_mean
cifar100,l2wo,0.25,layer5.6,512,12.863999903202057,1.311463522259146,1.0,0.15075316434052818,0.059776660156249994,0.012808760387601797,6.628540045434429e-09,3.984120305857662e-10
cifar100,l2wo,0.25,layer5.10,512,17.811293486505747,2.0279687092406675,1.0,0.19732274639723205,0.0629037109375,0.013570901912153932,1.9227933586681294e-08,1.2242220904538224e-09
cifar100,l2wo,0.25,classifier.2,4096,144.66958618164062,2.2870192730466052,3.950687885284424,0.05220810706919386,0.02227216796875,0.0047017916471779695,9.171981484827369e-09,6.064827861940233e-10
cifar100,l2wo,0.25,classifier.5,4096,150.35252380371094,3.9362860793255714,4.1451616287231445,0.0635228225498413,0.0207442626953125,0.0042844863171972065,9.666983900809082e-09,7.341338098759219e-10
cifar100,l2wo,0.5,layer1.6,64,19.99780846387148,25.23658062145114,1.0651876889169216,0.5778708401493104,0.07799871368408204,0.015647211839009467,1.861274618109011e-07,1.6752043429980742e-08
cifar100,l2wo,0.5,layer2.2,128,61.538778349757195,57.84320887923241,1.5089880358427763,0.6116320843951657,0.11903508911132812,0.028871840294101274,1.6774723116579073e-07,2.1271975593359056e-08
cifar100,l2wo,0.5,layer2.6,128,34.573266476392746,35.26487262547016,1.0017331205308437,0.6753325861815211,0.10702258911132813,0.023742115628586052,1.2245402797030952e-07,1.3883272568060796e-08
cifar100,l2wo,0.5,layer3.2,256,58.01797379553318,40.60150629468262,1.287543206475675,0.3820971073893322,0.07014987182617188,0.015577888688928215,8.059132404400481e-08,5.826842965471267e-09
cifar100,l2wo,0.5,layer3.6,256,32.414817817509174,25.24639803543687,1.0049170330166817,0.4413272053191295,0.07219459838867187,0.015341471871372778,7.551970873304058e-08,5.688716694546002e-09
cifar100,l2wo,0.5,layer3.10,256,65.72742894291878,41.8364274520427,1.4832786936312914,0.502512174063811,0.06894163208007811,0.01459741352518322,7.375107166782135e-08,5.341546588794989e-09
