L,Mode,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32
8,weight_sign_neg_front,43.689300537109375,20.794389724731445,13.313970565795898,15.016535758972168,13.075703620910645,13.273589134216309,13.762235641479492,16.98631477355957,117.59978485107422,27.605812072753906,4113.36865234375,3860.546875,110681.3125,263325.03125,22591.44921875,12568684.0,126776.3203125,5386593.5,13187199.0,11784543232.0,864804864.0,550197056.0,98152177664.0,263307788288.0,74906009600.0,4656956702720.0,63185518592.0,55940366336.0,610847817728.0,2890496737280.0,5437089906688.0,15467563450368.0
8,weight_sign_pos_front,572.0867919921875,436.1170349121094,437.8961486816406,470.52093505859375,390.464599609375,373.9605712890625,357.4427795410156,620.886474609375,1252.2186279296875,14011.8681640625,36186.18359375,36333.01171875,3009713.5,3939219.25,5489123.5,30544004.0,1912509056.0,2472086784.0,923185472.0,1635305600.0,10019493888.0,31085651968.0,24434599936.0,59803254784.0,139391594921984.0,4760957616128.0,3927385833472.0,854577840128.0,477100572672.0,2583819714560.0,595725117292544.0,86302871519232.0
16,normal,785.1341552734375,349.3451843261719,537.962158203125,269.40185546875,209.3660888671875,210.96678161621094,191.21823120117188,188.24197387695312,149.5701141357422,179.218505859375,412.98956298828125,744.8143310546875,1602.54833984375,2365.837158203125,16623.435546875,24414.2109375,87841.1953125,117491.4765625,165827.671875,914321.6875,6573506.0,8828643.0,28823424.0,46804676.0,534136928.0,432145792.0,2955746560.0,6348795904.0,14914670592.0,21663744000.0,191762694144.0,908431589376.0
16,uniform,1462.9884033203125,446.5963439941406,530.0814819335938,258.25830078125,201.5912628173828,200.94117736816406,192.16696166992188,355.75054931640625,372.8056640625,5794.646484375,3758.59619140625,3889.293212890625,26673.396484375,93015208.0,413528480.0,25250278.0,1935825920.0,824047.5,292334944.0,104666185728.0,839698752.0,135733280.0,920161353728.0,92037046272.0,3.630218027728896e+17,5.0469803848797205e+20,3.1826752089455224e+20,2.822597703148503e+17,774799081078784.0,30392629248.0,9998117634048.0,1119410211258368.0
16,weight_sign_neg_front,428.8139953613281,170.14990234375,1106.656005859375,402.9314270019531,177.32766723632812,111.4920883178711,103.4441146850586,81.18933868408203,55.89170455932617,83.31583404541016,61.735511779785156,115.87686157226562,451.45526123046875,309.0519104003906,454.39666748046875,1522.822998046875,1771.2822265625,2749.6328125,328802.90625,57904.515625,144006.65625,388555.09375,1446254.5,21301390.0,48598840.0,73801912.0,33960912.0,53628444.0,6828798976.0,5488588288.0,338575360.0,84906776.0
16,weight_sign_pos_front,868.6443481445312,896.1527709960938,1120.413818359375,742.8516845703125,754.203125,763.3607788085938,758.2037963867188,1213.560791015625,883.1229858398438,2053.56005859375,17561.01171875,98873.5078125,431892.84375,38793876.0,4394593.0,56304020.0,1205384832.0,24662702080.0,156714762240.0,5370894352384.0,946177134559232.0,78266568278016.0,2.4465576827027456e+16,1.975100840607744e+17,6.398339637005255e+18,2.9109347694264975e+18,1.1950438830278758e+20,5.599276158588813e+19,5.483587304332827e+19,3.8159044678706486e+21,1.6500520340212825e+26,4.221429283348159e+26
32,normal,215.5517578125,40464.59765625,4766.47607421875,802.8084716796875,256.0224304199219,198.61695861816406,172.39830017089844,146.43821716308594,155.6221160888672,146.05581665039062,214.54490661621094,246.38682556152344,500.9097595214844,654.966552734375,3016.416259765625,6122.4208984375,7465.6640625,210807.03125,18965.091796875,276072.25,600943.1875,43602.0078125,1051688.25,544016.3125,381825.25,9988142.0,12536535.0,2509923.75,2663953408.0,834399488.0,196305952.0,363736864.0
32,uniform,206.86746215820312,39131.921875,4547.14990234375,766.4095458984375,260.45489501953125,195.60186767578125,169.243408203125,163.818115234375,166.25405883789062,650.2137451171875,660.16162109375,307.5333251953125,620.0010986328125,1600.6387939453125,7238.70947265625,1988.272216796875,6016.6064453125,27741.09765625,23100.65625,313719.21875,27014714.0,47038496.0,41543144.0,1325040.625,4505233.0,678852.125,752942912.0,1024246.5625,27475476.0,5421096960.0,87380680.0,8133530624.0
32,weight_sign_neg_front,278.4913330078125,83098.796875,18318.91796875,4639.02294921875,1421.9832763671875,611.2930908203125,943.8369750976562,510.2737731933594,349.3760986328125,217.53628540039062,117.86923217773438,110.92337799072266,120.03199768066406,121.26141357421875,170.52989196777344,218.21493530273438,5984.75537109375,1403.78857421875,793.4781494140625,2924.839599609375,34600.58203125,28973.05859375,12007.7998046875,22512.05078125,407334.6875,207809.921875,159766496.0,612286.75,597492.875,9154853.0,6983909.5,6768106.0
32,weight_sign_pos_front,725.9151000976562,15440.625,2783.534423828125,650.7105102539062,653.0494384765625,748.9494018554688,1337.5396728515625,1325.00146484375,1283.205810546875,1164.41455078125,2486.324951171875,23584.23046875,490368.34375,1088996.125,8079987.0,833145856.0,521434624.0,2040359040.0,885045568.0,1054725440.0,14690448384.0,13870998528.0,328485843238912.0,7951569911808.0,76648036696064.0,6194276597760.0,13180072886272.0,564825176408064.0,1184986979893248.0,176200764882944.0,305087901597696.0,1.2626674710269133e+17
