arch,regularizer,sigma,acc_mean,acc_sem,n_seeds
fc3rev_h64,weight_decay,0.50,86.508000,0.052953,5
fc3rev_h64,weight_decay,0.55,86.162000,0.102489,5
fc3rev_h64,weight_decay,0.60,86.182000,0.109745,5
fc3rev_h64,weight_decay,0.65,85.854000,0.079787,5
fc3rev_h64,weight_decay,0.70,85.624000,0.075934,5
fc3rev_h64,weight_decay,0.75,85.488000,0.081633,5
fc3rev_h64,weight_decay,0.80,85.070000,0.114237,5
fc3rev_h64,weight_decay,0.85,84.828000,0.131278,5
fc3rev_h64,weight_decay,0.90,84.640000,0.106442,5
fc3rev_h64,weight_decay,0.95,84.392000,0.181725,5
fc3rev_h64,weight_decay,1.00,84.120000,0.141845,5
fc3rev_h64,mne_l2,0.00,86.052000,0.086337,5
fc3rev_h64,mne_l2,0.05,85.888000,0.098255,5
fc3rev_h64,mne_l2,0.10,85.940000,0.058566,5
fc3rev_h64,mne_l2,0.15,85.684000,0.072222,5
fc3rev_h64,mne_l2,0.20,85.692000,0.112579,5
fc3rev_h64,mne_l2,0.25,85.660000,0.066257,5
fc3rev_h64,mne_l2,0.30,85.600000,0.071624,5
fc3rev_h64,mne_l2,0.35,85.446000,0.074270,5
fc3rev_h64,mne_l2,0.40,85.406000,0.059883,5
fc3rev_h64,mne_l2,0.45,85.336000,0.101568,5
fc3rev_h64,mne_l2,0.50,85.274000,0.103952,5
fc3rev_h64,mne_l2,0.55,85.128000,0.044430,5
fc3rev_h64,mne_l2,0.60,85.046000,0.097755,5
fc3rev_h64,mne_l2,0.65,84.758000,0.127177,5
fc3rev_h64,mne_l2,0.70,84.740000,0.141563,5
fc3rev_h64,mne_l2,0.75,84.534000,0.076328,5
fc3rev_h64,mne_l2,0.80,84.282000,0.083630,5
fc3rev_h64,mne_l2,0.85,84.270000,0.104881,5
fc3rev_h64,mne_l2,0.90,84.026000,0.144174,5
fc3rev_h64,mne_l2,0.95,83.800000,0.127436,5
fc3rev_h64,mne_l2,1.00,83.716000,0.201236,5
fc3rev_h64,no_regularization,0.00,86.766000,0.054553,5
fc3rev_h64,no_regularization,0.05,86.634000,0.042261,5
fc3rev_h64,no_regularization,0.10,86.576000,0.068891,5
fc3rev_h64,no_regularization,0.15,86.432000,0.071442,5
fc3rev_h64,no_regularization,0.20,86.520000,0.057706,5
fc3rev_h64,no_regularization,0.25,86.488000,0.095624,5
fc3rev_h64,no_regularization,0.30,86.246000,0.112187,5
fc3rev_h64,no_regularization,0.35,86.140000,0.128919,5
fc3rev_h64,no_regularization,0.40,85.994000,0.094530,5
fc3rev_h64,no_regularization,0.45,85.870000,0.110589,5
fc3rev_h64,no_regularization,0.50,85.644000,0.045453,5
fc3rev_h64,no_regularization,0.55,85.498000,0.135551,5
fc3rev_h64,no_regularization,0.60,85.376000,0.086810,5
fc3rev_h64,no_regularization,0.65,85.246000,0.097601,5
fc3rev_h64,no_regularization,0.70,84.954000,0.059296,5
fc3rev_h64,no_regularization,0.75,84.608000,0.080709,5
fc3rev_h64,no_regularization,0.80,84.170000,0.060581,5
fc3rev_h64,no_regularization,0.85,84.166000,0.172470,5
fc3rev_h64,no_regularization,0.90,83.682000,0.107396,5
fc3rev_h64,no_regularization,0.95,83.550000,0.091706,5
fc3rev_h64,no_regularization,1.00,83.366000,0.088011,5
fc3rev_h128,weight_decay,0.00,87.950000,0.051672,5
fc3rev_h128,weight_decay,0.05,87.790000,0.046152,5
fc3rev_h128,weight_decay,0.10,87.842000,0.048621,5
fc3rev_h128,weight_decay,0.15,87.780000,0.087407,5
fc3rev_h128,weight_decay,0.20,87.692000,0.067631,5
fc3rev_h128,weight_decay,0.25,87.590000,0.084380,5
fc3rev_h128,weight_decay,0.30,87.456000,0.060877,5
fc3rev_h128,weight_decay,0.35,87.340000,0.100150,5
fc3rev_h128,weight_decay,0.40,87.346000,0.066978,5
fc3rev_h128,weight_decay,0.45,87.000000,0.145430,5
fc3rev_h128,weight_decay,0.50,86.962000,0.082000,5
fc3rev_h128,weight_decay,0.55,86.896000,0.116043,5
fc3rev_h128,weight_decay,0.60,86.750000,0.066106,5
fc3rev_h128,weight_decay,0.65,86.642000,0.057131,5
fc3rev_h128,weight_decay,0.70,86.090000,0.107750,5
fc3rev_h128,weight_decay,0.75,85.924000,0.067498,5
fc3rev_h128,weight_decay,0.80,85.652000,0.070951,5
fc3rev_h128,weight_decay,0.85,85.546000,0.039825,5
fc3rev_h128,weight_decay,0.90,85.326000,0.142288,5
fc3rev_h128,weight_decay,0.95,85.088000,0.093134,5
fc3rev_h128,weight_decay,1.00,84.588000,0.146642,5
fc3rev_h128,mne_l2,0.00,86.258000,0.052383,5
fc3rev_h128,mne_l2,0.05,86.088000,0.095153,5
fc3rev_h128,mne_l2,0.10,86.080000,0.049800,5
fc3rev_h128,mne_l2,0.15,86.156000,0.083881,5
fc3rev_h128,mne_l2,0.20,86.068000,0.056160,5
fc3rev_h128,mne_l2,0.25,85.966000,0.095791,5
fc3rev_h128,mne_l2,0.30,85.780000,0.109909,5
fc3rev_h128,mne_l2,0.35,85.808000,0.103267,5
fc3rev_h128,mne_l2,0.40,85.628000,0.024779,5
fc3rev_h128,mne_l2,0.45,85.724000,0.036688,5
fc3rev_h128,mne_l2,0.50,85.488000,0.146027,5
fc3rev_h128,mne_l2,0.55,85.430000,0.044609,5
fc3rev_h128,mne_l2,0.60,85.290000,0.106442,5
fc3rev_h128,mne_l2,0.65,85.130000,0.101833,5
fc3rev_h128,mne_l2,0.70,84.766000,0.100628,5
fc3rev_h128,mne_l2,0.75,84.806000,0.088068,5
fc3rev_h128,mne_l2,0.80,84.554000,0.077369,5
fc3rev_h128,mne_l2,0.85,84.558000,0.105281,5
fc3rev_h128,mne_l2,0.90,84.336000,0.177921,5
fc3rev_h128,mne_l2,0.95,83.838000,0.197874,5
fc3rev_h128,mne_l2,1.00,83.724000,0.178846,5
fc3rev_h128,no_regularization,0.00,87.240000,0.043359,5
fc3rev_h128,no_regularization,0.05,87.018000,0.075987,5
fc3rev_h128,no_regularization,0.10,87.058000,0.060531,5
fc3rev_h128,no_regularization,0.15,86.908000,0.079335,5
fc3rev_h128,no_regularization,0.20,86.864000,0.072429,5
fc3rev_h128,no_regularization,0.25,86.868000,0.060448,5
fc3rev_h128,no_regularization,0.30,86.798000,0.046519,5
fc3rev_h128,no_regularization,0.35,86.634000,0.106799,5
fc3rev_h128,no_regularization,0.40,86.368000,0.087316,5
fc3rev_h128,no_regularization,0.45,86.312000,0.125754,5
fc3rev_h128,no_regularization,0.50,86.180000,0.079812,5
fc3rev_h128,no_regularization,0.55,86.048000,0.128351,5
fc3rev_h128,no_regularization,0.60,85.868000,0.097129,5
fc3rev_h128,no_regularization,0.65,85.558000,0.103701,5
fc3rev_h128,no_regularization,0.70,85.298000,0.067186,5
fc3rev_h128,no_regularization,0.75,85.028000,0.084522,5
fc3rev_h128,no_regularization,0.80,84.724000,0.077369,5
fc3rev_h128,no_regularization,0.85,84.578000,0.098153,5
fc3rev_h128,no_regularization,0.90,84.282000,0.104709,5
fc3rev_h128,no_regularization,0.95,83.936000,0.103228,5
fc3rev_h128,no_regularization,1.00,83.548000,0.041037,5
fc3rev_h256,weight_decay,0.00,88.154000,0.035299,5
fc3rev_h256,weight_decay,0.05,88.114000,0.023367,5
fc3rev_h256,weight_decay,0.10,88.002000,0.077807,5
fc3rev_h256,weight_decay,0.15,87.940000,0.081302,5
fc3rev_h256,weight_decay,0.20,87.948000,0.094308,5
fc3rev_h256,weight_decay,0.25,87.846000,0.030265,5
fc3rev_h256,weight_decay,0.30,87.658000,0.051614,5
fc3rev_h256,weight_decay,0.35,87.640000,0.082644,5
fc3rev_h256,weight_decay,0.40,87.424000,0.036824,5
fc3rev_h256,weight_decay,0.45,87.428000,0.105090,5
fc3rev_h256,weight_decay,0.50,87.306000,0.117243,5
fc3rev_h256,weight_decay,0.55,87.204000,0.077305,5
fc3rev_h256,weight_decay,0.60,86.822000,0.057567,5
fc3rev_h256,weight_decay,0.65,86.766000,0.054369,5
fc3rev_h256,weight_decay,0.70,86.504000,0.078141,5
fc3rev_h256,weight_decay,0.75,86.246000,0.120067,5
fc3rev_h256,weight_decay,0.80,86.104000,0.034583,5
fc3rev_h256,weight_decay,0.85,85.902000,0.103701,5
fc3rev_h256,weight_decay,0.90,85.580000,0.158304,5
fc3rev_h256,weight_decay,0.95,85.378000,0.172261,5
fc3rev_h256,weight_decay,1.00,85.006000,0.047497,5
fc3rev_h256,mne_l2,0.00,86.584000,0.077369,5
fc3rev_h256,mne_l2,0.05,86.384000,0.085475,5
fc3rev_h256,mne_l2,0.10,86.252000,0.086971,5
fc3rev_h256,mne_l2,0.15,86.118000,0.095415,5
fc3rev_h256,mne_l2,0.20,86.142000,0.118000,5
fc3rev_h256,mne_l2,0.25,86.080000,0.086197,5
fc3rev_h256,mne_l2,0.30,86.040000,0.132174,5
fc3rev_h256,mne_l2,0.35,85.876000,0.123394,5
fc3rev_h256,mne_l2,0.40,85.774000,0.058017,5
fc3rev_h256,mne_l2,0.45,85.872000,0.129476,5
fc3rev_h256,mne_l2,0.50,85.724000,0.044452,5
fc3rev_h256,mne_l2,0.55,85.392000,0.093295,5
fc3rev_h256,mne_l2,0.60,85.312000,0.082547,5
fc3rev_h256,mne_l2,0.65,85.036000,0.109298,5
fc3rev_h256,mne_l2,0.70,84.960000,0.106583,5
fc3rev_h256,mne_l2,0.75,84.714000,0.068964,5
fc3rev_h256,mne_l2,0.80,84.290000,0.162911,5
fc3rev_h256,mne_l2,0.85,84.390000,0.061563,5
fc3rev_h256,mne_l2,0.90,84.070000,0.083006,5
fc3rev_h256,mne_l2,0.95,83.970000,0.070498,5
fc3rev_h256,mne_l2,1.00,83.424000,0.126436,5
fc3rev_h256,no_regularization,0.00,87.442000,0.117788,5
fc3rev_h256,no_regularization,0.05,87.318000,0.142176,5
fc3rev_h256,no_regularization,0.10,87.282000,0.177155,5
fc3rev_h256,no_regularization,0.15,87.166000,0.150818,5
fc3rev_h256,no_regularization,0.20,87.052000,0.175111,5
fc3rev_h256,no_regularization,0.25,87.070000,0.110136,5
fc3rev_h256,no_regularization,0.30,86.946000,0.172905,5
fc3rev_h256,no_regularization,0.35,86.832000,0.153506,5
fc3rev_h256,no_regularization,0.40,86.768000,0.055082,5
fc3rev_h256,no_regularization,0.45,86.388000,0.142492,5
fc3rev_h256,no_regularization,0.50,86.376000,0.118600,5
fc3rev_h256,no_regularization,0.55,86.216000,0.089699,5
fc3rev_h256,no_regularization,0.60,86.124000,0.060795,5
fc3rev_h256,no_regularization,0.65,85.722000,0.101163,5
fc3rev_h256,no_regularization,0.70,85.508000,0.077550,5
fc3rev_h256,no_regularization,0.75,85.434000,0.139054,5
fc3rev_h256,no_regularization,0.80,85.030000,0.169941,5
fc3rev_h256,no_regularization,0.85,84.712000,0.100519,5
fc3rev_h256,no_regularization,0.90,84.624000,0.151083,5
fc3rev_h256,no_regularization,0.95,84.250000,0.157575,5
fc3rev_h256,no_regularization,1.00,83.658000,0.049739,5
