arch,regularizer,seed,L,T,sigma,acc,checkpoint,matrix_csv
fc2_h32,mne_l2,43,16,16,0.8,94.52,mnist-checkpoints/fc2_h32_L[16]_strict_seed43_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_43/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc2_h32,mne_l2,43,16,16,0.9,94.46,mnist-checkpoints/fc2_h32_L[16]_strict_seed43_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_43/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc2_h32,mne_l2,43,16,16,1.0,94.57,mnist-checkpoints/fc2_h32_L[16]_strict_seed43_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_43/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc2_h32,mne_l2,44,16,16,0.0,95.54,mnist-checkpoints/fc2_h32_L[16]_strict_seed44_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_44/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_44.csv
fc2_h32,mne_l2,44,16,16,0.1,95.51,mnist-checkpoints/fc2_h32_L[16]_strict_seed44_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_44/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_44.csv
fc2_h32,mne_l2,44,16,16,0.2,95.45,mnist-checkpoints/fc2_h32_L[16]_strict_seed44_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_44/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_44.csv
fc2_h32,mne_l2,44,16,16,0.3,95.36,mnist-checkpoints/fc2_h32_L[16]_strict_seed44_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_44/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_44.csv
fc2_h32,mne_l2,44,16,16,0.4,95.5,mnist-checkpoints/fc2_h32_L[16]_strict_seed44_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_44/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_44.csv
fc2_h32,mne_l2,44,16,16,0.5,95.38,mnist-checkpoints/fc2_h32_L[16]_strict_seed44_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_44/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_44.csv
fc2_h32,mne_l2,44,16,16,0.6,95.38,mnist-checkpoints/fc2_h32_L[16]_strict_seed44_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_44/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_44.csv
fc2_h32,mne_l2,44,16,16,0.7,95.41,mnist-checkpoints/fc2_h32_L[16]_strict_seed44_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_44/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_44.csv
fc2_h32,mne_l2,44,16,16,0.8,95.27,mnist-checkpoints/fc2_h32_L[16]_strict_seed44_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_44/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_44.csv
fc2_h32,mne_l2,44,16,16,0.9,95.22,mnist-checkpoints/fc2_h32_L[16]_strict_seed44_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_44/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_44.csv
