arch,regularizer,sigma,acc_mean,acc_sem,n_seeds
cnn2_c8_c16,mne_l2,0.00,83.434000,0.281808,5
cnn2_c8_c16,mne_l2,0.05,83.434000,0.311362,5
cnn2_c8_c16,mne_l2,0.10,83.514000,0.288021,5
cnn2_c8_c16,mne_l2,0.15,83.392000,0.274653,5
cnn2_c8_c16,mne_l2,0.20,83.420000,0.232357,5
cnn2_c8_c16,mne_l2,0.25,83.408000,0.257632,5
cnn2_c8_c16,mne_l2,0.30,83.368000,0.276594,5
cnn2_c8_c16,mne_l2,0.35,83.458000,0.271190,5
cnn2_c8_c16,mne_l2,0.40,83.354000,0.207548,5
cnn2_c8_c16,mne_l2,0.45,83.420000,0.227420,5
cnn2_c8_c16,mne_l2,0.50,83.250000,0.252488,5
cnn2_c8_c16,mne_l2,0.55,83.430000,0.159154,5
cnn2_c8_c16,mne_l2,0.60,83.472000,0.167732,5
cnn2_c8_c16,mne_l2,0.65,83.320000,0.279786,5
cnn2_c8_c16,mne_l2,0.70,83.294000,0.204636,5
cnn2_c8_c16,mne_l2,0.75,83.394000,0.181235,5
cnn2_c8_c16,mne_l2,0.80,83.152000,0.171680,5
cnn2_c8_c16,mne_l2,0.85,83.130000,0.201941,5
cnn2_c8_c16,mne_l2,0.90,83.108000,0.147187,5
cnn2_c8_c16,mne_l2,0.95,83.180000,0.177876,5
cnn2_c8_c16,mne_l2,1.00,83.154000,0.208557,5
cnn2_c8_c16,no_regularization,0.00,87.720000,0.109636,5
cnn2_c8_c16,no_regularization,0.05,87.520000,0.103005,5
cnn2_c8_c16,no_regularization,0.10,87.588000,0.147594,5
cnn2_c8_c16,no_regularization,0.15,87.344000,0.085182,5
cnn2_c8_c16,no_regularization,0.20,87.202000,0.139262,5
cnn2_c8_c16,no_regularization,0.25,86.890000,0.158588,5
cnn2_c8_c16,no_regularization,0.30,86.616000,0.180654,5
cnn2_c8_c16,no_regularization,0.35,86.430000,0.211589,5
cnn2_c8_c16,no_regularization,0.40,85.980000,0.264802,5
cnn2_c8_c16,no_regularization,0.45,85.712000,0.251046,5
cnn2_c8_c16,no_regularization,0.50,85.366000,0.284580,5
cnn2_c8_c16,no_regularization,0.55,85.042000,0.234017,5
cnn2_c8_c16,no_regularization,0.60,84.548000,0.177381,5
cnn2_c8_c16,no_regularization,0.65,84.138000,0.258503,5
cnn2_c8_c16,no_regularization,0.70,83.728000,0.238105,5
cnn2_c8_c16,no_regularization,0.75,83.542000,0.062482,5
cnn2_c8_c16,no_regularization,0.80,82.892000,0.173274,5
cnn2_c8_c16,no_regularization,0.85,82.592000,0.121877,5
cnn2_c8_c16,no_regularization,0.90,81.922000,0.236715,5
cnn2_c8_c16,no_regularization,0.95,81.678000,0.077936,5
cnn2_c8_c16,no_regularization,1.00,81.104000,0.232026,5
cnn2_c16_c32,weight_decay,0.00,89.202000,0.098914,5
cnn2_c16_c32,weight_decay,0.05,89.114000,0.098367,5
cnn2_c16_c32,weight_decay,0.10,89.028000,0.060366,5
cnn2_c16_c32,weight_decay,0.15,88.840000,0.054129,5
cnn2_c16_c32,weight_decay,0.20,88.534000,0.083522,5
cnn2_c16_c32,weight_decay,0.25,88.320000,0.089443,5
