method,scale_mode,level_name,actual_sigma,n_repeats,acc_mean,acc_std
Weights+BN-gamma,absolute,sigma_0.25,0.250000,5,90.426000,0.090443
Weights+BN-gamma,absolute,sigma_0.5,0.500000,5,86.046000,0.125419
Weights+BN-gamma,absolute,sigma_0.75,0.750000,5,62.882000,0.229281
Weights+BN-gamma,absolute,sigma_1,1.000000,5,22.496000,0.157734
Weights+BN-gamma,lambda_relative,alpha_0,0.000000,1,90.970000,0.000000
Weights+BN-gamma,lambda_relative,alpha_0.05,0.011093,5,91.002000,0.044385
Weights+BN-gamma,lambda_relative,alpha_0.1,0.022185,5,90.980000,0.025495
Weights+BN-gamma,lambda_relative,alpha_0.2,0.044371,5,90.942000,0.113446
Weights+BN-gamma,lambda_relative,alpha_0.3,0.066556,5,90.916000,0.066558
Weights+BN-gamma,lambda_relative,alpha_0.5,0.110927,5,90.862000,0.032711
Weights+BN-gamma,lambda_relative,alpha_1,0.221854,5,90.604000,0.116319
Weights+BN-gamma,activation_relative,alpha_0,0.000000,1,90.970000,0.000000
Weights+BN-gamma,activation_relative,alpha_0.05,0.005120,5,90.976000,0.028810
Weights+BN-gamma,activation_relative,alpha_0.1,0.010240,5,90.994000,0.045607
Weights+BN-gamma,activation_relative,alpha_0.2,0.020481,5,90.930000,0.038079
Weights+BN-gamma,activation_relative,alpha_0.3,0.030722,5,90.934000,0.062290
Weights+BN-gamma,activation_relative,alpha_0.5,0.051203,5,90.892000,0.040866
Weights+BN-gamma,activation_relative,alpha_1,0.102405,5,90.866000,0.095289
MNE-standard,snr,clean,0.000000,1,90.500000,0.000000
MNE-standard,snr,snr_30dB,0.026491,5,90.510000,0.050990
MNE-standard,snr,snr_20dB,0.083770,5,90.518000,0.039623
MNE-standard,snr,snr_15dB,0.148967,5,90.462000,0.019235
MNE-standard,snr,snr_10dB,0.264905,5,90.488000,0.041473
MNE-standard,snr,snr_5dB,0.471074,5,90.464000,0.028810
MNE-standard,snr,snr_0dB,0.837702,5,90.346000,0.062290
MNE-standard,absolute,sigma_0,0.000000,1,90.500000,0.000000
MNE-standard,absolute,sigma_0.25,0.250000,5,90.464000,0.039749
MNE-standard,absolute,sigma_0.5,0.500000,5,90.436000,0.035071
MNE-standard,absolute,sigma_0.75,0.750000,5,90.422000,0.073280
MNE-standard,absolute,sigma_1,1.000000,5,90.468000,0.090111
MNE-standard,lambda_relative,alpha_0,0.000000,1,90.500000,0.000000
MNE-standard,lambda_relative,alpha_0.05,0.104820,5,90.556000,0.035777
MNE-standard,lambda_relative,alpha_0.1,0.209639,5,90.454000,0.064265
MNE-standard,lambda_relative,alpha_0.2,0.419279,5,90.440000,0.035355
MNE-standard,lambda_relative,alpha_0.3,0.628918,5,90.408000,0.105451
MNE-standard,lambda_relative,alpha_0.5,1.048200,5,90.320000,0.051478
MNE-standard,lambda_relative,alpha_1,2.096390,5,89.016000,0.133154
MNE-standard,activation_relative,alpha_0,0.000000,1,90.500000,0.000000
MNE-standard,activation_relative,alpha_0.05,0.041885,5,90.552000,0.027749
MNE-standard,activation_relative,alpha_0.1,0.083770,5,90.476000,0.043359
MNE-standard,activation_relative,alpha_0.2,0.167540,5,90.502000,0.043243
MNE-standard,activation_relative,alpha_0.3,0.251311,5,90.458000,0.047117
MNE-standard,activation_relative,alpha_0.5,0.418851,5,90.422000,0.038987
MNE-standard,activation_relative,alpha_1,0.837702,5,90.358000,0.049699
