dataset,method,method_label,seed,L,T,parameters,fp32_param_kib,n_samples,accuracy,if_firing_density,ann_dense_macs_per_sample,snn_dense_ops_per_sample,event_synops_per_sample,event_synops_per_ann_mac,checkpoint
mnist,no_reg,No regularization,42,16,8,2081,8.12890625,1024,93.06640625,0.11394302212462133,30184.0,241472.0,35219.990234375,1.1668430371844354,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_no_reg_rcnone_seed42_ep30_L16_trainT0.pth
mnist,no_reg,No regularization,42,16,16,2081,8.12890625,1024,93.65234375,0.1012514659336635,30184.0,482944.0,67859.84765625,2.248205925531739,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_no_reg_rcnone_seed42_ep30_L16_trainT0.pth
mnist,no_reg,No regularization,43,16,4,2081,8.12890625,1024,96.6796875,0.08093814460598693,30184.0,120736.0,14710.033203125,0.4873453883887159,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_no_reg_rcnone_seed43_ep30_L16_trainT0.pth
mnist,no_reg,No regularization,43,16,8,2081,8.12890625,1024,96.19140625,0.08181642026317362,30184.0,241472.0,30168.9609375,0.9995017538265306,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_no_reg_rcnone_seed43_ep30_L16_trainT0.pth
mnist,no_reg,No regularization,43,16,16,2081,8.12890625,1024,95.60546875,0.0828661821326431,30184.0,482944.0,61961.638671875,2.0527974646128744,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_no_reg_rcnone_seed43_ep30_L16_trainT0.pth
mnist,no_reg,No regularization,44,16,4,2081,8.12890625,1024,96.6796875,0.06635268853635204,30184.0,120736.0,12861.076171875,0.4260891920181222,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_no_reg_rcnone_seed44_ep30_L16_trainT0.pth
mnist,no_reg,No regularization,44,16,8,2081,8.12890625,1024,97.16796875,0.06664910608408403,30184.0,241472.0,26204.322265625,0.8681527387233302,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_no_reg_rcnone_seed44_ep30_L16_trainT0.pth
mnist,no_reg,No regularization,44,16,16,2081,8.12890625,1024,96.484375,0.0673674369344906,30184.0,482944.0,53892.548828125,1.785467427382885,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_no_reg_rcnone_seed44_ep30_L16_trainT0.pth
mnist,l2,L2,40,16,4,2081,8.12890625,1024,90.91796875,0.21096358007314253,30184.0,120736.0,27631.13671875,0.9154232944192288,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_l2_rcnone_seed40_ep30_L16_trainT0.pth
mnist,l2,L2,40,16,8,2081,8.12890625,1024,96.58203125,0.23656078260772082,30184.0,241472.0,61139.3984375,2.0255565345050357,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_l2_rcnone_seed40_ep30_L16_trainT0.pth
mnist,l2,L2,40,16,16,2081,8.12890625,1024,95.99609375,0.23739674626564494,30184.0,482944.0,124256.642578125,4.116639364501888,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_l2_rcnone_seed40_ep30_L16_trainT0.pth
mnist,l2,L2,41,16,4,2081,8.12890625,1024,95.80078125,0.16906302315848215,30184.0,120736.0,22916.64453125,0.7592315309849589,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_l2_rcnone_seed41_ep30_L16_trainT0.pth
mnist,l2,L2,41,16,8,2081,8.12890625,1024,96.484375,0.17037917156608737,30184.0,241472.0,47100.3828125,1.5604420491816857,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_l2_rcnone_seed41_ep30_L16_trainT0.pth
mnist,l2,L2,41,16,16,2081,8.12890625,1024,95.3125,0.17413586986308194,30184.0,482944.0,97260.814453125,3.2222639296688644,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_l2_rcnone_seed41_ep30_L16_trainT0.pth
