dataset,model,method,method_label,seed,L,T,site,sigma,noise_repeat,noise_seed,accuracy,checkpoint
mnist,cnn2,orthogonal,Orthogonal,41,16,4,both,0.5,1,20302002,48.920000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_orthogonal_rc0p0001_seed41_ep30_L16_trainT0.pth
mnist,cnn2,orthogonal,Orthogonal,41,16,4,both,0.5,2,20302003,48.960000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_orthogonal_rc0p0001_seed41_ep30_L16_trainT0.pth
mnist,cnn2,old_detach,MNE-L2,42,16,4,both,0,0,20302801,93.450000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_old_detach_rc0p0001_seed42_ep30_L16_trainT0.pth
mnist,cnn2,old_detach,MNE-L2,42,16,4,both,0.25,0,20302901,92.790000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_old_detach_rc0p0001_seed42_ep30_L16_trainT0.pth
mnist,cnn2,old_detach,MNE-L2,42,16,4,both,0.25,1,20302902,92.890000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_old_detach_rc0p0001_seed42_ep30_L16_trainT0.pth
mnist,cnn2,old_detach,MNE-L2,42,16,4,both,0.25,2,20302903,92.970000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_old_detach_rc0p0001_seed42_ep30_L16_trainT0.pth
mnist,cnn2,old_detach,MNE-L2,42,16,4,both,0.5,0,20303001,82.720000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_old_detach_rc0p0001_seed42_ep30_L16_trainT0.pth
mnist,cnn2,old_detach,MNE-L2,42,16,4,both,0.5,1,20303002,82.230000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_old_detach_rc0p0001_seed42_ep30_L16_trainT0.pth
mnist,cnn2,old_detach,MNE-L2,42,16,4,both,0.5,2,20303003,82.450000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_old_detach_rc0p0001_seed42_ep30_L16_trainT0.pth
mnist,cnn2,no_reg,No Reg,42,16,4,both,0,0,20302801,95.910000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_no_reg_rcnone_seed42_ep30_L16_trainT0.pth
mnist,cnn2,no_reg,No Reg,42,16,4,both,0.25,0,20302901,93.420000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_no_reg_rcnone_seed42_ep30_L16_trainT0.pth
mnist,cnn2,no_reg,No Reg,42,16,4,both,0.25,1,20302902,93.480000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_no_reg_rcnone_seed42_ep30_L16_trainT0.pth
mnist,cnn2,no_reg,No Reg,42,16,4,both,0.25,2,20302903,93.210000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_no_reg_rcnone_seed42_ep30_L16_trainT0.pth
mnist,cnn2,no_reg,No Reg,42,16,4,both,0.5,0,20303001,70.780000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_no_reg_rcnone_seed42_ep30_L16_trainT0.pth
mnist,cnn2,no_reg,No Reg,42,16,4,both,0.5,1,20303002,71.450000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_no_reg_rcnone_seed42_ep30_L16_trainT0.pth
mnist,cnn2,no_reg,No Reg,42,16,4,both,0.5,2,20303003,70.670000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_no_reg_rcnone_seed42_ep30_L16_trainT0.pth
mnist,cnn2,l2,L2,42,16,4,both,0,0,20302801,96.830000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_l2_rcnone_seed42_ep30_L16_trainT0.pth
mnist,cnn2,l2,L2,42,16,4,both,0.25,0,20302901,55.130000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_l2_rcnone_seed42_ep30_L16_trainT0.pth
mnist,cnn2,l2,L2,42,16,4,both,0.25,1,20302902,54.410000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_l2_rcnone_seed42_ep30_L16_trainT0.pth
mnist,cnn2,l2,L2,42,16,4,both,0.25,2,20302903,54.650000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_l2_rcnone_seed42_ep30_L16_trainT0.pth
mnist,cnn2,l2,L2,42,16,4,both,0.5,0,20303001,19.800000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_l2_rcnone_seed42_ep30_L16_trainT0.pth
mnist,cnn2,l2,L2,42,16,4,both,0.5,1,20303002,20.040000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_l2_rcnone_seed42_ep30_L16_trainT0.pth
mnist,cnn2,l2,L2,42,16,4,both,0.5,2,20303003,19.890000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_l2_rcnone_seed42_ep30_L16_trainT0.pth
mnist,cnn2,orthogonal,Orthogonal,42,16,4,both,0,0,20302801,96.940000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_orthogonal_rc0p0001_seed42_ep30_L16_trainT0.pth
mnist,cnn2,orthogonal,Orthogonal,42,16,4,both,0.25,0,20302901,95.480000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_orthogonal_rc0p0001_seed42_ep30_L16_trainT0.pth
mnist,cnn2,orthogonal,Orthogonal,42,16,4,both,0.25,1,20302902,95.490000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_orthogonal_rc0p0001_seed42_ep30_L16_trainT0.pth
mnist,cnn2,orthogonal,Orthogonal,42,16,4,both,0.25,2,20302903,95.530000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_orthogonal_rc0p0001_seed42_ep30_L16_trainT0.pth
mnist,cnn2,orthogonal,Orthogonal,42,16,4,both,0.5,0,20303001,78.820000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_orthogonal_rc0p0001_seed42_ep30_L16_trainT0.pth
mnist,cnn2,orthogonal,Orthogonal,42,16,4,both,0.5,1,20303002,78.890000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_orthogonal_rc0p0001_seed42_ep30_L16_trainT0.pth
mnist,cnn2,orthogonal,Orthogonal,42,16,4,both,0.5,2,20303003,78.670000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_orthogonal_rc0p0001_seed42_ep30_L16_trainT0.pth
mnist,cnn2,old_detach,MNE-L2,43,16,4,both,0,0,20303801,96.640000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_old_detach_rc0p0001_seed43_ep30_L16_trainT0.pth
mnist,cnn2,old_detach,MNE-L2,43,16,4,both,0.25,0,20303901,95.790000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_old_detach_rc0p0001_seed43_ep30_L16_trainT0.pth
mnist,cnn2,old_detach,MNE-L2,43,16,4,both,0.25,1,20303902,95.730000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_old_detach_rc0p0001_seed43_ep30_L16_trainT0.pth
mnist,cnn2,old_detach,MNE-L2,43,16,4,both,0.25,2,20303903,95.710000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_old_detach_rc0p0001_seed43_ep30_L16_trainT0.pth
mnist,cnn2,old_detach,MNE-L2,43,16,4,both,0.5,0,20304001,87.490000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_old_detach_rc0p0001_seed43_ep30_L16_trainT0.pth
mnist,cnn2,old_detach,MNE-L2,43,16,4,both,0.5,1,20304002,87.310000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_old_detach_rc0p0001_seed43_ep30_L16_trainT0.pth
mnist,cnn2,old_detach,MNE-L2,43,16,4,both,0.5,2,20304003,87.300000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_old_detach_rc0p0001_seed43_ep30_L16_trainT0.pth
