arch,hidden_size,regularizer,sigma,acc_mean,acc_std,n_seeds
fc3_h32,32,mne_l2,0.2,96.494000,0.242240,5
fc3_h32,32,mne_l2,0.3,96.476000,0.344790,5
fc3_h32,32,mne_l2,0.4,96.436000,0.230608,5
fc3_h32,32,mne_l2,0.5,96.324000,0.189420,5
fc3_h32,32,mne_l2,0.6,96.328000,0.272250,5
fc3_h32,32,mne_l2,0.7,96.290000,0.258070,5
fc3_h32,32,mne_l2,0.8,96.196000,0.225233,5
fc3_h32,32,mne_l2,0.9,96.038000,0.264707,5
fc3_h32,32,mne_l2,1.0,96.082000,0.242425,5
fc3_h32,32,weight_decay,0.0,97.168000,0.292181,5
fc3_h32,32,weight_decay,0.1,97.130000,0.305778,5
fc3_h32,32,weight_decay,0.2,97.132000,0.285780,5
fc3_h32,32,weight_decay,0.3,97.022000,0.304910,5
fc3_h32,32,weight_decay,0.4,97.018000,0.311159,5
fc3_h32,32,weight_decay,0.5,96.960000,0.278927,5
fc3_h32,32,weight_decay,0.6,96.934000,0.232228,5
fc3_h32,32,weight_decay,0.7,96.742000,0.348741,5
fc3_h32,32,weight_decay,0.8,96.668000,0.343613,5
fc3_h32,32,weight_decay,0.9,96.532000,0.349457,5
fc3_h32,32,weight_decay,1.0,96.424000,0.320905,5
fc3_h32,32,no_regularization,0.0,96.184000,0.281567,5
fc3_h32,32,no_regularization,0.1,96.124000,0.321139,5
fc3_h32,32,no_regularization,0.2,96.066000,0.194371,5
fc3_h32,32,no_regularization,0.3,95.870000,0.267395,5
fc3_h32,32,no_regularization,0.4,95.788000,0.339293,5
fc3_h32,32,no_regularization,0.5,95.680000,0.349786,5
fc3_h32,32,no_regularization,0.6,95.256000,0.495964,5
fc3_h32,32,no_regularization,0.7,94.944000,0.389397,5
fc3_h32,32,no_regularization,0.8,94.564000,0.615898,5
fc3_h32,32,no_regularization,0.9,94.094000,0.850547,5
fc3_h32,32,no_regularization,1.0,93.564000,0.834344,5
fc3_h32,32,mne_l2_wd,0.0,96.780000,0.205548,5
fc3_h32,32,mne_l2_wd,0.1,96.770000,0.214126,5
fc3_h32,32,mne_l2_wd,0.2,96.732000,0.205110,5
fc3_h32,32,mne_l2_wd,0.3,96.658000,0.236897,5
fc3_h32,32,mne_l2_wd,0.4,96.684000,0.219272,5
fc3_h32,32,mne_l2_wd,0.5,96.672000,0.221517,5
fc3_h32,32,mne_l2_wd,0.6,96.638000,0.242425,5
fc3_h32,32,mne_l2_wd,0.7,96.518000,0.185122,5
fc3_h32,32,mne_l2_wd,0.8,96.584000,0.212321,5
fc3_h32,32,mne_l2_wd,0.9,96.402000,0.206567,5
fc3_h32,32,mne_l2_wd,1.0,96.478000,0.249038,5
fc3_h64,64,mne_l2,0.0,97.236000,0.091815,5
fc3_h64,64,mne_l2,0.1,97.240000,0.131719,5
fc3_h64,64,mne_l2,0.2,97.190000,0.121655,5
fc3_h64,64,mne_l2,0.3,97.156000,0.142934,5
fc3_h64,64,mne_l2,0.4,97.108000,0.159750,5
fc3_h64,64,mne_l2,0.5,97.130000,0.144395,5
fc3_h64,64,mne_l2,0.6,97.032000,0.139893,5
fc3_h64,64,mne_l2,0.7,96.998000,0.175841,5
fc3_h64,64,mne_l2,0.8,96.852000,0.210523,5
fc3_h64,64,mne_l2,0.9,96.880000,0.143875,5
fc3_h64,64,mne_l2,1.0,96.754000,0.239541,5
fc3_h64,64,weight_decay,0.0,97.726000,0.114368,5
fc3_h64,64,weight_decay,0.1,97.676000,0.128569,5
fc3_h64,64,weight_decay,0.2,97.690000,0.130192,5
fc3_h64,64,weight_decay,0.3,97.670000,0.117686,5
fc3_h64,64,weight_decay,0.4,97.626000,0.120125,5
fc3_h64,64,weight_decay,0.5,97.612000,0.198040,5
fc3_h64,64,weight_decay,0.6,97.594000,0.168612,5
fc3_h64,64,weight_decay,0.7,97.522000,0.196901,5
fc3_h64,64,weight_decay,0.8,97.444000,0.110136,5
fc3_h64,64,weight_decay,0.9,97.430000,0.160468,5
fc3_h64,64,weight_decay,1.0,97.348000,0.145842,5
fc3_h64,64,no_regularization,0.0,96.732000,0.121120,5
fc3_h64,64,no_regularization,0.1,96.600000,0.157003,5
fc3_h64,64,no_regularization,0.2,96.576000,0.143979,5
fc3_h64,64,no_regularization,0.3,96.532000,0.250340,5
fc3_h64,64,no_regularization,0.4,96.322000,0.137732,5
fc3_h64,64,no_regularization,0.5,96.128000,0.245092,5
fc3_h64,64,no_regularization,0.6,95.914000,0.505450,5
fc3_h64,64,no_regularization,0.7,95.524000,0.619581,5
fc3_h64,64,no_regularization,0.8,95.160000,0.969974,5
fc3_h64,64,no_regularization,0.9,94.768000,1.167013,5
fc3_h64,64,no_regularization,1.0,94.118000,1.636206,5
fc3_h64,64,mne_l2_wd,0.0,97.312000,0.132174,5
fc3_h64,64,mne_l2_wd,0.1,97.246000,0.173868,5
fc3_h64,64,mne_l2_wd,0.2,97.226000,0.203175,5
fc3_h64,64,mne_l2_wd,0.3,97.198000,0.172395,5
fc3_h64,64,mne_l2_wd,0.4,97.192000,0.209690,5
fc3_h64,64,mne_l2_wd,0.5,97.122000,0.118195,5
fc3_h64,64,mne_l2_wd,0.6,97.150000,0.221472,5
fc3_h64,64,mne_l2_wd,0.7,97.076000,0.130307,5
fc3_h64,64,mne_l2_wd,0.8,97.076000,0.160562,5
fc3_h64,64,mne_l2_wd,0.9,96.962000,0.183085,5
fc3_h64,64,mne_l2_wd,1.0,96.960000,0.286094,5
fc3_h128,128,mne_l2,0.0,97.774000,0.092898,5
fc3_h128,128,mne_l2,0.1,97.738000,0.087006,5
fc3_h128,128,mne_l2,0.2,97.726000,0.083546,5
fc3_h128,128,mne_l2,0.3,97.670000,0.082158,5
fc3_h128,128,mne_l2,0.4,97.702000,0.163463,5
fc3_h128,128,mne_l2,0.5,97.622000,0.117983,5
fc3_h128,128,mne_l2,0.6,97.662000,0.099850,5
fc3_h128,128,mne_l2,0.7,97.622000,0.143248,5
fc3_h128,128,mne_l2,0.8,97.666000,0.151427,5
fc3_h128,128,mne_l2,0.9,97.484000,0.110815,5
fc3_h128,128,mne_l2,1.0,97.504000,0.148425,5
fc3_h128,128,weight_decay,0.0,96.954000,0.098641,5
fc3_h128,128,weight_decay,0.1,96.918000,0.178941,5
fc3_h128,128,weight_decay,0.2,96.818000,0.108028,5
fc3_h128,128,weight_decay,0.3,96.802000,0.133304,5
fc3_h128,128,weight_decay,0.4,96.652000,0.156429,5
fc3_h128,128,weight_decay,0.5,96.696000,0.158051,5
fc3_h128,128,weight_decay,0.6,96.468000,0.229281,5
fc3_h128,128,weight_decay,0.7,96.270000,0.297909,5
fc3_h128,128,weight_decay,0.8,96.128000,0.312202,5
fc3_h128,128,weight_decay,0.9,95.868000,0.327216,5
