folder,checkpoint_name,L,T,if_mode,noise_variance,noise_sigma,noise_type,repeats,max_batches,sigma_metric,sigma_time_reduce,sigma_eff,sigma_var_eff,p_metric,p_time_reduce,P_E,p_equal_count,p_total_count
mnist-checkpoints_c16_c32,cnn2_L[4].pth,4,2,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.9477766497931387,0.8982805778931059,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.791583184482289,30503791,38535168
mnist-checkpoints_c16_c32,cnn2_L[4].pth,4,32,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.237014290518252,0.056175773909870365,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.6618109982029922,25502998,38535168
mnist-checkpoints_c16_c32,cnn2_L[4].pth,4,4,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.6707793826012511,0.4499449801229157,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7337699423030931,28275948,38535168
mnist-checkpoints_c16_c32,cnn2_L[4].pth,4,8,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.47397825298043134,0.22465538429838175,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.6977990857597922,26889805,38535168
mnist-checkpoints_c16_c32,cnn2_L[8].pth,8,16,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.3288845852688511,0.10816507042746419,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.6941949234527796,26750918,38535168
mnist-checkpoints_c16_c32,cnn2_L[8].pth,8,2,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.9297990838343816,0.8645263362992555,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.8206201670121174,31622736,38535168
mnist-checkpoints_c16_c32,cnn2_L[8].pth,8,32,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.2323768839829635,0.05399901620963168,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.6738753286348719,25967899,38535168
mnist-checkpoints_c16_c32,cnn2_L[8].pth,8,4,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.658483599096454,0.4336006502790196,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7722326006208148,29758113,38535168
mnist-checkpoints_c16_c32,cnn2_L[8].pth,8,8,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.46497016690695797,0.21619725611348437,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.727401370093936,28030534,38535168
mnist-checkpoints_c4_c8,cnn2_L[16].pth,16,16,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.3638410937009932,0.13238034146553493,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.6782589867001488,6534206,9633792
mnist-checkpoints_c4_c8,cnn2_L[16].pth,16,2,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,1.0307323419355279,1.0624091607118982,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.8389730648118623,8082492,9633792
mnist-checkpoints_c4_c8,cnn2_L[16].pth,16,32,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.2577103222089028,0.06641461017301649,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.6339891913796769,6107720,9633792
mnist-checkpoints_c4_c8,cnn2_L[16].pth,16,4,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.7280380419266737,0.5300393904924251,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.807748911332111,7781685,9633792
mnist-checkpoints_c4_c8,cnn2_L[16].pth,16,8,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.5147418928192591,0.2649592162231536,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7379498124933567,7109255,9633792
