folder,checkpoint,checkpoint_name,L,T_snn,ann_reference_T,snn_mode,layer_position,time_reduce_snn,sigma_conv,var_conv,num_elements,max_batches,batch_size
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[2].pth,cnn2_L[2].pth,2,2,0,normal,if1_rate_normalized,sum_over_time_div_thresh,0.1892950037970714,0.035832598462533276,1605632,4,128
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[2].pth,cnn2_L[2].pth,2,4,0,normal,if1_rate_normalized,sum_over_time_div_thresh,0.6098478913100878,0.37191445053536065,1605632,4,128
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[2].pth,cnn2_L[2].pth,2,8,0,normal,if1_rate_normalized,sum_over_time_div_thresh,1.3399458807829863,1.795454963427293,1605632,4,128
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[2].pth,cnn2_L[2].pth,2,16,0,normal,if1_rate_normalized,sum_over_time_div_thresh,2.8176026873174087,7.938884903578284,1605632,4,128
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[2].pth,cnn2_L[2].pth,2,32,0,normal,if1_rate_normalized,sum_over_time_div_thresh,5.782842749106162,33.44127026088971,1605632,4,128
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[4].pth,cnn2_L[4].pth,4,2,0,normal,if1_rate_normalized,sum_over_time_div_thresh,0.2748326894468333,0.07553300718857951,1605632,4,128
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[4].pth,cnn2_L[4].pth,4,4,0,normal,if1_rate_normalized,sum_over_time_div_thresh,0.73552992748327,0.5410042742235444,1605632,4,128
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[4].pth,cnn2_L[4].pth,4,8,0,normal,if1_rate_normalized,sum_over_time_div_thresh,1.458158832567616,2.126227180994953,1605632,4,128
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[4].pth,cnn2_L[4].pth,4,16,0,normal,if1_rate_normalized,sum_over_time_div_thresh,3.1530239183477407,9.94155982967294,1605632,4,128
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[4].pth,cnn2_L[4].pth,4,32,0,normal,if1_rate_normalized,sum_over_time_div_thresh,6.545001215872214,42.83704091576877,1605632,4,128
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[8].pth,cnn2_L[8].pth,8,2,0,normal,if1_rate_normalized,sum_over_time_div_thresh,0.23315249934416513,0.05436008795043092,1605632,4,128
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[8].pth,cnn2_L[8].pth,8,4,0,normal,if1_rate_normalized,sum_over_time_div_thresh,0.5471642665163393,0.2993887345523636,1605632,4,128
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[8].pth,cnn2_L[8].pth,8,8,0,normal,if1_rate_normalized,sum_over_time_div_thresh,1.2504234625296144,1.56355883564455,1605632,4,128
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[8].pth,cnn2_L[8].pth,8,16,0,normal,if1_rate_normalized,sum_over_time_div_thresh,2.67771325609668,7.1701482818758855,1605632,4,128
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[8].pth,cnn2_L[8].pth,8,32,0,normal,if1_rate_normalized,sum_over_time_div_thresh,5.38078181153984,28.952812903397955,1605632,4,128
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[16].pth,cnn2_L[16].pth,16,2,0,normal,if1_rate_normalized,sum_over_time_div_thresh,0.3422465553545625,0.11713270465206363,1605632,4,128
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[16].pth,cnn2_L[16].pth,16,4,0,normal,if1_rate_normalized,sum_over_time_div_thresh,0.533900122155547,0.285049340437708,1605632,4,128
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[16].pth,cnn2_L[16].pth,16,8,0,normal,if1_rate_normalized,sum_over_time_div_thresh,1.1944187662182562,1.4266361890943413,1605632,4,128
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[16].pth,cnn2_L[16].pth,16,16,0,normal,if1_rate_normalized,sum_over_time_div_thresh,2.39476061951315,5.734878424771005,1605632,4,128
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[16].pth,cnn2_L[16].pth,16,32,0,normal,if1_rate_normalized,sum_over_time_div_thresh,5.011436496982182,25.11449576328505,1605632,4,128
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[32].pth,cnn2_L[32].pth,32,2,0,normal,if1_rate_normalized,sum_over_time_div_thresh,0.33107032741399794,0.10960756169401181,1605632,4,128
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[32].pth,cnn2_L[32].pth,32,4,0,normal,if1_rate_normalized,sum_over_time_div_thresh,0.5233213898538632,0.27386527707857905,1605632,4,128
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[32].pth,cnn2_L[32].pth,32,8,0,normal,if1_rate_normalized,sum_over_time_div_thresh,1.1871269115232745,1.4092703040627883,1605632,4,128
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[32].pth,cnn2_L[32].pth,32,16,0,normal,if1_rate_normalized,sum_over_time_div_thresh,2.4596421367416887,6.049839440835221,1605632,4,128
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[32].pth,cnn2_L[32].pth,32,32,0,normal,if1_rate_normalized,sum_over_time_div_thresh,5.242416086063162,27.482926419413804,1605632,4,128
