folder,checkpoint,checkpoint_name,L,T,if_mode,metric,time_reduce,p_e_if1_firing_rate,equal_count,total_count,noise_variance,noise_sigma,noise_type,repeats,max_batches
mnist-checkpoints,mnist-checkpoints/cnn2_L[32].pth,cnn2_L[32].pth,32,32,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.5638236740008503,2715880,4816896,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[2].pth,cnn2_L[2].pth,2,2,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7854160386688855,30266139,38535168,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[2].pth,cnn2_L[2].pth,2,4,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7747343673187048,29854519,38535168,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[2].pth,cnn2_L[2].pth,2,8,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7445196034956951,28690188,38535168,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[2].pth,cnn2_L[2].pth,2,16,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7273301883619658,28027791,38535168,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[2].pth,cnn2_L[2].pth,2,32,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7192427187549825,27716139,38535168,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[4].pth,cnn2_L[4].pth,4,2,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.791583184482289,30503791,38535168,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[4].pth,cnn2_L[4].pth,4,4,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7337699423030931,28275948,38535168,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[4].pth,cnn2_L[4].pth,4,8,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.6977990857597922,26889805,38535168,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[4].pth,cnn2_L[4].pth,4,16,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.6734809875488281,25952703,38535168,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[4].pth,cnn2_L[4].pth,4,32,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.6618109982029922,25502998,38535168,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[8].pth,cnn2_L[8].pth,8,2,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.8206201670121174,31622736,38535168,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[8].pth,cnn2_L[8].pth,8,4,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7722326006208148,29758113,38535168,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[8].pth,cnn2_L[8].pth,8,8,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.727401370093936,28030534,38535168,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[8].pth,cnn2_L[8].pth,8,16,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.6941949234527796,26750918,38535168,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[8].pth,cnn2_L[8].pth,8,32,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.6738753286348719,25967899,38535168,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[16].pth,cnn2_L[16].pth,16,2,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.8627659285149607,33246830,38535168,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[16].pth,cnn2_L[16].pth,16,4,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7991733421273783,30796279,38535168,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[16].pth,cnn2_L[16].pth,16,8,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7556007021949405,29117200,38535168,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[16].pth,cnn2_L[16].pth,16,16,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7240746945750957,27902340,38535168,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[16].pth,cnn2_L[16].pth,16,32,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7022166349449936,27060036,38535168,0.5,0.7071067811865476,gaussian,6,4
