folder,checkpoint,checkpoint_name,L,T,if_mode,metric,time_reduce,sigma_eff,var_eff,rms_delta,noise_variance,noise_sigma,noise_type,repeats,max_batches
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[16].pth,cnn2_L[16].pth,16,2,rate_uniform,pre_quant_if1_input,mean_over_time,1.118149313041669,1.2502578862555567,1.1181493142051349,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[16].pth,cnn2_L[16].pth,16,4,rate_uniform,pre_quant_if1_input,mean_over_time,0.7900178447946349,0.6241281950939599,0.7900178450317542,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[16].pth,cnn2_L[16].pth,16,8,rate_uniform,pre_quant_if1_input,mean_over_time,0.558168978166752,0.3115526081877161,0.558168987987681,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[16].pth,cnn2_L[16].pth,16,16,rate_uniform,pre_quant_if1_input,mean_over_time,0.3952175647108031,0.15619692345593783,0.3952175756265066,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[16].pth,cnn2_L[16].pth,16,32,rate_uniform,pre_quant_if1_input,mean_over_time,0.2796334134982804,0.07819484594470028,0.2796334182803536,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[32].pth,cnn2_L[32].pth,32,2,rate_uniform,pre_quant_if1_input,mean_over_time,1.0884866327598157,1.184803149696802,1.088486645176339,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[32].pth,cnn2_L[32].pth,32,4,rate_uniform,pre_quant_if1_input,mean_over_time,0.7690235776429782,0.5913972629708057,0.7690235840623638,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[32].pth,cnn2_L[32].pth,32,8,rate_uniform,pre_quant_if1_input,mean_over_time,0.5432172315883049,0.29508496069446205,0.5432172505750664,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[32].pth,cnn2_L[32].pth,32,16,rate_uniform,pre_quant_if1_input,mean_over_time,0.3846433996122958,0.1479505448653043,0.3846433996934701,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[32].pth,cnn2_L[32].pth,32,32,rate_uniform,pre_quant_if1_input,mean_over_time,0.2722934229884089,0.07414370820274459,0.27229342299743553,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[2].pth,cnn2_L[2].pth,2,2,rate_uniform,pre_quant_if1_input,mean_over_time,1.675306330234927,2.806651300125218,1.6753063729535973,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[2].pth,cnn2_L[2].pth,2,4,rate_uniform,pre_quant_if1_input,mean_over_time,1.1838310449747913,1.4014559430461064,1.1838311087530156,0.5,0.7071067811865476,gaussian,6,4
