checkpoint,layer,type,shape,m_layer_mean,m_layer_strict,numel
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed48.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.31595999002456665,0.3340376615524292,18
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed48.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.327154278755188,0.3601545989513397,72
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed49.pth,classifier.weight,fc,"(10, 196)",0.30265676975250244,0.4266795814037323,1960
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed49.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.5393097400665283,0.5735803842544556,18
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed49.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.3836781084537506,0.4813499450683594,72
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed50.pth,classifier.weight,fc,"(10, 196)",0.37531986832618713,0.5235699415206909,1960
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed50.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.5759198665618896,0.6997822523117065,18
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed50.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.33625268936157227,0.38280588388442993,72
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed51.pth,classifier.weight,fc,"(10, 196)",0.2746518552303314,0.37737220525741577,1960
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed51.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.5791696906089783,0.7172766923904419,18
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed51.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.3303232789039612,0.41014277935028076,72
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed52.pth,classifier.weight,fc,"(10, 196)",0.2692868113517761,0.410519540309906,1960
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed52.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.46675029397010803,0.5569984912872314,18
