model,architecture,method,method_label,seed,layer,channels,if_threshold,bn_gamma_abs_mean,bn_beta_abs_mean,folded_threshold_normalized_gain
cnn6_vgg,"Wide, staged pool",wd_weight_only,Weights only,42,1,8,7.617104530334473,1.2469147443771362,0.31452837586402893,0.3279665968494153
cnn6_vgg,"Wide, staged pool",wd_weight_only,Weights only,42,2,8,7.650945663452148,1.2841057777404785,0.14649750292301178,0.18004831607461838
cnn6_vgg,"Wide, staged pool",wd_weight_only,Weights only,42,3,16,7.381755352020264,1.256459355354309,0.12861567735671997,0.127184194532802
cnn6_vgg,"Wide, staged pool",wd_weight_only,Weights only,42,4,16,7.44643497467041,1.2375774383544922,0.0807376503944397,0.18526884350557327
cnn6_vgg,"Wide, staged pool",wd_weight_only,Weights only,42,5,32,7.312193870544434,1.1539216041564941,0.03475599363446236,0.14600261454288202
cnn6_vgg,"Wide, staged pool",wd_weight_only,Weights only,42,6,32,7.616832733154297,1.2485032081604004,0.11795598268508911,0.2601863717093701
cnn6_vgg,"Wide, staged pool",manual_l2_w_bn,Weights + BN,42,1,8,7.494028091430664,1.0247632265090942,0.2804741859436035,0.27865339100689485
cnn6_vgg,"Wide, staged pool",manual_l2_w_bn,Weights + BN,42,2,8,7.5664873123168945,1.0393400192260742,0.09832508862018585,0.18602947324837493
cnn6_vgg,"Wide, staged pool",manual_l2_w_bn,Weights + BN,42,3,16,7.2770586013793945,0.9863846898078918,0.1129993349313736,0.12019903121127928
cnn6_vgg,"Wide, staged pool",manual_l2_w_bn,Weights + BN,42,4,16,7.358642101287842,0.9663819074630737,0.08583450317382812,0.18279278892562464
cnn6_vgg,"Wide, staged pool",manual_l2_w_bn,Weights + BN,42,5,32,7.159287452697754,0.8842133283615112,0.03927350044250488,0.145060853684035
cnn6_vgg,"Wide, staged pool",manual_l2_w_bn,Weights + BN,42,6,32,7.589649200439453,1.0344328880310059,0.042706385254859924,0.2694680249651557
cnn6_vgg,"Wide, staged pool",manual_l2_w_if,Weights + IF,42,1,8,5.309874534606934,1.1855874061584473,0.32967281341552734,0.433428725291668
cnn6_vgg,"Wide, staged pool",manual_l2_w_if,Weights + IF,42,2,8,5.385744571685791,1.1993765830993652,0.14325584471225739,0.2702654603582794
cnn6_vgg,"Wide, staged pool",manual_l2_w_if,Weights + IF,42,3,16,5.129391193389893,1.205847144126892,0.10358352214097977,0.19583444839809452
cnn6_vgg,"Wide, staged pool",manual_l2_w_if,Weights + IF,42,4,16,5.217379093170166,1.174161434173584,0.08498375117778778,0.267667896475436
cnn6_vgg,"Wide, staged pool",manual_l2_w_if,Weights + IF,42,5,32,5.089878559112549,1.1172229051589966,0.03631621226668358,0.21689574102370815
cnn6_vgg,"Wide, staged pool",manual_l2_w_if,Weights + IF,42,6,32,5.3670654296875,1.2490127086639404,0.12335208058357239,0.395318311731917
cnn6_vgg,"Wide, staged pool",manual_l2_w_bn_if,Weights + BN + IF,42,1,8,5.2097673416137695,0.9519006013870239,0.25960373878479004,0.3482191109256804
cnn6_vgg,"Wide, staged pool",manual_l2_w_bn_if,Weights + BN + IF,42,2,8,5.278351306915283,0.9482443332672119,0.12736381590366364,0.2683245273875816
cnn6_vgg,"Wide, staged pool",manual_l2_w_bn_if,Weights + BN + IF,42,3,16,5.04063606262207,0.9215561151504517,0.08342882245779037,0.19015814798711986
cnn6_vgg,"Wide, staged pool",manual_l2_w_bn_if,Weights + BN + IF,42,4,16,5.095794677734375,0.9073145389556885,0.06980504840612411,0.2671635791933296
cnn6_vgg,"Wide, staged pool",manual_l2_w_bn_if,Weights + BN + IF,42,5,32,4.947178840637207,0.8399940729141235,0.029389498755335808,0.21151122926779986
cnn6_vgg,"Wide, staged pool",manual_l2_w_bn_if,Weights + BN + IF,42,6,32,5.319509983062744,1.0460973978042603,0.04589516669511795,0.43828083935189815
cnn6_vgg,"Wide, staged pool",manual_l2_all,All parameters,42,1,8,5.16270112991333,0.9586164951324463,0.26925086975097656,0.3693220469790219
cnn6_vgg,"Wide, staged pool",manual_l2_all,All parameters,42,2,8,5.217047691345215,0.970491886138916,0.13947129249572754,0.27937837526948894
cnn6_vgg,"Wide, staged pool",manual_l2_all,All parameters,42,3,16,5.019521713256836,0.9196328520774841,0.09148703515529633,0.1876225210460832
cnn6_vgg,"Wide, staged pool",manual_l2_all,All parameters,42,4,16,5.074117660522461,0.9042618870735168,0.07143429666757584,0.26529222641039124
cnn6_vgg,"Wide, staged pool",manual_l2_all,All parameters,42,5,32,4.927663803100586,0.8362827897071838,0.03900836035609245,0.21714877085578582
cnn6_vgg,"Wide, staged pool",manual_l2_all,All parameters,42,6,32,5.287293910980225,1.0539472103118896,0.04839780926704407,0.44003263320515024
