model,method,method_label,seed,sigma,noise_repeat,noise_seed,L,T,noise_position,checkpoint,layer_index,layer,relative_l2,layer_amplification,cosine_similarity,spike_mismatch_rate,clean_rms,noisy_rms,clean_boundary_margin_mean,clean_boundary_margin_lt_0p05,clean_boundary_margin_lt_0p10,clean_firing_rate,clean_zero_ratio,clean_saturation_ratio,noisy_boundary_margin_mean,noisy_boundary_margin_lt_0p05,noisy_boundary_margin_lt_0p10,noisy_firing_rate,noisy_zero_ratio,noisy_saturation_ratio
cnn6_vgg,wd_weight_only,weights only,42,0.5,2,20262803,16,16,post_input_if,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth,6,if6,0.7009965009770551,1.1564732447396961,0.7544036732570135,0.0932921584771604,2.1832001581788063,2.1928891241550446,2.1429631486535072,0.045059514814056456,0.09014767874032259,0.08216392667964101,0.6031372547149658,0.00042257502718712203,2.1946449652314186,0.04477302310988307,0.08980887057259679,0.08289128658361733,0.6027934700250626,0.0002581537942205614
cnn6_vgg,wd_weight_only,weights only,42,0.5,3,20263803,16,16,post_input_if,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth,0,post_input_if,0.15546796552743336,1.0,0.9881234694847032,nan,1.7302527725696564,1.8008758090436459,,,,,,,,,,,,
cnn6_vgg,wd_weight_only,weights only,42,0.5,3,20263803,16,16,post_input_if,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth,1,if1,0.3204616942652915,2.0612715499177474,0.9497805408586468,0.04174943359530702,2.169361412525177,2.15604155510664,1.1036463733762503,0.09249013592489064,0.12128066807053983,0.08111616363748908,0.3783981865271926,2.8259899877980388e-05,1.1711025163531303,0.06732216547243297,0.13452358357608318,0.08012331579811871,0.41635675821453333,8.524680458776857e-05
cnn6_vgg,wd_weight_only,weights only,42,0.5,3,20263803,16,16,post_input_if,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth,2,if2,0.44278244781998616,1.3817016378045872,0.9088884137054755,0.05227995405391771,1.8949885666370392,2.038639858365059,1.2925770990550518,0.04297528846655041,0.08480321010574698,0.06135453388560563,0.6242675632238388,0.00021027545130891667,1.2935653179883957,0.052027720492333174,0.10404391912743449,0.07100398978218436,0.5614891741424799,0.00024429632208011753
cnn6_vgg,wd_weight_only,weights only,42,0.5,3,20263803,16,16,post_input_if,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth,3,if3,0.4886247161407179,1.1035322618284296,0.8831748189571762,0.08238311689727161,2.166941776871681,2.2000616788864136,1.6193638145923615,0.05511147540528327,0.1122933195438236,0.0861774543300271,0.5288243088871241,0.00015430060932430933,1.6942715682089329,0.05377212737221271,0.1074436716735363,0.08883073157630861,0.5313529055565596,0.00012222601253597531
cnn6_vgg,wd_weight_only,weights only,42,0.5,3,20263803,16,16,post_input_if,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth,4,if4,0.5932784468049053,1.2141801820644054,0.8335565818103362,0.07599297348333865,1.9431028291583061,2.1134205237030983,1.8149900622665882,0.04117677581962198,0.08301637484692037,0.06809977954253554,0.6404202375560999,0.0002081734742205299,1.678043507039547,0.0496840177802369,0.09927944093942642,0.08055365667678416,0.5672565307468176,0.00012129180072406598
cnn6_vgg,wd_weight_only,weights only,42,0.5,3,20263803,16,16,post_input_if,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth,5,if5,0.6069125596478417,1.0229809677333852,0.8177415609664431,0.0923760277884347,2.1528473123908043,2.1743484288454056,2.098216228187084,0.047656311304308474,0.09516844316385686,0.0866868335288018,0.579264409840107,0.0002251449864161259,2.0988722816109657,0.04721816594246775,0.09421866037882864,0.08842452499084175,0.5804496183991432,0.00012269311764612212
cnn6_vgg,wd_weight_only,weights only,42,0.5,3,20263803,16,16,post_input_if,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth,6,if6,0.7010556191423296,1.1551179951673993,0.7544079123470129,0.09324920420743982,2.1832001581788063,2.1926780939102173,2.1429631486535072,0.045059514814056456,0.09014767874032259,0.08216392667964101,0.6031372547149658,0.00042257502718712203,2.1964303702116013,0.04494522919412702,0.0897967261262238,0.08287581452168524,0.6026337146759033,0.00026344766138208797
cnn6_vgg,wd_weight_only,weights only,42,0.5,4,20264803,16,16,post_input_if,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth,0,post_input_if,0.15542003780255015,1.0,0.9881381718313145,nan,1.7302527725696564,1.8012382984161377,,,,,,,,,,,,
cnn6_vgg,wd_weight_only,weights only,42,0.5,4,20264803,16,16,post_input_if,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth,1,if1,0.32023542607561833,2.0604513459355487,0.949854533362849,0.04173086127456354,2.169361412525177,2.156056970357895,1.1036463733762503,0.09249013592489064,0.12128066807053983,0.08111616363748908,0.3783981865271926,2.8259899877980388e-05,1.171391699463129,0.06713719177059829,0.13425850123167038,0.08012456679716706,0.4164005909115076,8.618101571755687e-05
cnn6_vgg,wd_weight_only,weights only,42,0.5,4,20264803,16,16,post_input_if,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth,2,if2,0.4424144699401207,1.381528818849829,0.9090173399121165,0.05222626121676698,1.8949885666370392,2.0383811071515083,1.2925770990550518,0.04297528846655041,0.08480321010574698,0.06135453388560563,0.6242675632238388,0.00021027545130891667,1.2936926558613777,0.05200031690765172,0.10393594019114971,0.07098574843257666,0.5614676084369421,0.00024398491768806707
cnn6_vgg,wd_weight_only,weights only,42,0.5,4,20264803,16,16,post_input_if,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth,3,if3,0.48806217848648015,1.1031786065960676,0.8834924516990763,0.08246525939630002,2.166941776871681,2.200673557817936,1.6193638145923615,0.05511147540528327,0.1122933195438236,0.0861774543300271,0.5288243088871241,0.00015430060932430933,1.6937686391174793,0.05363308545202017,0.10757056763395667,0.08888011868111789,0.5308126173913479,0.00012393873294058722
cnn6_vgg,wd_weight_only,weights only,42,0.5,4,20264803,16,16,post_input_if,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth,4,if4,0.5925884147285752,1.2141658191303395,0.8338415386571156,0.07596547263009208,1.9431028291583061,2.1124861985445023,1.8149900622665882,0.04117677581962198,0.08301637484692037,0.06809977954253554,0.6404202375560999,0.0002081734742205299,1.6783691570162773,0.04970005480572581,0.09949493245221674,0.08048271480947733,0.5674358978867531,0.00012191460791655118
cnn6_vgg,wd_weight_only,weights only,42,0.5,4,20264803,16,16,post_input_if,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth,5,if5,0.6070190160282987,1.0243518113770975,0.8174651368172302,0.0923548328633211,2.1528473123908043,2.173162505030632,2.098216228187084,0.047656311304308474,0.09516844316385686,0.0866868335288018,0.579264409840107,0.0002251449864161259,2.0974272713065147,0.04721256089396775,0.09445283678360283,0.08832839853130281,0.5803720764815807,0.0001230045209013042
cnn6_vgg,wd_weight_only,weights only,42,0.5,4,20264803,16,16,post_input_if,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth,6,if6,0.7013909994370173,1.155467919318559,0.7539629110291909,0.09330313546316964,2.1832001581788063,2.191865101456642,2.1429631486535072,0.045059514814056456,0.09014767874032259,0.08216392667964101,0.6031372547149658,0.00042257502718712203,2.1942377388477325,0.044726001331582665,0.08938037883490324,0.08281444804742932,0.6028613485395908,0.00025005729321492254
cnn6_vgg,wd_weight_only,weights only,42,1,0,20270803,16,16,post_input_if,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth,0,post_input_if,0.3113125353258971,1.0,0.954788807946971,nan,1.7302527725696564,1.9988067038357258,,,,,,,,,,,,
