stage,epoch,epochs,regularizer,reg_coeff,param_kind,layer,numel,value_mean,value_rms,value_l2,grad_ce_l2,grad_reg_l2,grad_total_l2,cos_ce_reg,dot_ce_reg,sign_agree_frac,grad_ce_mean,grad_reg_mean,ce_loss,reg_loss
early,0,300,mne_l2_all,0.0001,bn_gamma,layer3.5,256,0.9264873266220093,0.9265357255935669,14.82457160949707,0.004883246961981058,0.0029649140778928995,0.005733507219702005,0.008159996762824095,1.181437596642354e-07,0.4765625,2.8854287847934756e-06,0.00018529745284467936,2.1274662017822266,0.4488109350204468
early,0,300,mne_l2_all,0.0001,lambda,layer3.6,1,7.40534782409668,7.40534782409668,7.40534782409668,6.646360270678997e-05,0.0014810694847255945,0.0014146058820188046,-0.999999983190756,-9.84372121592969e-08,0.0,-6.646360270678997e-05,0.0014810694847255945,2.1274662017822266,0.4488109350204468
early,0,300,mne_l2_all,0.0001,bn_gamma,layer3.9,256,0.9264999628067017,0.9265339970588684,14.824543952941895,0.004427927080541849,0.002964908489957452,0.005322956945747137,-0.0024128276855354008,-3.1676563594373874e-08,0.49609375,-4.573885235004127e-07,0.00018529999942984432,2.1274662017822266,0.4488109350204468
early,0,300,mne_l2_all,0.0001,lambda,layer3.10,1,7.404721736907959,7.404721736907959,7.404721736907959,4.1243620216846466e-05,0.0014809443382546306,0.001522187958471477,0.9999999717072066,6.107950412115315e-08,1.0,4.1243620216846466e-05,0.0014809443382546306,2.1274662017822266,0.4488109350204468
early,0,300,mne_l2_all,0.0001,bn_gamma,layer4.1,512,0.9263532161712646,0.926368772983551,20.961332321166992,0.0042984639294445515,0.00419226661324501,0.00599794602021575,-0.002123659363329175,-3.82689933076108e-08,0.521484375,-4.1448902265983634e-07,0.00018527063366491348,2.1274662017822266,0.4488109350204468
early,0,300,mne_l2_all,0.0001,lambda,layer4.2,1,7.408187389373779,7.408187389373779,7.408187389373779,3.698794171214104e-05,0.0014816374750807881,0.0015186254167929292,0.9999999678959538,5.4802718807422934e-08,1.0,3.698794171214104e-05,0.0014816374750807881,2.1274662017822266,0.4488109350204468
early,0,300,mne_l2_all,0.0001,bn_gamma,layer4.5,512,0.9263556599617004,0.9263715147972107,20.961395263671875,0.004393320530653,0.004192279186099768,0.006052046548575163,-0.0067650948391328744,-1.2459969411793281e-07,0.537109375,-1.4208494576450903e-06,0.00018527112843003124,2.1274662017822266,0.4488109350204468
early,0,300,mne_l2_all,0.0001,lambda,layer4.6,1,7.407721996307373,7.407721996307373,7.407721996307373,9.509222581982613e-05,0.0014815443428233266,0.0015766365686431527,0.9999999637434266,1.4088334410189418e-07,1.0,9.509222581982613e-05,0.0014815443428233266,2.1274662017822266,0.4488109350204468
early,0,300,mne_l2_all,0.0001,bn_gamma,layer4.9,512,0.9262884259223938,0.9263007640838623,20.959793090820312,0.003990365192294121,0.004191958345472813,0.005788418930023909,0.0003068293185304228,5.132470448643289e-09,0.529296875,9.320092431153171e-08,0.00018525768246036023,2.1274662017822266,0.4488109350204468
early,0,300,mne_l2_all,0.0001,lambda,layer4.10,1,7.412254333496094,7.412254333496094,7.412254333496094,1.606857404112816e-05,0.001482450868934393,0.001498519442975521,1.0000000350919098,2.3820872385726943e-08,1.0,1.606857404112816e-05,0.001482450868934393,2.1274662017822266,0.4488109350204468
