arch,hidden_size,regularizer,if_mode,L,T,seed,acc,checkpoint
fc3rev_h128,128,weight_decay,normal,4,16,41,98.100000,mnist-checkpoints/fc3rev_h128_L[4]_strict_seed41_ablation_wd_l4_fc3rev_h128.pth
fc3rev_h128,128,weight_decay,normal,4,0,42,97.340000,mnist-checkpoints/fc3rev_h128_L[4]_strict_seed42_ablation_wd_l4_fc3rev_h128.pth
fc3rev_h128,128,weight_decay,normal,4,16,42,97.500000,mnist-checkpoints/fc3rev_h128_L[4]_strict_seed42_ablation_wd_l4_fc3rev_h128.pth
fc3rev_h128,128,weight_decay,normal,4,0,43,98.290000,mnist-checkpoints/fc3rev_h128_L[4]_strict_seed43_ablation_wd_l4_fc3rev_h128.pth
fc3rev_h128,128,weight_decay,normal,4,16,43,98.360000,mnist-checkpoints/fc3rev_h128_L[4]_strict_seed43_ablation_wd_l4_fc3rev_h128.pth
fc3rev_h128,128,weight_decay,normal,4,0,44,97.960000,mnist-checkpoints/fc3rev_h128_L[4]_strict_seed44_ablation_wd_l4_fc3rev_h128.pth
fc3rev_h128,128,weight_decay,normal,4,16,44,98.180000,mnist-checkpoints/fc3rev_h128_L[4]_strict_seed44_ablation_wd_l4_fc3rev_h128.pth
fc3rev_h128,128,weight_decay,normal,16,0,40,98.410000,mnist-checkpoints/fc3rev_h128_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h128.pth
fc3rev_h128,128,weight_decay,normal,16,16,40,98.400000,mnist-checkpoints/fc3rev_h128_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h128.pth
fc3rev_h128,128,weight_decay,normal,16,0,41,98.020000,mnist-checkpoints/fc3rev_h128_L[16]_strict_seed41_ablation_wd_l16_fc3rev_h128.pth
fc3rev_h128,128,weight_decay,normal,16,16,41,98.020000,mnist-checkpoints/fc3rev_h128_L[16]_strict_seed41_ablation_wd_l16_fc3rev_h128.pth
fc3rev_h128,128,weight_decay,normal,16,0,42,98.450000,mnist-checkpoints/fc3rev_h128_L[16]_strict_seed42_ablation_wd_l16_fc3rev_h128.pth
fc3rev_h128,128,weight_decay,normal,16,16,42,98.420000,mnist-checkpoints/fc3rev_h128_L[16]_strict_seed42_ablation_wd_l16_fc3rev_h128.pth
fc3rev_h128,128,weight_decay,normal,16,0,43,98.290000,mnist-checkpoints/fc3rev_h128_L[16]_strict_seed43_ablation_wd_l16_fc3rev_h128.pth
fc3rev_h128,128,weight_decay,normal,16,16,43,98.300000,mnist-checkpoints/fc3rev_h128_L[16]_strict_seed43_ablation_wd_l16_fc3rev_h128.pth
fc3rev_h128,128,weight_decay,normal,16,0,44,98.260000,mnist-checkpoints/fc3rev_h128_L[16]_strict_seed44_ablation_wd_l16_fc3rev_h128.pth
fc3rev_h128,128,weight_decay,normal,16,16,44,98.270000,mnist-checkpoints/fc3rev_h128_L[16]_strict_seed44_ablation_wd_l16_fc3rev_h128.pth
fc3rev_h256,256,weight_decay,normal,4,0,40,97.140000,mnist-checkpoints/fc3rev_h256_L[4]_strict_seed40_ablation_wd_l4_fc3rev_h256.pth
fc3rev_h256,256,weight_decay,normal,4,16,40,97.210000,mnist-checkpoints/fc3rev_h256_L[4]_strict_seed40_ablation_wd_l4_fc3rev_h256.pth
fc3rev_h256,256,weight_decay,normal,4,0,41,98.260000,mnist-checkpoints/fc3rev_h256_L[4]_strict_seed41_ablation_wd_l4_fc3rev_h256.pth
fc3rev_h256,256,weight_decay,normal,4,16,41,98.410000,mnist-checkpoints/fc3rev_h256_L[4]_strict_seed41_ablation_wd_l4_fc3rev_h256.pth
fc3rev_h256,256,weight_decay,normal,4,0,42,97.940000,mnist-checkpoints/fc3rev_h256_L[4]_strict_seed42_ablation_wd_l4_fc3rev_h256.pth
fc3rev_h256,256,weight_decay,normal,4,16,42,97.960000,mnist-checkpoints/fc3rev_h256_L[4]_strict_seed42_ablation_wd_l4_fc3rev_h256.pth
fc3rev_h256,256,weight_decay,normal,4,0,43,97.460000,mnist-checkpoints/fc3rev_h256_L[4]_strict_seed43_ablation_wd_l4_fc3rev_h256.pth
fc3rev_h256,256,weight_decay,normal,4,16,43,97.600000,mnist-checkpoints/fc3rev_h256_L[4]_strict_seed43_ablation_wd_l4_fc3rev_h256.pth
fc3rev_h256,256,weight_decay,normal,4,0,44,98.280000,mnist-checkpoints/fc3rev_h256_L[4]_strict_seed44_ablation_wd_l4_fc3rev_h256.pth
fc3rev_h256,256,weight_decay,normal,4,16,44,98.270000,mnist-checkpoints/fc3rev_h256_L[4]_strict_seed44_ablation_wd_l4_fc3rev_h256.pth
fc3rev_h256,256,weight_decay,normal,16,0,40,98.310000,mnist-checkpoints/fc3rev_h256_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h256.pth
fc3rev_h256,256,weight_decay,normal,16,16,40,98.290000,mnist-checkpoints/fc3rev_h256_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h256.pth
fc3rev_h256,256,weight_decay,normal,16,0,41,98.050000,mnist-checkpoints/fc3rev_h256_L[16]_strict_seed41_ablation_wd_l16_fc3rev_h256.pth
fc3rev_h256,256,weight_decay,normal,16,16,41,98.070000,mnist-checkpoints/fc3rev_h256_L[16]_strict_seed41_ablation_wd_l16_fc3rev_h256.pth
fc3rev_h256,256,weight_decay,normal,16,0,42,98.390000,mnist-checkpoints/fc3rev_h256_L[16]_strict_seed42_ablation_wd_l16_fc3rev_h256.pth
fc3rev_h256,256,weight_decay,normal,16,16,42,98.340000,mnist-checkpoints/fc3rev_h256_L[16]_strict_seed42_ablation_wd_l16_fc3rev_h256.pth
fc3rev_h256,256,weight_decay,normal,16,0,43,98.240000,mnist-checkpoints/fc3rev_h256_L[16]_strict_seed43_ablation_wd_l16_fc3rev_h256.pth
fc3rev_h256,256,weight_decay,normal,16,16,43,98.190000,mnist-checkpoints/fc3rev_h256_L[16]_strict_seed43_ablation_wd_l16_fc3rev_h256.pth
fc3rev_h256,256,weight_decay,normal,16,0,44,98.420000,mnist-checkpoints/fc3rev_h256_L[16]_strict_seed44_ablation_wd_l16_fc3rev_h256.pth
fc3rev_h256,256,weight_decay,normal,16,16,44,98.400000,mnist-checkpoints/fc3rev_h256_L[16]_strict_seed44_ablation_wd_l16_fc3rev_h256.pth
