dataset,method,method_label,sigma,n,acc_mean,acc_std
cifar10,weight_decay_weights_only,L2 weights-only,0.3,1,51.610000,0.000000
cifar10,weight_decay_weights_only,L2 weights-only,0.4,1,51.350000,0.000000
cifar10,weight_decay_weights_only,L2 weights-only,0.5,1,51.560000,0.000000
cifar10,weight_decay_weights_only,L2 weights-only,0.6,1,51.260000,0.000000
cifar10,weight_decay_weights_only,L2 weights-only,0.7,1,51.400000,0.000000
cifar10,weight_decay_weights_only,L2 weights-only,0.8,1,50.720000,0.000000
cifar10,weight_decay_weights_only,L2 weights-only,0.9,1,50.930000,0.000000
cifar10,weight_decay_weights_only,L2 weights-only,1,1,50.700000,0.000000
cifar100,manual_l2_all,L2 all,0,1,23.300000,0.000000
cifar100,manual_l2_all,L2 all,0.1,1,22.990000,0.000000
cifar100,manual_l2_all,L2 all,0.2,1,23.200000,0.000000
cifar100,manual_l2_all,L2 all,0.3,1,23.260000,0.000000
cifar100,manual_l2_all,L2 all,0.4,1,22.890000,0.000000
cifar100,manual_l2_all,L2 all,0.5,1,22.810000,0.000000
cifar100,manual_l2_all,L2 all,0.6,1,22.800000,0.000000
cifar100,manual_l2_all,L2 all,0.7,1,22.790000,0.000000
cifar100,manual_l2_all,L2 all,0.8,1,22.650000,0.000000
cifar100,manual_l2_all,L2 all,0.9,1,22.390000,0.000000
cifar100,manual_l2_all,L2 all,1,1,22.580000,0.000000
cifar100,no_reg,No-reg,0,1,9.590000,0.000000
cifar100,no_reg,No-reg,0.1,1,9.580000,0.000000
cifar100,no_reg,No-reg,0.2,1,9.450000,0.000000
cifar100,no_reg,No-reg,0.3,1,9.360000,0.000000
cifar100,no_reg,No-reg,0.4,1,9.480000,0.000000
cifar100,no_reg,No-reg,0.5,1,9.250000,0.000000
cifar100,no_reg,No-reg,0.6,1,9.160000,0.000000
cifar100,no_reg,No-reg,0.7,1,9.390000,0.000000
cifar100,no_reg,No-reg,0.8,1,9.440000,0.000000
cifar100,no_reg,No-reg,0.9,1,9.200000,0.000000
cifar100,no_reg,No-reg,1,1,9.340000,0.000000
cifar100,old_detach,MNE-standard,0,1,7.250000,0.000000
cifar100,old_detach,MNE-standard,0.1,1,7.190000,0.000000
cifar100,old_detach,MNE-standard,0.2,1,7.270000,0.000000
cifar100,old_detach,MNE-standard,0.3,1,7.120000,0.000000
cifar100,old_detach,MNE-standard,0.4,1,7.340000,0.000000
cifar100,old_detach,MNE-standard,0.5,1,7.020000,0.000000
cifar100,old_detach,MNE-standard,0.6,1,7.190000,0.000000
cifar100,old_detach,MNE-standard,0.7,1,7.120000,0.000000
cifar100,old_detach,MNE-standard,0.8,1,7.030000,0.000000
cifar100,old_detach,MNE-standard,0.9,1,7.260000,0.000000
cifar100,old_detach,MNE-standard,1,1,7.160000,0.000000
cifar100,weight_decay_weights_only,L2 weights-only,0,1,24.990000,0.000000
cifar100,weight_decay_weights_only,L2 weights-only,0.1,1,24.570000,0.000000
cifar100,weight_decay_weights_only,L2 weights-only,0.2,1,24.790000,0.000000
cifar100,weight_decay_weights_only,L2 weights-only,0.3,1,24.530000,0.000000
cifar100,weight_decay_weights_only,L2 weights-only,0.4,1,24.540000,0.000000
cifar100,weight_decay_weights_only,L2 weights-only,0.5,1,24.610000,0.000000
cifar100,weight_decay_weights_only,L2 weights-only,0.6,1,24.180000,0.000000
cifar100,weight_decay_weights_only,L2 weights-only,0.7,1,24.400000,0.000000
cifar100,weight_decay_weights_only,L2 weights-only,0.8,1,23.960000,0.000000
cifar100,weight_decay_weights_only,L2 weights-only,0.9,1,24.010000,0.000000
cifar100,weight_decay_weights_only,L2 weights-only,1,1,23.720000,0.000000
