arch,c1,c2,size_label,regularizer,sigma,acc_mean,acc_std,n_seeds
cnn2_c16_c32,16,32,c16c32,mne_l2,0.1,97.806000,0.610270,5
cnn2_c16_c32,16,32,c16c32,mne_l2,0.2,97.774000,0.552205,5
cnn2_c16_c32,16,32,c16c32,mne_l2,0.3,97.732000,0.647819,5
cnn2_c16_c32,16,32,c16c32,mne_l2,0.4,97.706000,0.585431,5
cnn2_c16_c32,16,32,c16c32,mne_l2,0.5,97.722000,0.646815,5
cnn2_c16_c32,16,32,c16c32,mne_l2,0.6,97.596000,0.683469,5
cnn2_c16_c32,16,32,c16c32,mne_l2,0.7,97.498000,0.657016,5
cnn2_c16_c32,16,32,c16c32,mne_l2,0.8,97.534000,0.642441,5
cnn2_c16_c32,16,32,c16c32,mne_l2,0.9,97.402000,0.775094,5
cnn2_c16_c32,16,32,c16c32,mne_l2,1.0,97.152000,0.857770,5
cnn2_c16_c32,16,32,c16c32,weight_decay,0.0,98.912000,0.119457,5
cnn2_c16_c32,16,32,c16c32,weight_decay,0.1,98.898000,0.092033,5
cnn2_c16_c32,16,32,c16c32,weight_decay,0.2,98.834000,0.078294,5
cnn2_c16_c32,16,32,c16c32,weight_decay,0.3,98.580000,0.069642,5
cnn2_c16_c32,16,32,c16c32,weight_decay,0.4,97.920000,0.224165,5
cnn2_c16_c32,16,32,c16c32,weight_decay,0.5,96.786000,0.525576,5
cnn2_c16_c32,16,32,c16c32,weight_decay,0.6,95.018000,0.919875,5
cnn2_c16_c32,16,32,c16c32,weight_decay,0.7,92.560000,1.254392,5
cnn2_c16_c32,16,32,c16c32,weight_decay,0.8,89.540000,1.468894,5
cnn2_c16_c32,16,32,c16c32,weight_decay,0.9,85.888000,1.692563,5
cnn2_c16_c32,16,32,c16c32,weight_decay,1.0,82.340000,1.690311,5
cnn2_c16_c32,16,32,c16c32,no_regularization,0.0,99.070000,0.058310,5
cnn2_c16_c32,16,32,c16c32,no_regularization,0.1,98.806000,0.177426,5
cnn2_c16_c32,16,32,c16c32,no_regularization,0.2,98.634000,0.249860,5
cnn2_c16_c32,16,32,c16c32,no_regularization,0.3,98.220000,0.382557,5
cnn2_c16_c32,16,32,c16c32,no_regularization,0.4,97.710000,0.605805,5
cnn2_c16_c32,16,32,c16c32,no_regularization,0.5,97.164000,0.861760,5
cnn2_c16_c32,16,32,c16c32,no_regularization,0.6,96.592000,0.912398,5
cnn2_c16_c32,16,32,c16c32,no_regularization,0.7,95.760000,1.099841,5
cnn2_c16_c32,16,32,c16c32,no_regularization,0.8,94.902000,1.252066,5
cnn2_c16_c32,16,32,c16c32,no_regularization,0.9,94.050000,1.410674,5
cnn2_c16_c32,16,32,c16c32,no_regularization,1.0,93.048000,1.569990,5
