dataset,variant,variant_label,regularizer,reg_coeff,sigma,n,acc_mean,acc_std
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,0.5,1,45.090000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,0.55,1,45.040000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,0.6,1,45.130000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,0.65,1,45.140000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,0.7,1,45.250000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,0.75,1,45.160000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,0.8,1,45.190000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,0.85,1,45.000000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,0.9,1,45.300000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,0.95,1,44.930000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,1,1,45.000000,0.000000
cifar10,l2_numerator_rc1em7,mne_l2_numerator_lambda_trainable_rc1em7,mne_l2,1e-07,0,1,89.730000,0.000000
cifar10,l2_numerator_rc1em7,mne_l2_numerator_lambda_trainable_rc1em7,mne_l2,1e-07,0.05,1,89.690000,0.000000
cifar10,l2_numerator_rc1em7,mne_l2_numerator_lambda_trainable_rc1em7,mne_l2,1e-07,0.1,1,89.720000,0.000000
cifar10,l2_numerator_rc1em7,mne_l2_numerator_lambda_trainable_rc1em7,mne_l2,1e-07,0.15,1,89.730000,0.000000
cifar10,l2_numerator_rc1em7,mne_l2_numerator_lambda_trainable_rc1em7,mne_l2,1e-07,0.2,1,89.720000,0.000000
cifar10,l2_numerator_rc1em7,mne_l2_numerator_lambda_trainable_rc1em7,mne_l2,1e-07,0.25,1,89.680000,0.000000
cifar10,l2_numerator_rc1em7,mne_l2_numerator_lambda_trainable_rc1em7,mne_l2,1e-07,0.3,1,89.690000,0.000000
cifar10,l2_numerator_rc1em7,mne_l2_numerator_lambda_trainable_rc1em7,mne_l2,1e-07,0.35,1,89.730000,0.000000
cifar10,l2_numerator_rc1em7,mne_l2_numerator_lambda_trainable_rc1em7,mne_l2,1e-07,0.4,1,89.580000,0.000000
cifar10,l2_numerator_rc1em7,mne_l2_numerator_lambda_trainable_rc1em7,mne_l2,1e-07,0.45,1,89.730000,0.000000
cifar10,l2_numerator_rc1em7,mne_l2_numerator_lambda_trainable_rc1em7,mne_l2,1e-07,0.5,1,89.740000,0.000000
cifar10,l2_numerator_rc1em7,mne_l2_numerator_lambda_trainable_rc1em7,mne_l2,1e-07,0.55,1,89.700000,0.000000
cifar10,l2_numerator_rc1em7,mne_l2_numerator_lambda_trainable_rc1em7,mne_l2,1e-07,0.6,1,89.760000,0.000000
cifar10,l2_numerator_rc1em7,mne_l2_numerator_lambda_trainable_rc1em7,mne_l2,1e-07,0.65,1,89.780000,0.000000
cifar10,l2_numerator_rc1em7,mne_l2_numerator_lambda_trainable_rc1em7,mne_l2,1e-07,0.7,1,89.690000,0.000000
cifar10,l2_numerator_rc1em7,mne_l2_numerator_lambda_trainable_rc1em7,mne_l2,1e-07,0.75,1,89.680000,0.000000
cifar10,l2_numerator_rc1em7,mne_l2_numerator_lambda_trainable_rc1em7,mne_l2,1e-07,0.8,1,89.750000,0.000000
cifar10,l2_numerator_rc1em7,mne_l2_numerator_lambda_trainable_rc1em7,mne_l2,1e-07,0.85,1,89.810000,0.000000
cifar10,l2_numerator_rc1em7,mne_l2_numerator_lambda_trainable_rc1em7,mne_l2,1e-07,0.9,1,89.640000,0.000000
cifar10,l2_numerator_rc1em7,mne_l2_numerator_lambda_trainable_rc1em7,mne_l2,1e-07,0.95,1,89.720000,0.000000
cifar10,l2_numerator_rc1em7,mne_l2_numerator_lambda_trainable_rc1em7,mne_l2,1e-07,1,1,89.590000,0.000000
cifar10,l2_numerator_detach_rc1em7,mne_l2_numerator_detach_lambda_rc1em7,mne_l2,1e-07,0,1,89.990000,0.000000
cifar10,l2_numerator_detach_rc1em7,mne_l2_numerator_detach_lambda_rc1em7,mne_l2,1e-07,0.05,1,89.930000,0.000000
cifar10,l2_numerator_detach_rc1em7,mne_l2_numerator_detach_lambda_rc1em7,mne_l2,1e-07,0.1,1,89.930000,0.000000
cifar10,l2_numerator_detach_rc1em7,mne_l2_numerator_detach_lambda_rc1em7,mne_l2,1e-07,0.15,1,89.980000,0.000000
cifar10,l2_numerator_detach_rc1em7,mne_l2_numerator_detach_lambda_rc1em7,mne_l2,1e-07,0.2,1,89.900000,0.000000
cifar10,l2_numerator_detach_rc1em7,mne_l2_numerator_detach_lambda_rc1em7,mne_l2,1e-07,0.25,1,89.960000,0.000000
cifar10,l2_numerator_detach_rc1em7,mne_l2_numerator_detach_lambda_rc1em7,mne_l2,1e-07,0.3,1,89.920000,0.000000
cifar10,l2_numerator_detach_rc1em7,mne_l2_numerator_detach_lambda_rc1em7,mne_l2,1e-07,0.35,1,89.880000,0.000000
cifar10,l2_numerator_detach_rc1em7,mne_l2_numerator_detach_lambda_rc1em7,mne_l2,1e-07,0.4,1,89.820000,0.000000
cifar10,l2_numerator_detach_rc1em7,mne_l2_numerator_detach_lambda_rc1em7,mne_l2,1e-07,0.45,1,89.970000,0.000000
cifar10,l2_numerator_detach_rc1em7,mne_l2_numerator_detach_lambda_rc1em7,mne_l2,1e-07,0.5,1,89.870000,0.000000
cifar10,l2_numerator_detach_rc1em7,mne_l2_numerator_detach_lambda_rc1em7,mne_l2,1e-07,0.55,1,89.970000,0.000000
cifar10,l2_numerator_detach_rc1em7,mne_l2_numerator_detach_lambda_rc1em7,mne_l2,1e-07,0.6,1,89.890000,0.000000
cifar10,l2_numerator_detach_rc1em7,mne_l2_numerator_detach_lambda_rc1em7,mne_l2,1e-07,0.65,1,89.920000,0.000000
cifar10,l2_numerator_detach_rc1em7,mne_l2_numerator_detach_lambda_rc1em7,mne_l2,1e-07,0.7,1,90.060000,0.000000
cifar10,l2_numerator_detach_rc1em7,mne_l2_numerator_detach_lambda_rc1em7,mne_l2,1e-07,0.75,1,89.860000,0.000000
cifar10,l2_numerator_detach_rc1em7,mne_l2_numerator_detach_lambda_rc1em7,mne_l2,1e-07,0.8,1,89.820000,0.000000
cifar10,l2_numerator_detach_rc1em7,mne_l2_numerator_detach_lambda_rc1em7,mne_l2,1e-07,0.85,1,89.950000,0.000000
cifar10,l2_numerator_detach_rc1em7,mne_l2_numerator_detach_lambda_rc1em7,mne_l2,1e-07,0.9,1,89.960000,0.000000
cifar10,l2_numerator_detach_rc1em7,mne_l2_numerator_detach_lambda_rc1em7,mne_l2,1e-07,0.95,1,89.840000,0.000000
cifar10,l2_numerator_detach_rc1em7,mne_l2_numerator_detach_lambda_rc1em7,mne_l2,1e-07,1,1,89.960000,0.000000
