dataset,arch,method,label,reg_coeff,weight_decay,seed,L,T,if_mode,sigma,acc,checkpoint,matrix_csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.45,88.0,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_mne_l2_noreg_pre_first_conv_seed42/weight_decay/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.5,87.25,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_mne_l2_noreg_pre_first_conv_seed42/weight_decay/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.55,86.47,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_mne_l2_noreg_pre_first_conv_seed42/weight_decay/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.6,85.47,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_mne_l2_noreg_pre_first_conv_seed42/weight_decay/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.65,84.02,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_mne_l2_noreg_pre_first_conv_seed42/weight_decay/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.7,83.34,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_mne_l2_noreg_pre_first_conv_seed42/weight_decay/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.75,82.09,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_mne_l2_noreg_pre_first_conv_seed42/weight_decay/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.8,80.47,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_mne_l2_noreg_pre_first_conv_seed42/weight_decay/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.85,79.0,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_mne_l2_noreg_pre_first_conv_seed42/weight_decay/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.9,77.68,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_mne_l2_noreg_pre_first_conv_seed42/weight_decay/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.95,76.08,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_mne_l2_noreg_pre_first_conv_seed42/weight_decay/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,1.0,74.4,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_mne_l2_noreg_pre_first_conv_seed42/weight_decay/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay_weights_only,weight_decay_weights_only,,0.0005,42,16,16,rate_uniform,0.0,91.17,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_mne_l2_noreg_pre_first_conv_seed42/weight_decay_weights_only/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay_weights_only,weight_decay_weights_only,,0.0005,42,16,16,rate_uniform,0.05,91.14,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_mne_l2_noreg_pre_first_conv_seed42/weight_decay_weights_only/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay_weights_only,weight_decay_weights_only,,0.0005,42,16,16,rate_uniform,0.1,91.09,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_mne_l2_noreg_pre_first_conv_seed42/weight_decay_weights_only/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay_weights_only,weight_decay_weights_only,,0.0005,42,16,16,rate_uniform,0.15,91.0,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_mne_l2_noreg_pre_first_conv_seed42/weight_decay_weights_only/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay_weights_only,weight_decay_weights_only,,0.0005,42,16,16,rate_uniform,0.2,90.76,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_mne_l2_noreg_pre_first_conv_seed42/weight_decay_weights_only/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
