arch,hidden_size,regularizer,if_mode,L,T,sigma,acc_mean,acc_std,n_seeds
fc3rev_h128,128,weight_decay,rate_uniform,16,16,0.85,97.740000,0.079687,5
fc3rev_h128,128,weight_decay,rate_uniform,16,16,0.90,97.686000,0.123004,5
fc3rev_h128,128,weight_decay,rate_uniform,16,16,0.95,97.736000,0.077653,5
fc3rev_h128,128,weight_decay,rate_uniform,16,16,1.00,97.640000,0.137659,5
fc3rev_h256,256,weight_decay,rate_uniform,16,16,0.00,97.972000,0.071903,5
fc3rev_h256,256,weight_decay,rate_uniform,16,16,0.05,97.948000,0.095237,5
fc3rev_h256,256,weight_decay,rate_uniform,16,16,0.10,97.900000,0.086313,5
fc3rev_h256,256,weight_decay,rate_uniform,16,16,0.15,97.928000,0.153036,5
fc3rev_h256,256,weight_decay,rate_uniform,16,16,0.20,97.928000,0.132552,5
fc3rev_h256,256,weight_decay,rate_uniform,16,16,0.25,97.928000,0.078549,5
fc3rev_h256,256,weight_decay,rate_uniform,16,16,0.30,97.914000,0.106207,5
fc3rev_h256,256,weight_decay,rate_uniform,16,16,0.35,97.896000,0.127789,5
fc3rev_h256,256,weight_decay,rate_uniform,16,16,0.40,97.856000,0.127593,5
fc3rev_h256,256,weight_decay,rate_uniform,16,16,0.45,97.884000,0.155660,5
fc3rev_h256,256,weight_decay,rate_uniform,16,16,0.50,97.844000,0.118448,5
fc3rev_h256,256,weight_decay,rate_uniform,16,16,0.55,97.796000,0.177426,5
fc3rev_h256,256,weight_decay,rate_uniform,16,16,0.60,97.838000,0.124378,5
fc3rev_h256,256,weight_decay,rate_uniform,16,16,0.65,97.810000,0.122678,5
fc3rev_h256,256,weight_decay,rate_uniform,16,16,0.70,97.756000,0.108995,5
fc3rev_h256,256,weight_decay,rate_uniform,16,16,0.75,97.792000,0.107331,5
fc3rev_h256,256,weight_decay,rate_uniform,16,16,0.80,97.740000,0.156525,5
fc3rev_h256,256,weight_decay,rate_uniform,16,16,0.85,97.686000,0.146390,5
fc3rev_h256,256,weight_decay,rate_uniform,16,16,0.90,97.632000,0.206809,5
fc3rev_h256,256,weight_decay,rate_uniform,16,16,0.95,97.726000,0.104067,5
fc3rev_h256,256,weight_decay,rate_uniform,16,16,1.00,97.530000,0.125100,5
