arch,hidden_size,regularizer,if_mode,L,T,sigma,acc_mean,acc_std,n_seeds
fc3rev_h8,8,no_regularization,rate_uniform,16,16,0.75,85.556000,3.073244,5
fc3rev_h8,8,no_regularization,rate_uniform,16,16,0.80,84.648000,3.250303,5
fc3rev_h8,8,no_regularization,rate_uniform,16,16,0.85,83.538000,3.981503,5
fc3rev_h8,8,no_regularization,rate_uniform,16,16,0.90,82.548000,3.766068,5
fc3rev_h8,8,no_regularization,rate_uniform,16,16,0.95,81.254000,4.170315,5
fc3rev_h8,8,no_regularization,rate_uniform,16,16,1.00,80.520000,3.900859,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.00,93.708000,0.993162,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.05,93.656000,0.962408,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.10,93.508000,0.989859,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.15,93.558000,0.989960,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.20,93.380000,0.943239,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.25,93.316000,0.985611,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.30,93.060000,1.085196,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.35,92.954000,1.153183,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.40,92.660000,1.299750,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.45,92.302000,1.389162,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.50,92.110000,1.530441,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.55,91.838000,1.668074,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.60,91.532000,1.904828,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.65,90.990000,2.196304,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.70,90.530000,2.302607,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.75,90.168000,2.698652,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.80,89.584000,2.958958,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.85,88.934000,3.160891,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.90,87.964000,3.604425,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.95,87.680000,3.634728,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,1.00,86.860000,4.207559,5
fc3rev_h16,16,mne_l2,rate_uniform,16,16,0.00,96.224000,0.266796,5
fc3rev_h16,16,mne_l2,rate_uniform,16,16,0.05,96.208000,0.259942,5
fc3rev_h16,16,mne_l2,rate_uniform,16,16,0.10,96.192000,0.251734,5
fc3rev_h16,16,mne_l2,rate_uniform,16,16,0.15,96.180000,0.258070,5
fc3rev_h16,16,mne_l2,rate_uniform,16,16,0.20,96.168000,0.238579,5
fc3rev_h16,16,mne_l2,rate_uniform,16,16,0.25,96.092000,0.257915,5
fc3rev_h16,16,mne_l2,rate_uniform,16,16,0.30,96.110000,0.238013,5
fc3rev_h16,16,mne_l2,rate_uniform,16,16,0.35,96.154000,0.341072,5
fc3rev_h16,16,mne_l2,rate_uniform,16,16,0.40,96.068000,0.346222,5
fc3rev_h16,16,mne_l2,rate_uniform,16,16,0.45,96.104000,0.143979,5
fc3rev_h16,16,mne_l2,rate_uniform,16,16,0.50,96.030000,0.130958,5
fc3rev_h16,16,mne_l2,rate_uniform,16,16,0.55,95.946000,0.394119,5
fc3rev_h16,16,mne_l2,rate_uniform,16,16,0.60,95.978000,0.194987,5
fc3rev_h16,16,mne_l2,rate_uniform,16,16,0.65,95.916000,0.286758,5
fc3rev_h16,16,mne_l2,rate_uniform,16,16,0.70,95.920000,0.195704,5
fc3rev_h16,16,mne_l2,rate_uniform,16,16,0.75,95.870000,0.211542,5
fc3rev_h16,16,mne_l2,rate_uniform,16,16,0.80,95.894000,0.264632,5
fc3rev_h16,16,mne_l2,rate_uniform,16,16,0.85,95.720000,0.383536,5
fc3rev_h16,16,mne_l2,rate_uniform,16,16,0.90,95.806000,0.324469,5
fc3rev_h16,16,mne_l2,rate_uniform,16,16,0.95,95.780000,0.281691,5
fc3rev_h16,16,mne_l2,rate_uniform,16,16,1.00,95.734000,0.318324,5
fc3rev_h16,16,no_regularization,rate_uniform,16,16,0.00,95.474000,0.306969,5
fc3rev_h16,16,no_regularization,rate_uniform,16,16,0.05,95.494000,0.323775,5
fc3rev_h16,16,no_regularization,rate_uniform,16,16,0.10,95.408000,0.331014,5
fc3rev_h16,16,no_regularization,rate_uniform,16,16,0.15,95.370000,0.350214,5
fc3rev_h16,16,no_regularization,rate_uniform,16,16,0.20,95.236000,0.311737,5
fc3rev_h16,16,no_regularization,rate_uniform,16,16,0.25,95.156000,0.261113,5
fc3rev_h16,16,no_regularization,rate_uniform,16,16,0.30,95.066000,0.377664,5
fc3rev_h16,16,no_regularization,rate_uniform,16,16,0.35,94.974000,0.308675,5
fc3rev_h16,16,no_regularization,rate_uniform,16,16,0.40,94.834000,0.378259,5
fc3rev_h16,16,no_regularization,rate_uniform,16,16,0.45,94.700000,0.368171,5
fc3rev_h16,16,no_regularization,rate_uniform,16,16,0.50,94.536000,0.228867,5
fc3rev_h16,16,no_regularization,rate_uniform,16,16,0.55,94.142000,0.412274,5
fc3rev_h16,16,no_regularization,rate_uniform,16,16,0.60,94.014000,0.442583,5
fc3rev_h16,16,no_regularization,rate_uniform,16,16,0.65,93.796000,0.427586,5
fc3rev_h16,16,no_regularization,rate_uniform,16,16,0.70,93.452000,0.452405,5
fc3rev_h16,16,no_regularization,rate_uniform,16,16,0.75,93.030000,0.551725,5
fc3rev_h16,16,no_regularization,rate_uniform,16,16,0.80,92.656000,0.748719,5
