arch,hidden_size,regularizer,if_mode,L,T,seed,sigma,acc,checkpoint,matrix_csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,42,0.20,92.630000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed42_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_42/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,42,0.25,92.650000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed42_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_42/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,42,0.30,92.040000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed42_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_42/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,42,0.35,92.020000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed42_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_42/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,42,0.40,91.540000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed42_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_42/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,42,0.45,91.250000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed42_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_42/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,42,0.50,90.690000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed42_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_42/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,42,0.55,90.460000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed42_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_42/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,42,0.60,90.140000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed42_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_42/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,42,0.65,88.980000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed42_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_42/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,42,0.70,88.600000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed42_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_42/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,42,0.75,88.050000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed42_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_42/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,42,0.80,87.240000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed42_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_42/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,42,0.85,86.270000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed42_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_42/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,42,0.90,85.240000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed42_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_42/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,42,0.95,84.400000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed42_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_42/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,42,1.00,82.860000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed42_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_42/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,43,0.00,93.360000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed43_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_43/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,43,0.05,93.370000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed43_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_43/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,43,0.10,93.230000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed43_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_43/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_43.csv
