arch,hidden_size,regularizer,if_mode,L,T,seed,sigma,acc,checkpoint,matrix_csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,41,0.65,80.830000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_41/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,41,0.70,80.300000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_41/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,41,0.75,80.350000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_41/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,41,0.80,80.440000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_41/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,41,0.85,80.410000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_41/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,41,0.90,79.850000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_41/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,41,0.95,79.750000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_41/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,41,1.00,79.840000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_41/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,42,0.00,80.080000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_42/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,42,0.05,80.120000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_42/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,42,0.10,80.110000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_42/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,42,0.15,79.930000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_42/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,42,0.20,80.040000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_42/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
