epoch,alpha,q_assignment,q_mean,q_std,q_min,q_max,q_os_mean,q_os_std,p_gt_tau,p_at_qmax,q_cap,reg_grad_norm,reg_coeff_grad_norm,ce_grad_norm,reg_ce_ratio,ann_train_acc,ann_test_acc,train_loss
16.0,0.25,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10.13029290780605,0.001013029290780605,1.196309688364714,0.0008467951907715111,52.518,60.11,688.9587136507034
17.0,0.25,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10.624690933780158,0.001062469093378016,1.35878095393531,0.0007819281616370073,53.4,60.94,673.6231124401093
18.0,0.25,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10.74386213522803,0.001074386213522803,1.569145395784136,0.0006846951317636879,54.76,61.33,652.3154146671295
19.0,0.25,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.59276558222202,0.000859276558222202,1.3339425594211325,0.00064416308794817,55.836,63.98,635.2316522598267
20.0,0.25,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.23101566397472,0.0009231015663974721,1.237951041880218,0.00074566887959919,56.582,64.06,618.9655816555023
21.0,0.25,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.90719704502563,0.000990719704502563,1.32218841540458,0.000749302968442217,57.806,63.97,606.4975610971451
22.0,0.25,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10.151044952995926,0.0010151044952995928,1.3382893840545198,0.0007585089647981837,58.646,64.85,594.9846597909927
23.0,0.25,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.81568115005299,0.000881568115005299,1.2882076736619141,0.0006843369536057147,59.412,64.75,579.5942242145538
24.0,0.25,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.250329427054867,0.0009250329427054867,1.4935159096093034,0.0006193659784631761,60.22,65.65,568.3698487281799
25.0,0.25,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.396751577386237,0.0009396751577386238,1.4635253391450251,0.0006420627867554185,60.928,66.38,557.4783297777176
26.0,0.25,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.80260865448926,0.000980260865448926,1.4302350850245817,0.0006853844348477006,61.916,67.16,543.0129687786102
27.0,0.25,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.920186293341185,0.0009920186293341186,1.3197956741213352,0.0007516456136246719,62.234,66.15,535.4952345490456
28.0,0.25,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10.585778837866888,0.0010585778837866888,1.403368901295563,0.0007543119152843064,62.862,66.56,521.853864967823
29.0,0.25,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.132612436297155,0.0009132612436297155,1.3685007616571423,0.0006673443444224547,63.696,68.52,512.2800026535988
