arch,hidden_size,regularizer,L,T,seed,if_mode,acc,checkpoint
fc3_h4,4,weight_decay,4,32,43,normal,82.700000,mnist-checkpoints/fc3_h4_L[4]_strict_seed43_ablation_wd_l4_fc3_h4.pth
fc3_h4,4,weight_decay,4,32,44,normal,55.630000,mnist-checkpoints/fc3_h4_L[4]_strict_seed44_ablation_wd_l4_fc3_h4.pth
fc3_h4,4,weight_decay,8,2,40,normal,59.700000,mnist-checkpoints/fc3_h4_L[8]_strict_seed40_ablation_wd_l8_fc3_h4.pth
fc3_h4,4,weight_decay,8,2,41,normal,11.350000,mnist-checkpoints/fc3_h4_L[8]_strict_seed41_ablation_wd_l8_fc3_h4.pth
fc3_h4,4,weight_decay,8,2,42,normal,54.140000,mnist-checkpoints/fc3_h4_L[8]_strict_seed42_ablation_wd_l8_fc3_h4.pth
fc3_h4,4,weight_decay,8,2,43,normal,64.320000,mnist-checkpoints/fc3_h4_L[8]_strict_seed43_ablation_wd_l8_fc3_h4.pth
fc3_h4,4,weight_decay,8,2,44,normal,21.380000,mnist-checkpoints/fc3_h4_L[8]_strict_seed44_ablation_wd_l8_fc3_h4.pth
fc3_h4,4,weight_decay,8,4,40,normal,77.260000,mnist-checkpoints/fc3_h4_L[8]_strict_seed40_ablation_wd_l8_fc3_h4.pth
fc3_h4,4,weight_decay,8,4,41,normal,11.350000,mnist-checkpoints/fc3_h4_L[8]_strict_seed41_ablation_wd_l8_fc3_h4.pth
fc3_h4,4,weight_decay,8,4,42,normal,79.810000,mnist-checkpoints/fc3_h4_L[8]_strict_seed42_ablation_wd_l8_fc3_h4.pth
fc3_h4,4,weight_decay,8,4,43,normal,77.440000,mnist-checkpoints/fc3_h4_L[8]_strict_seed43_ablation_wd_l8_fc3_h4.pth
fc3_h4,4,weight_decay,8,4,44,normal,38.750000,mnist-checkpoints/fc3_h4_L[8]_strict_seed44_ablation_wd_l8_fc3_h4.pth
fc3_h4,4,weight_decay,8,8,40,normal,81.860000,mnist-checkpoints/fc3_h4_L[8]_strict_seed40_ablation_wd_l8_fc3_h4.pth
fc3_h4,4,weight_decay,8,8,41,normal,11.350000,mnist-checkpoints/fc3_h4_L[8]_strict_seed41_ablation_wd_l8_fc3_h4.pth
fc3_h4,4,weight_decay,8,8,42,normal,83.440000,mnist-checkpoints/fc3_h4_L[8]_strict_seed42_ablation_wd_l8_fc3_h4.pth
fc3_h4,4,weight_decay,8,8,43,normal,81.950000,mnist-checkpoints/fc3_h4_L[8]_strict_seed43_ablation_wd_l8_fc3_h4.pth
fc3_h4,4,weight_decay,8,8,44,normal,41.950000,mnist-checkpoints/fc3_h4_L[8]_strict_seed44_ablation_wd_l8_fc3_h4.pth
