arch,hidden_size,regularizer,L,T,if_mode,acc_mean,acc_std,n_seeds
fc3_h16,16,weight_decay,32,2,normal,79.540000,7.051968,5
fc3_h16,16,weight_decay,32,4,normal,90.902000,2.124434,5
fc3_h16,16,weight_decay,32,8,normal,93.662000,1.205247,5
fc3_h16,16,weight_decay,32,16,normal,94.198000,1.093398,5
fc3_h16,16,weight_decay,32,32,normal,94.324000,1.067535,5
fc3_h32,32,weight_decay,2,2,normal,96.502000,0.266120,5
fc3_h32,32,weight_decay,2,4,normal,97.016000,0.223897,5
fc3_h32,32,weight_decay,2,8,normal,97.184000,0.237550,5
fc3_h32,32,weight_decay,2,16,normal,97.236000,0.232336,5
fc3_h32,32,weight_decay,2,32,normal,97.254000,0.204768,5
fc3_h32,32,weight_decay,4,2,normal,95.756000,0.256281,5
fc3_h32,32,weight_decay,4,4,normal,97.014000,0.232336,5
fc3_h32,32,weight_decay,4,8,normal,97.176000,0.212908,5
fc3_h32,32,weight_decay,4,16,normal,97.258000,0.217187,5
fc3_h32,32,weight_decay,4,32,normal,97.264000,0.221201,5
fc3_h32,32,weight_decay,8,2,normal,95.154000,0.792326,5
fc3_h32,32,weight_decay,8,4,normal,96.852000,0.404314,5
fc3_h32,32,weight_decay,8,8,normal,97.240000,0.254165,5
fc3_h32,32,weight_decay,8,16,normal,97.314000,0.244908,5
fc3_h32,32,weight_decay,8,32,normal,97.326000,0.213495,5
fc3_h32,32,weight_decay,16,2,normal,94.230000,0.829307,5
fc3_h32,32,weight_decay,16,4,normal,96.584000,0.433509,5
fc3_h32,32,weight_decay,16,8,normal,97.040000,0.315040,5
fc3_h32,32,weight_decay,16,16,normal,97.176000,0.316433,5
fc3_h32,32,weight_decay,16,32,normal,97.142000,0.243660,5
fc3_h32,32,weight_decay,32,2,normal,94.180000,0.702673,5
fc3_h32,32,weight_decay,32,4,normal,96.506000,0.272085,5
fc3_h32,32,weight_decay,32,8,normal,97.038000,0.205232,5
fc3_h32,32,weight_decay,32,16,normal,97.142000,0.213705,5
fc3_h32,32,weight_decay,32,32,normal,97.206000,0.170529,5
fc3_h4,4,weight_decay,2,2,normal,55.420000,30.108548,5
fc3_h4,4,weight_decay,2,4,normal,55.812000,30.499164,5
fc3_h4,4,weight_decay,2,8,normal,55.688000,30.420167,5
fc3_h4,4,weight_decay,2,16,normal,55.658000,30.480100,5
fc3_h4,4,weight_decay,2,32,normal,55.616000,30.510531,5
fc3_h4,4,weight_decay,4,2,normal,59.278000,11.585841,5
fc3_h4,4,weight_decay,4,4,normal,71.054000,12.249767,5
fc3_h4,4,weight_decay,4,8,normal,73.018000,12.217138,5
fc3_h4,4,weight_decay,4,16,normal,73.516000,12.333857,5
fc3_h4,4,weight_decay,4,32,normal,73.496000,12.400640,5
fc3_h4,4,weight_decay,8,2,normal,42.178000,24.100314,5
fc3_h4,4,weight_decay,8,4,normal,56.922000,30.681883,5
fc3_h4,4,weight_decay,8,8,normal,60.110000,32.410107,5
fc3_h4,4,weight_decay,8,16,normal,60.300000,32.510845,5
fc3_h4,4,weight_decay,8,32,normal,60.538000,32.429406,5
fc3_h4,4,weight_decay,16,2,normal,39.684000,20.704264,5
fc3_h4,4,weight_decay,16,4,normal,50.744000,22.696793,5
fc3_h4,4,weight_decay,16,8,normal,63.158000,19.028625,5
fc3_h4,4,weight_decay,16,16,normal,66.798000,16.163480,5
fc3_h4,4,weight_decay,16,32,normal,67.280000,15.800134,5
fc3_h4,4,weight_decay,32,2,normal,50.098000,14.715114,5
fc3_h4,4,weight_decay,32,4,normal,61.298000,10.218274,5
fc3_h4,4,weight_decay,32,8,normal,74.014000,8.117788,5
fc3_h4,4,weight_decay,32,16,normal,77.736000,5.986809,5
fc3_h4,4,weight_decay,32,32,normal,78.268000,5.856391,5
fc3_h64,64,weight_decay,2,2,normal,97.248000,0.169617,5
fc3_h64,64,weight_decay,2,4,normal,97.680000,0.067823,5
fc3_h64,64,weight_decay,2,8,normal,97.780000,0.101242,5
fc3_h64,64,weight_decay,2,16,normal,97.840000,0.100250,5
fc3_h64,64,weight_decay,2,32,normal,97.824000,0.106911,5
fc3_h64,64,weight_decay,4,2,normal,96.806000,0.128569,5
fc3_h64,64,weight_decay,4,4,normal,97.748000,0.108028,5
fc3_h64,64,weight_decay,4,8,normal,97.850000,0.105830,5
fc3_h64,64,weight_decay,4,16,normal,97.912000,0.061400,5
fc3_h64,64,weight_decay,4,32,normal,97.944000,0.074364,5
fc3_h64,64,weight_decay,8,2,normal,96.088000,0.214173,5
fc3_h64,64,weight_decay,8,4,normal,97.342000,0.160062,5
fc3_h64,64,weight_decay,8,8,normal,97.660000,0.165529,5
fc3_h64,64,weight_decay,8,16,normal,97.620000,0.134907,5
fc3_h64,64,weight_decay,8,32,normal,97.636000,0.112827,5
fc3_h64,64,weight_decay,16,2,normal,95.980000,0.176918,5
fc3_h64,64,weight_decay,16,4,normal,97.314000,0.127004,5
fc3_h64,64,weight_decay,16,8,normal,97.590000,0.126491,5
fc3_h64,64,weight_decay,16,16,normal,97.710000,0.117686,5
fc3_h64,64,weight_decay,16,32,normal,97.740000,0.109772,5
fc3_h64,64,weight_decay,32,2,normal,95.222000,1.160203,5
fc3_h64,64,weight_decay,32,4,normal,96.408000,1.124064,5
fc3_h64,64,weight_decay,32,8,normal,96.688000,1.051794,5
fc3_h64,64,weight_decay,32,16,normal,96.812000,1.105835,5
fc3_h64,64,weight_decay,32,32,normal,96.944000,0.864049,5
fc3_h8,8,weight_decay,2,2,normal,86.254000,6.726487,5
fc3_h8,8,weight_decay,2,4,normal,87.272000,6.395344,5
fc3_h8,8,weight_decay,2,8,normal,87.482000,6.360949,5
fc3_h8,8,weight_decay,2,16,normal,87.544000,6.398268,5
fc3_h8,8,weight_decay,2,32,normal,87.520000,6.384219,5
fc3_h8,8,weight_decay,4,2,normal,82.978000,7.674557,5
fc3_h8,8,weight_decay,4,4,normal,88.218000,4.499913,5
fc3_h8,8,weight_decay,4,8,normal,88.790000,4.290210,5
fc3_h8,8,weight_decay,4,16,normal,88.930000,4.140797,5
fc3_h8,8,weight_decay,4,32,normal,89.068000,4.172621,5
fc3_h8,8,weight_decay,8,2,normal,67.992000,17.816326,5
fc3_h8,8,weight_decay,8,4,normal,80.316000,12.625719,5
fc3_h8,8,weight_decay,8,8,normal,85.324000,7.398373,5
fc3_h8,8,weight_decay,8,16,normal,85.864000,6.614229,5
fc3_h8,8,weight_decay,8,32,normal,86.066000,6.389709,5
fc3_h8,8,weight_decay,16,2,normal,55.828000,22.556652,5
fc3_h8,8,weight_decay,16,4,normal,70.356000,21.397199,5
fc3_h8,8,weight_decay,16,8,normal,74.808000,22.455112,5
fc3_h8,8,weight_decay,16,16,normal,77.160000,19.232587,5
fc3_h8,8,weight_decay,16,32,normal,77.524000,18.713642,5
fc3_h8,8,weight_decay,32,2,normal,59.854000,19.251749,5
fc3_h8,8,weight_decay,32,4,normal,73.996000,18.852375,5
fc3_h8,8,weight_decay,32,8,normal,81.388000,11.886754,5
fc3_h8,8,weight_decay,32,16,normal,84.022000,8.129718,5
fc3_h8,8,weight_decay,32,32,normal,84.276000,7.902122,5
