L,Mode,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32
8,weight_sign_neg_front,5.147429466247559,2.871401786804199,1.2183549404144287,0.8585060834884644,0.8270890712738037,0.8522845506668091,0.9923886656761169,1.1840534210205078,,,,,,,,,,,,,,,,,,,,,,,,
8,weight_sign_pos_front,16.69856834411621,38.499061584472656,13.765363693237305,6.5332255363464355,5.125850200653076,5.732560634613037,8.766313552856445,8.850924491882324,,,,,,,,,,,,,,,,,,,,,,,,
16,back_load,0.018451474606990814,5119.59423828125,989.0018920898438,335.0288391113281,143.13563537597656,70.79900360107422,43.1559944152832,31.5873966217041,108.49578857421875,42.753990173339844,746.1717529296875,4385.71533203125,173779.984375,28223.6796875,214100.375,1917777.375,,,,,,,,,,,,,,,,
16,front_load,11.776384353637695,411.8855285644531,63.320152282714844,25.516536712646484,16.158761978149414,14.112855911254883,21.783082962036133,28.18699073791504,339.1018981933594,258.88848876953125,513.4168701171875,12412.0537109375,6611.05322265625,28140.640625,410153.8125,493840.4375,,,,,,,,,,,,,,,,
16,normal,12.669342041015625,562.9098510742188,100.9810791015625,29.255956649780273,14.990228652954102,11.469842910766602,10.771557807922363,11.965432167053223,14.691482543945312,17.68809700012207,21.706262588500977,69.1867446899414,46.126060485839844,174.86026000976562,393.07061767578125,1251.262939453125,,,,,,,,,,,,,,,,
16,uniform,11.967368125915527,502.8996887207031,95.4471435546875,30.221710205078125,14.835057258605957,12.955265998840332,11.835088729858398,14.379945755004883,14.707649230957031,32.462982177734375,43.53950119018555,80.49797058105469,1747.3853759765625,370.162109375,344.56842041015625,974.0841064453125,,,,,,,,,,,,,,,,
16,weight_sign_neg_front,0.02065091021358967,4284.2685546875,1339.1571044921875,491.3991394042969,190.7714080810547,97.23210144042969,44.35363006591797,26.7857723236084,67.92439270019531,77.89087677001953,144059.46875,8891.3837890625,393.1638488769531,49301.6484375,42034.3515625,145476.125,,,,,,,,,,,,,,,,
16,weight_sign_pos_front,322.0835266113281,1726.1260986328125,550.102294921875,241.05874633789062,146.99070739746094,98.29679107666016,87.12933349609375,159.04318237304688,710.4503784179688,9924.84765625,21423.591796875,18114.583984375,358843.75,1648910.625,52807.078125,274590.125,,,,,,,,,,,,,,,,
32,back_load,0.02929169498383999,2043.5567626953125,528.8087158203125,229.50889587402344,99.858154296875,81.9027328491211,61.028011322021484,61.66454315185547,52.2442626953125,277.466796875,414.4484558105469,1805.9150390625,8568.59375,10212.984375,259254.921875,1791348.125,424392.375,2013915.25,58605288.0,3040678.0,916452480.0,42152184.0,1295543697408.0,6366164992.0,45793260077056.0,82822882656256.0,281761972224.0,6616142315520.0,46235054505984.0,6376512290816.0,34517322563584.0,8535875986128896.0
32,front_load,15.786375045776367,182.50599670410156,28.04905891418457,13.370599746704102,8.98854923248291,12.162978172302246,21.122142791748047,13.48806381225586,20.519237518310547,62.71035385131836,61.1509895324707,180.6819610595703,116.21805572509766,69657.015625,23279.376953125,18031.61328125,6163.70849609375,93933.2890625,211930.390625,8405.78125,43818.47265625,204065568.0,5299663.0,21320632320.0,189094313984.0,715664326656.0,3657883648.0,385987392.0,6513679663104.0,2704662784.0,13084124160.0,697957696.0
32,normal,14.614068984985352,246.4263153076172,31.4720401763916,14.471854209899902,9.825026512145996,12.413575172424316,14.327630043029785,23.948993682861328,28.651500701904297,41.188899993896484,77.84239959716797,182.40444946289062,1326.3154296875,2663.82421875,19048.517578125,7748.8408203125,83697.6640625,316569.15625,4109875.5,20257872.0,34704664.0,23987596.0,864079552.0,24553054.0,846058048.0,2731160064.0,10947728384.0,119390830592.0,10708517388288.0,20834437562368.0,9341588471808.0,66224255926272.0
32,uniform,16.457059860229492,240.87625122070312,40.04465103149414,15.83723258972168,11.76529598236084,17.863079071044922,27.569995880126953,26.707399368286133,23.003036499023438,56.18733215332031,335.25799560546875,286.85650634765625,728.4503173828125,1542.6163330078125,19955.974609375,20073.212890625,390791.78125,136860.890625,199795.828125,337873.09375,273787.25,220057.21875,6441098.0,6451810.5,204081904.0,1412754816.0,94400976.0,128404952.0,387095776.0,869238272.0,12845532053504.0,5824275456.0
32,weight_sign_neg_front,0.029699964448809624,601.4198608398438,338.5594787597656,176.00259399414062,107.60877227783203,57.948204040527344,39.228538513183594,32.88471603393555,24.05042266845703,23.234838485717773,25.955303192138672,29.382543563842773,37.95050811767578,51.0965461730957,62.207130432128906,141.39390563964844,170.68536376953125,265.3191223144531,252.4722442626953,593.5999145507812,1501.2568359375,3759.0341796875,3781.121337890625,11725.5400390625,14566.171875,28001.30078125,33035.93359375,36060.43359375,49012168.0,95554.3828125,181765.734375,395306.9375
32,weight_sign_pos_front,2660.63623046875,2027.0682373046875,1506.1988525390625,997.0794677734375,657.693115234375,589.7304077148438,506.7341003417969,540.98828125,610.9061889648438,646.9832763671875,818.0453491210938,849.7134399414062,2224.4775390625,48844.140625,4041146.25,1920373.0,2231289.0,12823343.0,28807368.0,28070210.0,23118632960.0,6755500032.0,61855596544.0,78420816.0,80497950720.0,59362450079744.0,3121116872704.0,1001324544000.0,1396581728256.0,6.1651939687714e+17,7587406546993152.0,1978886854279168.0
