dataset,arch,method,method_label,seed,L,T,n_samples,mode,accuracy,if_firing_density,ann_macs_per_sample,snn_first_macs_per_sample,snn_rest_acs_per_sample,event_synops_per_sample,ann_energy_mJ,snn_energy_mJ,snn_event_only_energy_mJ,energy_mJ,energy_ratio_ann_over_snn,checkpoint
cifar10,vgg16,l1,L1,41,16,16,10000,SNN,89.69,0.07758773621483672,332111872.0,28311552.0,302845597.552,329989789.552,1.5277146112,0.40279417699680004,0.2969908105968,0.40279417699680004,3.7927921962291347,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_l1_l16_vgg16_rc1em05.pth
cifar10,vgg16,l1,L1,42,16,0,10000,ANN,89.75,0.22437699738646583,332111872.0,1769472.0,56481359.9698,58177871.9694,1.5277146112,0.05897279517282,0.05236008477246001,1.5277146112,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_l1_l16_vgg16_rc1em05.pth
cifar10,vgg16,l1,L1,42,16,4,10000,SNN,88.74,0.07563390015526641,332111872.0,7077888.0,71387459.7648,78173507.7648,1.5277146112,0.09680699858832,0.07035615698832,0.09680699858832,15.781034775148195,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_l1_l16_vgg16_rc1em05.pth
cifar10,vgg16,l1,L1,42,16,8,10000,SNN,89.5,0.0756432693152119,332111872.0,14155776.0,144630157.3168,158202253.3168,1.5277146112,0.19528371118512,0.14238202798512,0.19528371118512,7.823051917278429,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_l1_l16_vgg16_rc1em05.pth
cifar10,vgg16,l1,L1,42,16,16,10000,SNN,89.73,0.0757839773713256,332111872.0,28311552.0,297708433.0642,324852625.0642,1.5277146112,0.39817072895778005,0.29236736255778,0.39817072895778005,3.836833046966621,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_l1_l16_vgg16_rc1em05.pth
cifar10,vgg16,l1,L1,43,16,0,10000,ANN,89.77,0.22688242398268885,332111872.0,1769472.0,58231121.3032,59927633.3028,1.5277146112,0.06054758037288,0.053934869972520005,1.5277146112,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_strict_seed43_schemeC_noout_l1_l16_vgg16_rc1em05.pth
cifar10,vgg16,l1,L1,43,16,4,10000,SNN,89.11,0.07849684882953012,332111872.0,7077888.0,74123954.704,80910002.704,1.5277146112,0.09926984403360001,0.0728190024336,0.09926984403360001,15.389513563483712,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_strict_seed43_schemeC_noout_l1_l16_vgg16_rc1em05.pth
cifar10,vgg16,l1,L1,43,16,8,10000,SNN,89.65,0.07854847737044739,332111872.0,14155776.0,150381900.761,163953996.761,1.5277146112,0.2004602802849,0.14755859708490002,0.2004602802849,7.621033997501986,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_strict_seed43_schemeC_noout_l1_l16_vgg16_rc1em05.pth
cifar10,vgg16,l1,L1,43,16,16,10000,SNN,89.77,0.07873361785669121,332111872.0,28311552.0,310079152.199,337223344.199,1.5277146112,0.4093043761791,0.3035010097791,0.4093043761791,3.7324658618639233,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_strict_seed43_schemeC_noout_l1_l16_vgg16_rc1em05.pth
cifar10,vgg16,l1,L1,44,16,0,10000,ANN,90.11,0.22338082354428956,332111872.0,1769472.0,56392076.8498,58088588.8494,1.5277146112,0.058892440364820005,0.05227972996446,1.5277146112,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_strict_seed44_schemeC_noout_l1_l16_vgg16_rc1em05.pth
cifar10,vgg16,l1,L1,44,16,4,10000,SNN,89.33,0.07519418497428619,332111872.0,7077888.0,71258894.8751,78044942.8751,1.5277146112,0.09669129018759001,0.07024044858759002,0.09669129018759001,15.799919602231936,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_strict_seed44_schemeC_noout_l1_l16_vgg16_rc1em05.pth
cifar10,vgg16,l1,L1,44,16,8,10000,SNN,90.15,0.07519189044760285,332111872.0,14155776.0,144381611.9552,157953707.9552,1.5277146112,0.19506002035968,0.14215833715968,0.19506002035968,7.8320232325567165,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_strict_seed44_schemeC_noout_l1_l16_vgg16_rc1em05.pth
cifar10,vgg16,l1,L1,44,16,16,10000,SNN,90.11,0.07531734243708549,332111872.0,28311552.0,297348182.2022,324492374.2022,1.5277146112,0.39784650318198006,0.29204313678198,0.39784650318198006,3.8399598814651483,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_strict_seed44_schemeC_noout_l1_l16_vgg16_rc1em05.pth
cifar10,vgg16,mne_l2,MNE-L2,40,16,0,10000,ANN,90.56,0.2666002567867581,332111872.0,1769472.0,75627231.685,77323743.6846,1.5277146112,0.07620407971650002,0.06959136931614,1.5277146112,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_old_detach_rc0p0001_seed40_L16_trainT0.pth
cifar10,vgg16,mne_l2,MNE-L2,40,16,4,10000,SNN,90.02,0.08258831295315311,332111872.0,7077888.0,90456585.8494,97242633.8494,1.5277146112,0.11396921206446001,0.08751837046446001,0.11396921206446001,13.40462554339621,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_old_detach_rc0p0001_seed40_L16_trainT0.pth
cifar10,vgg16,mne_l2,MNE-L2,40,16,8,10000,SNN,90.54,0.08286298516362692,332111872.0,14155776.0,184232605.932,197804701.932,1.5277146112,0.23092591493880002,0.17802423173880003,0.23092591493880002,6.615604886116289,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_old_detach_rc0p0001_seed40_L16_trainT0.pth
cifar10,vgg16,mne_l2,MNE-L2,40,16,16,10000,SNN,90.56,0.08288826078785409,332111872.0,28311552.0,378414077.6772,405558269.6772,1.5277146112,0.47080580910948006,0.36500244270948007,0.47080580910948006,3.2448932906958863,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_old_detach_rc0p0001_seed40_L16_trainT0.pth
cifar10,vgg16,mne_l2,MNE-L2,41,16,0,10000,ANN,90.3,0.26925329185870056,332111872.0,1769472.0,75510186.6866,77206698.6862,1.5277146112,0.07609873921794001,0.06948602881758001,1.5277146112,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_old_detach_rc0p0001_seed41_L16_trainT0.pth
cifar10,vgg16,mne_l2,MNE-L2,41,16,4,10000,SNN,90.15,0.0848272362578687,332111872.0,7077888.0,91668924.242,98454972.242,1.5277146112,0.1150603166178,0.0886094750178,0.1150603166178,13.277510927374419,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_old_detach_rc0p0001_seed41_L16_trainT0.pth
cifar10,vgg16,mne_l2,MNE-L2,41,16,8,10000,SNN,90.25,0.08508126734452282,332111872.0,14155776.0,186740540.0804,200312636.0804,1.5277146112,0.23318305567236003,0.18028137247236,0.23318305567236003,6.551567852110813,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_old_detach_rc0p0001_seed41_L16_trainT0.pth
cifar10,vgg16,mne_l2,MNE-L2,41,16,16,10000,SNN,90.32,0.08512822173413613,332111872.0,28311552.0,383971190.5328,411115382.5328,1.5277146112,0.47580721067952003,0.37000384427952004,0.47580721067952003,3.2107849080685584,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_old_detach_rc0p0001_seed41_L16_trainT0.pth
