dataset,arch,method,method_label,seed,L,T,n_samples,mode,accuracy,if_firing_density,ann_macs_per_sample,snn_first_macs_per_sample,snn_rest_acs_per_sample,event_synops_per_sample,ann_energy_mJ,snn_energy_mJ,snn_event_only_energy_mJ,energy_mJ,energy_ratio_ann_over_snn,checkpoint
cifar100,vgg16,l1,L1,44,16,4,10000,SNN,53.47,0.0814933175725045,332480512.0,7077888.0,78658853.8922,85444901.8922,1.5294103551999998,0.10335125330297999,0.07690041170298,0.10335125330297999,14.798179086580088,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_l1_rc1em05_seed44_L16_trainT0.pth
cifar100,vgg16,l1,L1,44,16,8,10000,SNN,53.75,0.08151332946338243,332480512.0,14155776.0,159662634.3084,173234730.3084,1.5294103551999998,0.20881294047756002,0.15591125727756,0.20881294047756002,7.324308310118152,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_l1_rc1em05_seed44_L16_trainT0.pth
cifar100,vgg16,l1,L1,44,16,16,10000,SNN,54.23,0.08155723202931796,332480512.0,28311552.0,327549984.1092,354694176.1092,1.5294103551999998,0.42502812489828007,0.31922475849828,0.42502812489828007,3.598374473609308,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_l1_rc1em05_seed44_L16_trainT0.pth
cifar100,vgg16,mne_l2,MNE-L2,40,16,0,10000,ANN,59.84,0.28309241829192894,332480512.0,1769472.0,75031234.9646,76727746.9642,1.5294103551999998,0.07566768266814002,0.06905497226778001,1.5294103551999998,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_old_detach_rc0p0001_seed40_L16_trainT0.pth
cifar100,vgg16,mne_l2,MNE-L2,40,16,4,10000,SNN,59.38,0.0902250771941041,332480512.0,7077888.0,97378583.1712,104164631.1712,1.5294103551999998,0.12019900965408001,0.09374816805408001,0.12019900965408001,12.723984661782826,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_old_detach_rc0p0001_seed40_L16_trainT0.pth
cifar100,vgg16,mne_l2,MNE-L2,40,16,8,10000,SNN,59.89,0.09057462175767199,332480512.0,14155776.0,197999569.5544,211571665.5544,1.5294103551999998,0.24331618219896003,0.19041449899896,0.24331618219896003,6.285691076434031,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_old_detach_rc0p0001_seed40_L16_trainT0.pth
cifar100,vgg16,mne_l2,MNE-L2,40,16,16,10000,SNN,59.83,0.09061968076417772,332480512.0,28311552.0,406292182.8508,433436374.8508,1.5294103551999998,0.49589610376571996,0.39009273736572,0.49589610376571996,3.0841346475320384,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_old_detach_rc0p0001_seed40_L16_trainT0.pth
cifar100,vgg16,mne_l2,MNE-L2,41,16,0,10000,ANN,59.39,0.276365491864321,332480512.0,1769472.0,74252995.7546,75949507.7542,1.5294103551999998,0.07496726737914002,0.06835455697878001,1.5294103551999998,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_old_detach_rc0p0001_seed41_L16_trainT0.pth
cifar100,vgg16,mne_l2,MNE-L2,41,16,4,10000,SNN,59.18,0.08907381293207621,332480512.0,7077888.0,97327962.7052,104114010.7052,1.5294103551999998,0.12015345123468,0.09370260963468001,0.12015345123468,12.728809197605175,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_old_detach_rc0p0001_seed41_L16_trainT0.pth
cifar100,vgg16,mne_l2,MNE-L2,41,16,8,10000,SNN,59.45,0.08936638666605778,332480512.0,14155776.0,197991845.018,211563941.018,1.5294103551999998,0.2433092301162,0.19040754691620002,0.2433092301162,6.285870677695136,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_old_detach_rc0p0001_seed41_L16_trainT0.pth
cifar100,vgg16,mne_l2,MNE-L2,41,16,16,10000,SNN,59.38,0.08942561577447027,332480512.0,28311552.0,406291420.8072,433435612.8072,1.5294103551999998,0.49589541792648,0.39009205152648,0.49589541792648,3.084138912989,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_old_detach_rc0p0001_seed41_L16_trainT0.pth
cifar100,vgg16,mne_l2,MNE-L2,42,16,0,10000,ANN,59.61,0.2768915513292491,332480512.0,1769472.0,74159873.0314,75856385.031,1.5294103551999998,0.07488345692826,0.06827074652790001,1.5294103551999998,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_old_detach_rc0p0001_seed42_L16_trainT0.pth
cifar100,vgg16,mne_l2,MNE-L2,42,16,4,10000,SNN,59.29,0.09053876496459083,332480512.0,7077888.0,97988104.9616,104774152.9616,1.5294103551999998,0.12074757926544001,0.09429673766544001,0.12074757926544001,12.66617819176225,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_old_detach_rc0p0001_seed42_L16_trainT0.pth
cifar100,vgg16,mne_l2,MNE-L2,42,16,8,10000,SNN,59.56,0.0908572605050725,332480512.0,14155776.0,199350380.4604,212922476.4604,1.5294103551999998,0.24453191201436,0.19163022881436,0.24453191201436,6.254440750089853,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_old_detach_rc0p0001_seed42_L16_trainT0.pth
cifar100,vgg16,mne_l2,MNE-L2,42,16,16,10000,SNN,59.56,0.090919906155154,332480512.0,28311552.0,409276393.4772,436420585.4772,1.5294103551999998,0.49858189332948,0.39277852692947995,0.49858189332948,3.0675208539699477,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_old_detach_rc0p0001_seed42_L16_trainT0.pth
cifar100,vgg16,mne_l2,MNE-L2,43,16,0,10000,ANN,59.45,0.2694733644334532,332480512.0,1769472.0,72940482.3328,74636994.3324,1.5294103551999998,0.07378600529952001,0.06717329489916,1.5294103551999998,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_old_detach_rc0p0001_seed43_L16_trainT0.pth
cifar100,vgg16,mne_l2,MNE-L2,43,16,4,10000,SNN,58.9,0.08824563919177159,332480512.0,7077888.0,95629707.9592,102415755.9592,1.5294103551999998,0.11862502196328,0.09217418036328,0.11862502196328,12.892814095102331,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_old_detach_rc0p0001_seed43_L16_trainT0.pth
cifar100,vgg16,mne_l2,MNE-L2,43,16,8,10000,SNN,59.24,0.08843067359101,332480512.0,14155776.0,194485300.0588,208057396.0588,1.5294103551999998,0.24015333965292002,0.18725165645292002,0.24015333965292002,6.368474231548767,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_old_detach_rc0p0001_seed43_L16_trainT0.pth
cifar100,vgg16,mne_l2,MNE-L2,43,16,16,10000,SNN,59.45,0.0884765594262871,332480512.0,28311552.0,399238218.2968,426382410.2968,1.5294103551999998,0.48954753566712006,0.38374416926712,0.48954753566712006,3.1241304342709637,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_old_detach_rc0p0001_seed43_L16_trainT0.pth
cifar100,vgg16,mne_l2,MNE-L2,44,16,0,10000,ANN,59.88,0.27600106368030575,332480512.0,1769472.0,73766829.1868,75463341.1864,1.5294103551999998,0.07452971746812001,0.06791700706776001,1.5294103551999998,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_old_detach_rc0p0001_seed44_L16_trainT0.pth
cifar100,vgg16,mne_l2,MNE-L2,44,16,4,10000,SNN,59.44,0.088713349135145,332480512.0,7077888.0,95939683.5536,102725731.5536,1.5294103551999998,0.11890399999824,0.09245315839824,0.11890399999824,12.862564381540048,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_old_detach_rc0p0001_seed44_L16_trainT0.pth
cifar100,vgg16,mne_l2,MNE-L2,44,16,8,10000,SNN,59.97,0.08896441733819975,332480512.0,14155776.0,195230349.6532,208802445.6532,1.5294103551999998,0.24082388428788,0.18792220108788002,0.24082388428788,6.350741994393497,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_old_detach_rc0p0001_seed44_L16_trainT0.pth
cifar100,vgg16,mne_l2,MNE-L2,44,16,16,10000,SNN,59.88,0.08905427008978754,332480512.0,28311552.0,400960152.3848,428104344.3848,1.5294103551999998,0.49109727634632006,0.38529390994632,0.49109727634632006,3.114271711255562,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_old_detach_rc0p0001_seed44_L16_trainT0.pth
