arch,hidden_size,regularizer,if_mode,L,T,seed,acc,checkpoint
fc3_h64,64,weight_decay,normal,16,16,41,97.810000,mnist-checkpoints/fc3_h64_L[16]_strict_seed41_ablation_wd_l16_fc3_h64.pth
fc3_h64,64,weight_decay,normal,16,0,42,97.800000,mnist-checkpoints/fc3_h64_L[16]_strict_seed42_ablation_wd_l16_fc3_h64.pth
fc3_h64,64,weight_decay,normal,16,16,42,97.800000,mnist-checkpoints/fc3_h64_L[16]_strict_seed42_ablation_wd_l16_fc3_h64.pth
fc3_h64,64,weight_decay,normal,16,0,43,97.720000,mnist-checkpoints/fc3_h64_L[16]_strict_seed43_ablation_wd_l16_fc3_h64.pth
fc3_h64,64,weight_decay,normal,16,16,43,97.620000,mnist-checkpoints/fc3_h64_L[16]_strict_seed43_ablation_wd_l16_fc3_h64.pth
fc3_h64,64,weight_decay,normal,16,0,44,97.800000,mnist-checkpoints/fc3_h64_L[16]_strict_seed44_ablation_wd_l16_fc3_h64.pth
fc3_h64,64,weight_decay,normal,16,16,44,97.770000,mnist-checkpoints/fc3_h64_L[16]_strict_seed44_ablation_wd_l16_fc3_h64.pth
fc3_h128,128,weight_decay,normal,4,0,40,97.750000,mnist-checkpoints/fc3_h128_L[4]_strict_seed40_ablation_wd_l4_fc3_h128.pth
fc3_h128,128,weight_decay,normal,4,16,40,97.890000,mnist-checkpoints/fc3_h128_L[4]_strict_seed40_ablation_wd_l4_fc3_h128.pth
fc3_h128,128,weight_decay,normal,4,0,41,97.660000,mnist-checkpoints/fc3_h128_L[4]_strict_seed41_ablation_wd_l4_fc3_h128.pth
fc3_h128,128,weight_decay,normal,4,16,41,97.800000,mnist-checkpoints/fc3_h128_L[4]_strict_seed41_ablation_wd_l4_fc3_h128.pth
fc3_h128,128,weight_decay,normal,4,0,42,97.660000,mnist-checkpoints/fc3_h128_L[4]_strict_seed42_ablation_wd_l4_fc3_h128.pth
fc3_h128,128,weight_decay,normal,4,16,42,97.810000,mnist-checkpoints/fc3_h128_L[4]_strict_seed42_ablation_wd_l4_fc3_h128.pth
fc3_h128,128,weight_decay,normal,4,0,43,97.790000,mnist-checkpoints/fc3_h128_L[4]_strict_seed43_ablation_wd_l4_fc3_h128.pth
fc3_h128,128,weight_decay,normal,4,16,43,97.960000,mnist-checkpoints/fc3_h128_L[4]_strict_seed43_ablation_wd_l4_fc3_h128.pth
fc3_h128,128,weight_decay,normal,4,0,44,97.590000,mnist-checkpoints/fc3_h128_L[4]_strict_seed44_ablation_wd_l4_fc3_h128.pth
fc3_h128,128,weight_decay,normal,4,16,44,97.750000,mnist-checkpoints/fc3_h128_L[4]_strict_seed44_ablation_wd_l4_fc3_h128.pth
fc3_h128,128,weight_decay,normal,16,0,40,97.840000,mnist-checkpoints/fc3_h128_L[16]_strict_seed40_ablation_wd_l16_fc3_h128.pth
fc3_h128,128,weight_decay,normal,16,16,40,97.780000,mnist-checkpoints/fc3_h128_L[16]_strict_seed40_ablation_wd_l16_fc3_h128.pth
fc3_h128,128,weight_decay,normal,16,0,41,97.930000,mnist-checkpoints/fc3_h128_L[16]_strict_seed41_ablation_wd_l16_fc3_h128.pth
fc3_h128,128,weight_decay,normal,16,16,41,97.970000,mnist-checkpoints/fc3_h128_L[16]_strict_seed41_ablation_wd_l16_fc3_h128.pth
fc3_h128,128,weight_decay,normal,16,0,42,97.660000,mnist-checkpoints/fc3_h128_L[16]_strict_seed42_ablation_wd_l16_fc3_h128.pth
fc3_h128,128,weight_decay,normal,16,16,42,97.630000,mnist-checkpoints/fc3_h128_L[16]_strict_seed42_ablation_wd_l16_fc3_h128.pth
fc3_h128,128,weight_decay,normal,16,0,43,97.760000,mnist-checkpoints/fc3_h128_L[16]_strict_seed43_ablation_wd_l16_fc3_h128.pth
fc3_h128,128,weight_decay,normal,16,16,43,97.730000,mnist-checkpoints/fc3_h128_L[16]_strict_seed43_ablation_wd_l16_fc3_h128.pth
fc3_h128,128,weight_decay,normal,16,0,44,97.870000,mnist-checkpoints/fc3_h128_L[16]_strict_seed44_ablation_wd_l16_fc3_h128.pth
fc3_h128,128,weight_decay,normal,16,16,44,97.870000,mnist-checkpoints/fc3_h128_L[16]_strict_seed44_ablation_wd_l16_fc3_h128.pth
