eligible,config,family,val_clean,val_sigma5,val_auc,test_clean,test_sigma5,test_auc,clean_energy_mJ,clean_fire
False,twostage_l2_wo_l2_dominant,twostage_l2_wo_l2_dominant,59.58,11.98,238.02500000000006,56.36,11.9,227.0975,0.52728653,0.106005
False,onesided_a0.1_tau1_b0.0005,onesided,68.94,4.04,236.7475,63.38,4.6,220.07250000000002,0.53351512,0.108436
False,onesided_a0.1_tau1.5_b0.0005,onesided,68.86,3.86,234.79,63.82,4.34,219.25,0.52996027,0.107357
False,hybrid_b0_3em05_b1_0.0001,hybrid,70.5,7.52,234.16250000000002,63.35,7.32,213.44875000000002,0.51695934,0.099478
False,twostage_l2_wo_balanced,twostage_l2_wo_balanced,64.66,4.62,224.53,60.16,5.37,210.92375,0.52586744,0.105716
False,twostage_calibrated_soup_bn,twostage_calibrated_soup_bn,59.34,8.78,224.27,55.02,9.21,211.10375,0.49469601,0.104046
False,twostage_calibrated_mne_dominant,twostage_calibrated_mne_dominant,67.66,2.9,221.86,61.21,3.63,205.63000000000002,0.53545067,0.110384
False,interp_lerp_all_eta0.0,interp_lerp_all_eta0.0,62.98,5.16,218.89250000000007,57.4,5.66,204.08249999999998,0.49827762,0.104355
False,twostage_l2_wo_soup_bn,twostage_l2_wo_soup_bn,58.98,5.92,210.55749999999998,54.78,6.37,198.30374999999995,0.49010223,0.102129
False,twostage_l2_wo_mne_dominant,twostage_l2_wo_mne_dominant,65.86,2.26,209.335,60.9,2.81,195.17624999999995,0.53072425,0.108502
False,hybrid_b0_3em05_b1_3em05,hybrid,70.78,2.38,208.755,63.57,2.75,192.295,0.52302813,0.100494
False,interp_keep_mne_thresh_eta0.7,interp_keep_mne_thresh_eta0.7,38.98,24.18,195.04000000000005,37.19,23.53,185.65499999999997,0.47255744,0.092788
False,interp_lerp_all_eta0.7,interp_lerp_all_eta0.7,38.82,18.3,187.91,37.5,17.91,179.25124999999997,0.47961765,0.097106
False,interp_keep_mne_thresh_eta0.1,interp_keep_mne_thresh_eta0.1,41.88,11.26,179.56750000000008,38.3,12.02,169.2025,0.45055089,0.084157
False,hybrid_b0_0.0001_b1_0.0001,hybrid,70.3,1.04,141.36749999999998,64.24,1.3,131.795,0.54157335,0.107424
False,interp_keep_mne_thresh_eta0.6,interp_keep_mne_thresh_eta0.6,23.3,17.22,136.76500000000001,22.61,17.15,132.665,0.46548622,0.091055
False,interp_lerp_all_eta0.1,interp_lerp_all_eta0.1,39.18,1.34,131.03,36.13,1.56,124.31875,0.47690353,0.100112
False,interp_lerp_all_eta0.6,interp_lerp_all_eta0.6,23.64,9.74,129.80749999999998,22.88,9.75,125.89875,0.47591903,0.097068
False,gradnorm,gradnorm,72.32,1.5,127.2125,65.27,1.84,117.24625000000002,0.54536277,0.107081
False,hybrid_b0_0.0001_b1_3em05,hybrid,72.36,0.84,122.93000000000004,65.6,1.21,113.69624999999999,0.55106623,0.11009
False,interp_keep_mne_thresh_eta0.5,interp_keep_mne_thresh_eta0.5,12.4,10.0,84.71,12.97,10.1,85.36875,0.46093908,0.089757
False,hybrid_b0_0.0003_b1_0.0001,hybrid,63.9,0.78,84.58500000000001,60.19,1.0,81.91624999999998,0.54940572,0.110143
False,interp_lerp_all_eta0.5,interp_lerp_all_eta0.5,12.98,3.38,78.495,13.34,3.5,78.7,0.47519325,0.097554
False,hybrid_b0_0.0003_b1_3em05,hybrid,69.36,0.92,75.55499999999999,63.3,1.33,72.14125,0.56480958,0.111589
False,distill,distill,6.96,7.06,35.267500000000005,6.9,6.93,34.636250000000004,0.40394988,0.078376
False,interp_keep_mne_thresh_eta0.4,interp_keep_mne_thresh_eta0.4,4.38,4.1,34.82000000000001,4.71,4.31,37.114999999999995,0.45536732,0.088447
False,interp_lerp_all_eta0.4,interp_lerp_all_eta0.4,4.94,1.08,32.1475,5.19,1.19,33.83,0.47406893,0.098168
False,interp_lerp_all_eta0.3,interp_lerp_all_eta0.3,1.2,0.96,6.409999999999999,1.25,0.99,6.714999999999999,0.46953108,0.098469
False,interp_keep_mne_thresh_eta0.3,interp_keep_mne_thresh_eta0.3,1.24,0.96,6.389999999999999,1.28,1.03,6.98875,0.44635705,0.086676
False,interp_keep_mne_thresh_eta0.2,interp_keep_mne_thresh_eta0.2,0.92,0.92,5.0649999999999995,1.07,1.13,6.4799999999999995,0.43741967,0.084434
False,interp_lerp_all_eta0.2,interp_lerp_all_eta0.2,0.88,0.96,4.735,1.13,1.05,6.095000000000001,0.46249777,0.098121
