dataset,method,label,seed,sigma,acc,checkpoint,matrix_csv
cifar10,margin_mne,Margin-MNE,42,0.15,79.150000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_margin_mne_l16_vgg16_rc1ep00_tau2.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/Margin-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,margin_mne,Margin-MNE,42,0.20,79.060000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_margin_mne_l16_vgg16_rc1ep00_tau2.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/Margin-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,margin_mne,Margin-MNE,42,0.25,78.920000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_margin_mne_l16_vgg16_rc1ep00_tau2.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/Margin-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,margin_mne,Margin-MNE,42,0.30,78.560000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_margin_mne_l16_vgg16_rc1ep00_tau2.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/Margin-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,margin_mne,Margin-MNE,42,0.35,78.520000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_margin_mne_l16_vgg16_rc1ep00_tau2.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/Margin-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,margin_mne,Margin-MNE,42,0.40,78.280000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_margin_mne_l16_vgg16_rc1ep00_tau2.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/Margin-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,margin_mne,Margin-MNE,42,0.45,78.250000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_margin_mne_l16_vgg16_rc1ep00_tau2.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/Margin-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,margin_mne,Margin-MNE,42,0.50,78.010000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_margin_mne_l16_vgg16_rc1ep00_tau2.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/Margin-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,margin_mne,Margin-MNE,42,0.55,77.480000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_margin_mne_l16_vgg16_rc1ep00_tau2.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/Margin-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,margin_mne,Margin-MNE,42,0.60,77.010000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_margin_mne_l16_vgg16_rc1ep00_tau2.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/Margin-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,margin_mne,Margin-MNE,42,0.65,76.490000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_margin_mne_l16_vgg16_rc1ep00_tau2.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/Margin-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,margin_mne,Margin-MNE,42,0.70,75.850000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_margin_mne_l16_vgg16_rc1ep00_tau2.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/Margin-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,margin_mne,Margin-MNE,42,0.75,74.770000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_margin_mne_l16_vgg16_rc1ep00_tau2.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/Margin-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,margin_mne,Margin-MNE,42,0.80,73.520000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_margin_mne_l16_vgg16_rc1ep00_tau2.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/Margin-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,margin_mne,Margin-MNE,42,0.85,73.130000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_margin_mne_l16_vgg16_rc1ep00_tau2.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/Margin-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,margin_mne,Margin-MNE,42,0.90,71.400000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_margin_mne_l16_vgg16_rc1ep00_tau2.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/Margin-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,margin_mne,Margin-MNE,42,0.95,69.930000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_margin_mne_l16_vgg16_rc1ep00_tau2.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/Margin-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,margin_mne,Margin-MNE,42,1.00,68.320000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_margin_mne_l16_vgg16_rc1ep00_tau2.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/Margin-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,mne_l2,MNE-standard,42,0.00,90.500000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_mne_l2_l16_vgg16_rc1em04.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/MNE-standard/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,mne_l2,MNE-standard,42,0.05,90.440000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_mne_l2_l16_vgg16_rc1em04.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/MNE-standard/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
