family,arch,size_label,hidden_size,c1,c2,regularizer,L,T,seed,if_mode,acc,checkpoint
cnn2,cnn2_c2_c4,c2c4,,2,4,weight_decay,32,0,41,normal,97.920000,mnist-checkpoints/cnn2_c2_c4_L[32]_strict_seed41_ablation_wd_l32_cnn2_c2_c4.pth
cnn2,cnn2_c2_c4,c2c4,,2,4,weight_decay,32,0,42,normal,98.020000,mnist-checkpoints/cnn2_c2_c4_L[32]_strict_seed42_ablation_wd_l32_cnn2_c2_c4.pth
cnn2,cnn2_c2_c4,c2c4,,2,4,weight_decay,32,0,43,normal,98.150000,mnist-checkpoints/cnn2_c2_c4_L[32]_strict_seed43_ablation_wd_l32_cnn2_c2_c4.pth
cnn2,cnn2_c2_c4,c2c4,,2,4,weight_decay,32,0,44,normal,97.900000,mnist-checkpoints/cnn2_c2_c4_L[32]_strict_seed44_ablation_wd_l32_cnn2_c2_c4.pth
cnn2,cnn2_c4_c8,c4c8,,4,8,weight_decay,2,0,40,normal,98.320000,mnist-checkpoints/cnn2_c4_c8_L[2]_strict_seed40_ablation_wd_l2_cnn2_c4_c8.pth
cnn2,cnn2_c4_c8,c4c8,,4,8,weight_decay,2,0,41,normal,98.290000,mnist-checkpoints/cnn2_c4_c8_L[2]_strict_seed41_ablation_wd_l2_cnn2_c4_c8.pth
cnn2,cnn2_c4_c8,c4c8,,4,8,weight_decay,2,0,42,normal,97.980000,mnist-checkpoints/cnn2_c4_c8_L[2]_strict_seed42_ablation_wd_l2_cnn2_c4_c8.pth
cnn2,cnn2_c4_c8,c4c8,,4,8,weight_decay,2,0,43,normal,98.060000,mnist-checkpoints/cnn2_c4_c8_L[2]_strict_seed43_ablation_wd_l2_cnn2_c4_c8.pth
cnn2,cnn2_c4_c8,c4c8,,4,8,weight_decay,2,0,44,normal,98.180000,mnist-checkpoints/cnn2_c4_c8_L[2]_strict_seed44_ablation_wd_l2_cnn2_c4_c8.pth
cnn2,cnn2_c4_c8,c4c8,,4,8,weight_decay,4,0,40,normal,98.930000,mnist-checkpoints/cnn2_c4_c8_L[4]_strict_seed40_ablation_wd_l4_cnn2_c4_c8.pth
cnn2,cnn2_c4_c8,c4c8,,4,8,weight_decay,4,0,41,normal,98.610000,mnist-checkpoints/cnn2_c4_c8_L[4]_strict_seed41_ablation_wd_l4_cnn2_c4_c8.pth
cnn2,cnn2_c4_c8,c4c8,,4,8,weight_decay,4,0,42,normal,98.590000,mnist-checkpoints/cnn2_c4_c8_L[4]_strict_seed42_ablation_wd_l4_cnn2_c4_c8.pth
cnn2,cnn2_c4_c8,c4c8,,4,8,weight_decay,4,0,43,normal,98.700000,mnist-checkpoints/cnn2_c4_c8_L[4]_strict_seed43_ablation_wd_l4_cnn2_c4_c8.pth
cnn2,cnn2_c4_c8,c4c8,,4,8,weight_decay,4,0,44,normal,98.520000,mnist-checkpoints/cnn2_c4_c8_L[4]_strict_seed44_ablation_wd_l4_cnn2_c4_c8.pth
