dataset,variant,variant_label,regularizer,reg_coeff,hinge_tau,sigma,n,acc_mean,acc_std
cifar10,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,4.75,5,10.928000,0.317836
cifar10,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,5,5,10.672000,0.182811
cifar10,l1,l1_rc1e-5,l1,1e-05,none,1,5,59.116000,2.120715
cifar10,l1,l1_rc1e-5,l1,1e-05,none,1.25,5,44.266000,2.474597
cifar10,l1,l1_rc1e-5,l1,1e-05,none,1.5,5,32.072000,1.923726
cifar10,l1,l1_rc1e-5,l1,1e-05,none,1.75,5,23.450000,1.367534
cifar10,l1,l1_rc1e-5,l1,1e-05,none,2,5,18.320000,0.794072
cifar10,l1,l1_rc1e-5,l1,1e-05,none,2.25,5,15.270000,0.628530
cifar10,l1,l1_rc1e-5,l1,1e-05,none,2.5,5,13.734000,0.725072
cifar10,l1,l1_rc1e-5,l1,1e-05,none,2.75,5,12.550000,0.519375
cifar10,l1,l1_rc1e-5,l1,1e-05,none,3,5,11.946000,0.500580
cifar10,l1,l1_rc1e-5,l1,1e-05,none,3.25,5,11.466000,0.481799
cifar10,l1,l1_rc1e-5,l1,1e-05,none,3.5,5,11.156000,0.464844
cifar10,l1,l1_rc1e-5,l1,1e-05,none,3.75,5,10.888000,0.402020
cifar10,l1,l1_rc1e-5,l1,1e-05,none,4,5,10.652000,0.327674
cifar10,l1,l1_rc1e-5,l1,1e-05,none,4.25,5,10.670000,0.486107
cifar10,l1,l1_rc1e-5,l1,1e-05,none,4.5,5,10.536000,0.389012
cifar10,l1,l1_rc1e-5,l1,1e-05,none,4.75,5,10.474000,0.350328
cifar10,l1,l1_rc1e-5,l1,1e-05,none,5,5,10.400000,0.371416
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,1,5,68.016000,1.000440
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,1.25,5,55.190000,0.908240
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,1.5,5,42.330000,1.456005
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,1.75,5,32.014000,1.207903
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,2,5,24.290000,0.931316
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,2.25,5,19.404000,0.780564
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,2.5,5,16.314000,0.748418
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,2.75,5,14.354000,0.539333
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,3,5,13.122000,0.399274
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,3.25,5,12.322000,0.351454
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,3.5,5,11.822000,0.303348
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,3.75,5,11.446000,0.362808
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,4,5,11.228000,0.382845
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,4.25,5,11.044000,0.392594
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,4.5,5,10.924000,0.390295
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,4.75,5,10.862000,0.433959
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,5,5,10.776000,0.402592
cifar10,weight_decay,weight_decay,weight_decay,none,none,1,5,73.478000,0.485922
cifar10,weight_decay,weight_decay,weight_decay,none,none,1.25,5,65.014000,0.460359
cifar10,weight_decay,weight_decay,weight_decay,none,none,1.5,5,55.530000,0.711337
cifar10,weight_decay,weight_decay,weight_decay,none,none,1.75,5,46.342000,1.327430
cifar10,weight_decay,weight_decay,weight_decay,none,none,2,5,37.834000,1.907952
cifar10,weight_decay,weight_decay,weight_decay,none,none,2.25,5,30.638000,2.005148
cifar10,weight_decay,weight_decay,weight_decay,none,none,2.5,5,24.890000,1.896207
cifar10,weight_decay,weight_decay,weight_decay,none,none,2.75,5,20.782000,1.618061
cifar10,weight_decay,weight_decay,weight_decay,none,none,3,5,17.658000,1.523407
cifar10,weight_decay,weight_decay,weight_decay,none,none,3.25,5,15.350000,1.248439
cifar10,weight_decay,weight_decay,weight_decay,none,none,3.5,5,13.798000,0.916608
cifar10,weight_decay,weight_decay,weight_decay,none,none,3.75,5,12.812000,0.816988
cifar10,weight_decay,weight_decay,weight_decay,none,none,4,5,12.006000,0.565756
cifar10,weight_decay,weight_decay,weight_decay,none,none,4.25,5,11.562000,0.596255
cifar10,weight_decay,weight_decay,weight_decay,none,none,4.5,5,11.128000,0.435569
cifar10,weight_decay,weight_decay,weight_decay,none,none,4.75,5,10.920000,0.271754
cifar10,weight_decay,weight_decay,weight_decay,none,none,5,5,10.618000,0.259750
