dataset,model,method,method_label,seed,L,T,site,sigma,noise_repeat,noise_seed,accuracy,checkpoint
fashion_mnist,cnn2,l1_all,L1 (all params),40,16,16,post_input_if,1,1,20301102,57.140000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l1_all_rc1em05_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,l1_all,L1 (all params),40,16,16,post_input_if,1,2,20301103,56.450000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l1_all_rc1em05_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,l1_all,L1 (all params),40,16,16,both,0,0,20300801,83.230000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l1_all_rc1em05_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,l1_all,L1 (all params),40,16,16,both,0.25,0,20300901,76.150000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l1_all_rc1em05_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,l1_all,L1 (all params),40,16,16,both,0.25,1,20300902,75.900000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l1_all_rc1em05_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,l1_all,L1 (all params),40,16,16,both,0.25,2,20300903,76.250000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l1_all_rc1em05_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,l1_all,L1 (all params),40,16,16,both,0.5,0,20301001,46.100000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l1_all_rc1em05_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,l1_all,L1 (all params),40,16,16,both,0.5,1,20301002,46.350000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l1_all_rc1em05_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,l1_all,L1 (all params),40,16,16,both,0.5,2,20301003,45.930000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l1_all_rc1em05_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,l1_all,L1 (all params),40,16,16,both,1,0,20301101,15.980000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l1_all_rc1em05_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,l1_all,L1 (all params),40,16,16,both,1,1,20301102,15.890000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l1_all_rc1em05_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,l1_all,L1 (all params),40,16,16,both,1,2,20301103,15.990000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l1_all_rc1em05_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,wd_weight_only,WD (weights only),40,16,16,post_input_if,0,0,20300801,83.470000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_wd_weight_only_rcnone_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,wd_weight_only,WD (weights only),40,16,16,post_input_if,0.25,0,20300901,80.920000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_wd_weight_only_rcnone_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,wd_weight_only,WD (weights only),40,16,16,post_input_if,0.25,1,20300902,80.800000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_wd_weight_only_rcnone_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,wd_weight_only,WD (weights only),40,16,16,post_input_if,0.25,2,20300903,80.870000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_wd_weight_only_rcnone_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,wd_weight_only,WD (weights only),40,16,16,post_input_if,0.5,0,20301001,76.770000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_wd_weight_only_rcnone_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,wd_weight_only,WD (weights only),40,16,16,post_input_if,0.5,1,20301002,76.730000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_wd_weight_only_rcnone_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,wd_weight_only,WD (weights only),40,16,16,post_input_if,0.5,2,20301003,75.820000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_wd_weight_only_rcnone_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,wd_weight_only,WD (weights only),40,16,16,post_input_if,1,0,20301101,52.020000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_wd_weight_only_rcnone_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,wd_weight_only,WD (weights only),40,16,16,post_input_if,1,1,20301102,51.080000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_wd_weight_only_rcnone_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,wd_weight_only,WD (weights only),40,16,16,post_input_if,1,2,20301103,51.150000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_wd_weight_only_rcnone_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,wd_weight_only,WD (weights only),40,16,16,both,0,0,20300801,83.470000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_wd_weight_only_rcnone_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,wd_weight_only,WD (weights only),40,16,16,both,0.25,0,20300901,75.100000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_wd_weight_only_rcnone_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,wd_weight_only,WD (weights only),40,16,16,both,0.25,1,20300902,74.850000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_wd_weight_only_rcnone_seed40_ep30_L16_trainT0.pth
