dataset,variant,variant_label,regularizer,reg_coeff,sigma,n,acc_mean,acc_std
imagenet,calibrated_mne_a0p1,Calibrated MNE ($\alpha = 0.1$),calibrated_mne_l2,0p0001,2.25,1,1.774000,0.000000
imagenet,calibrated_mne_a0p1,Calibrated MNE ($\alpha = 0.1$),calibrated_mne_l2,0p0001,2.5,1,0.988000,0.000000
imagenet,calibrated_mne_a0p1,Calibrated MNE ($\alpha = 0.1$),calibrated_mne_l2,0p0001,2.75,1,0.560000,0.000000
imagenet,calibrated_mne_a0p1,Calibrated MNE ($\alpha = 0.1$),calibrated_mne_l2,0p0001,3,1,0.302000,0.000000
imagenet,calibrated_mne_a0p1,Calibrated MNE ($\alpha = 0.1$),calibrated_mne_l2,0p0001,3.25,1,0.184000,0.000000
imagenet,calibrated_mne_a0p1,Calibrated MNE ($\alpha = 0.1$),calibrated_mne_l2,0p0001,3.5,1,0.130000,0.000000
imagenet,calibrated_mne_a0p1,Calibrated MNE ($\alpha = 0.1$),calibrated_mne_l2,0p0001,3.75,1,0.124000,0.000000
imagenet,calibrated_mne_a0p1,Calibrated MNE ($\alpha = 0.1$),calibrated_mne_l2,0p0001,4,1,0.122000,0.000000
imagenet,calibrated_mne_a0p1,Calibrated MNE ($\alpha = 0.1$),calibrated_mne_l2,0p0001,4.25,1,0.110000,0.000000
imagenet,calibrated_mne_a0p1,Calibrated MNE ($\alpha = 0.1$),calibrated_mne_l2,0p0001,4.5,1,0.120000,0.000000
imagenet,calibrated_mne_a0p1,Calibrated MNE ($\alpha = 0.1$),calibrated_mne_l2,0p0001,4.75,1,0.096000,0.000000
imagenet,calibrated_mne_a0p1,Calibrated MNE ($\alpha = 0.1$),calibrated_mne_l2,0p0001,5,1,0.124000,0.000000
