dataset,variant,variant_label,regularizer,reg_coeff,hinge_tau,sigma,n,acc_mean,acc_std
cifar100,l1,l1_rc1e-5,l1,1e-05,none,0.5,5,53.116000,0.632519
cifar100,l1,l1_rc1e-5,l1,1e-05,none,0.75,5,53.030000,0.620967
cifar100,l1,l1_rc1e-5,l1,1e-05,none,1,5,53.136000,0.725072
cifar100,l1,l1_rc1e-5,l1,1e-05,none,1.25,5,52.798000,0.669679
cifar100,l1,l1_rc1e-5,l1,1e-05,none,1.5,5,52.462000,0.752576
cifar100,l1,l1_rc1e-5,l1,1e-05,none,1.75,5,52.080000,0.655324
cifar100,l1,l1_rc1e-5,l1,1e-05,none,2,5,51.312000,0.791499
cifar100,l1,l1_rc1e-5,l1,1e-05,none,2.25,5,50.330000,1.141950
cifar100,l1,l1_rc1e-5,l1,1e-05,none,2.5,5,48.914000,1.486516
cifar100,l1,l1_rc1e-5,l1,1e-05,none,2.75,5,47.318000,1.918611
cifar100,l1,l1_rc1e-5,l1,1e-05,none,3,5,45.328000,2.672708
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,0,5,59.620000,0.224611
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,0.25,5,59.608000,0.217071
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,0.5,5,59.584000,0.230933
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,0.75,5,59.586000,0.261496
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,1,5,59.542000,0.209093
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,1.25,5,59.464000,0.266327
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,1.5,5,59.072000,0.177539
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,1.75,5,58.854000,0.172424
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,2,5,58.384000,0.323311
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,2.25,5,57.806000,0.266608
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,2.5,5,57.192000,0.119038
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,2.75,5,56.058000,0.170792
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,3,5,55.188000,0.085264
cifar100,weight_decay,weight_decay,weight_decay,none,none,0,5,62.272000,0.372988
cifar100,weight_decay,weight_decay,weight_decay,none,none,0.25,5,62.006000,0.305745
cifar100,weight_decay,weight_decay,weight_decay,none,none,0.5,5,57.728000,0.844079
cifar100,weight_decay,weight_decay,weight_decay,none,none,0.75,5,39.620000,3.617160
cifar100,weight_decay,weight_decay,weight_decay,none,none,1,5,14.430000,3.015220
cifar100,weight_decay,weight_decay,weight_decay,none,none,1.25,5,4.674000,1.298145
cifar100,weight_decay,weight_decay,weight_decay,none,none,1.5,5,2.402000,0.681777
cifar100,weight_decay,weight_decay,weight_decay,none,none,1.75,5,1.838000,0.503706
cifar100,weight_decay,weight_decay,weight_decay,none,none,2,5,1.574000,0.463821
cifar100,weight_decay,weight_decay,weight_decay,none,none,2.25,5,1.382000,0.312762
cifar100,weight_decay,weight_decay,weight_decay,none,none,2.5,5,1.214000,0.173580
cifar100,weight_decay,weight_decay,weight_decay,none,none,2.75,5,1.136000,0.111490
cifar100,weight_decay,weight_decay,weight_decay,none,none,3,5,1.070000,0.060828
cifar100,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,0,5,63.826000,0.264064
cifar100,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,0.25,5,63.806000,0.279428
cifar100,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,0.5,5,63.762000,0.248636
cifar100,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,0.75,5,63.810000,0.308221
cifar100,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,1,5,63.698000,0.271146
cifar100,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,1.25,5,63.446000,0.290310
cifar100,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,1.5,5,62.900000,0.167332
