arch,hidden_size,regularizer,seed,L,T,if_mode,sigma,acc,checkpoint,matrix_csv
fc3_h4,4,mne_l2,42,16,16,normal,0.1,60.03,mnist-checkpoints/fc3_h4_L[16]_strict_seed42_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_42/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_42.csv
fc3_h4,4,mne_l2,42,16,16,normal,0.2,59.99,mnist-checkpoints/fc3_h4_L[16]_strict_seed42_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_42/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_42.csv
fc3_h4,4,mne_l2,42,16,16,normal,0.3,59.91,mnist-checkpoints/fc3_h4_L[16]_strict_seed42_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_42/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_42.csv
fc3_h4,4,mne_l2,42,16,16,normal,0.4,59.8,mnist-checkpoints/fc3_h4_L[16]_strict_seed42_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_42/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_42.csv
fc3_h4,4,mne_l2,42,16,16,normal,0.5,59.94,mnist-checkpoints/fc3_h4_L[16]_strict_seed42_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_42/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_42.csv
fc3_h4,4,mne_l2,42,16,16,normal,0.6,59.62,mnist-checkpoints/fc3_h4_L[16]_strict_seed42_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_42/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_42.csv
fc3_h4,4,mne_l2,42,16,16,normal,0.7,59.75,mnist-checkpoints/fc3_h4_L[16]_strict_seed42_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_42/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_42.csv
fc3_h4,4,mne_l2,42,16,16,normal,0.8,59.39,mnist-checkpoints/fc3_h4_L[16]_strict_seed42_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_42/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_42.csv
fc3_h4,4,mne_l2,42,16,16,normal,0.9,58.99,mnist-checkpoints/fc3_h4_L[16]_strict_seed42_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_42/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_42.csv
fc3_h4,4,mne_l2,42,16,16,normal,1.0,59.21,mnist-checkpoints/fc3_h4_L[16]_strict_seed42_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_42/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_42.csv
