arch,hidden_size,regularizer,sigma,acc_mean,acc_std,n_seeds
fc3_h8,8,no_regularization,0.2,52.962000,25.081430,5
fc3_h8,8,no_regularization,0.3,47.884000,24.914109,5
fc3_h8,8,no_regularization,0.4,43.770000,24.529380,5
fc3_h8,8,no_regularization,0.5,40.150000,22.788114,5
fc3_h8,8,no_regularization,0.6,36.866000,20.947293,5
fc3_h8,8,no_regularization,0.7,34.498000,19.001824,5
fc3_h8,8,no_regularization,0.8,32.166000,17.218654,5
fc3_h8,8,no_regularization,0.9,29.988000,15.309679,5
fc3_h8,8,no_regularization,1.0,28.486000,13.762188,5
fc3_h8,8,weight_decay,0.0,77.160000,19.232587,5
fc3_h8,8,weight_decay,0.1,75.906000,21.506513,5
fc3_h8,8,weight_decay,0.2,73.772000,24.481147,5
fc3_h8,8,weight_decay,0.3,71.920000,25.485981,5
fc3_h8,8,weight_decay,0.4,69.754000,26.518920,5
fc3_h8,8,weight_decay,0.5,67.392000,26.239757,5
fc3_h8,8,weight_decay,0.6,64.372000,25.859893,5
fc3_h8,8,weight_decay,0.7,62.084000,25.602860,5
fc3_h8,8,weight_decay,0.8,59.010000,24.812589,5
fc3_h8,8,weight_decay,0.9,56.166000,24.195980,5
fc3_h8,8,weight_decay,1.0,53.942000,23.679673,5
fc3_h16,16,mne_l2,0.0,93.388000,1.151291,5
fc3_h16,16,mne_l2,0.1,93.344000,1.210529,5
fc3_h16,16,mne_l2,0.2,93.348000,1.242405,5
fc3_h16,16,mne_l2,0.3,93.260000,1.267142,5
fc3_h16,16,mne_l2,0.4,93.244000,1.276805,5
fc3_h16,16,mne_l2,0.5,93.224000,1.278546,5
fc3_h16,16,mne_l2,0.6,93.120000,1.294005,5
fc3_h16,16,mne_l2,0.7,93.080000,1.267458,5
fc3_h16,16,mne_l2,0.8,92.932000,1.317942,5
fc3_h16,16,mne_l2,0.9,92.812000,1.368145,5
fc3_h16,16,mne_l2,1.0,92.654000,1.411056,5
fc3_h16,16,no_regularization,0.0,93.280000,0.803275,5
fc3_h16,16,no_regularization,0.1,93.046000,0.895701,5
fc3_h16,16,no_regularization,0.2,92.018000,1.251707,5
fc3_h16,16,no_regularization,0.3,89.862000,2.278546,5
fc3_h16,16,no_regularization,0.4,86.596000,3.461666,5
fc3_h16,16,no_regularization,0.5,82.046000,5.110991,5
fc3_h16,16,no_regularization,0.6,76.662000,6.635576,5
fc3_h16,16,no_regularization,0.7,71.504000,7.716883,5
fc3_h16,16,no_regularization,0.8,66.424000,8.453954,5
fc3_h16,16,no_regularization,0.9,61.646000,8.674654,5
fc3_h16,16,no_regularization,1.0,56.606000,9.393249,5
fc3_h16,16,weight_decay,0.0,93.876000,1.353229,5
fc3_h16,16,weight_decay,0.1,93.824000,1.377200,5
fc3_h16,16,weight_decay,0.2,93.642000,1.394694,5
fc3_h16,16,weight_decay,0.3,93.398000,1.548151,5
fc3_h16,16,weight_decay,0.4,93.128000,1.635075,5
