arch,hidden_size,regularizer,sigma,deriv_mean,deriv_std,n_seeds
fc3_h32,32,no_regularization,0.9,-5.000000,1.496663,5
fc3_h32,32,no_regularization,1.0,-5.300000,1.890767,5
fc3_h64,64,mne_l2,0.0,-0.380000,0.334664,5
fc3_h64,64,mne_l2,0.1,-0.550000,0.310242,5
fc3_h64,64,mne_l2,0.2,-0.400000,0.212132,5
fc3_h64,64,mne_l2,0.3,0.040000,0.567230,5
fc3_h64,64,mne_l2,0.4,-0.160000,0.378153,5
fc3_h64,64,mne_l2,0.5,-0.660000,0.541295,5
fc3_h64,64,mne_l2,0.6,-0.560000,0.432146,5
fc3_h64,64,mne_l2,0.7,-0.340000,0.819604,5
fc3_h64,64,mne_l2,0.8,-0.420000,0.816701,5
fc3_h64,64,mne_l2,0.9,-0.760000,0.631862,5
fc3_h64,64,mne_l2,1.0,-1.080000,1.366382,5
fc3_h64,64,weight_decay,0.0,-0.420000,0.630079,5
fc3_h64,64,weight_decay,0.1,-0.370000,0.307409,5
fc3_h64,64,weight_decay,0.2,-0.060000,0.429244,5
fc3_h64,64,weight_decay,0.3,-0.470000,0.583738,5
fc3_h64,64,weight_decay,0.4,-1.160000,0.530801,5
fc3_h64,64,weight_decay,0.5,-1.380000,0.989697,5
fc3_h64,64,weight_decay,0.6,-1.560000,1.254193,5
fc3_h64,64,weight_decay,0.7,-1.890000,1.267576,5
fc3_h64,64,weight_decay,0.8,-2.230000,2.219403,5
fc3_h64,64,weight_decay,0.9,-2.500000,2.507240,5
fc3_h64,64,weight_decay,1.0,-2.780000,2.273104,5
fc3_h64,64,no_regularization,0.0,-0.140000,0.795613,5
fc3_h64,64,no_regularization,0.1,-0.290000,0.373162,5
fc3_h64,64,no_regularization,0.2,-0.410000,0.792465,5
fc3_h64,64,no_regularization,0.3,-0.860000,0.584594,5
fc3_h64,64,no_regularization,0.4,-0.640000,0.535490,5
fc3_h64,64,no_regularization,0.5,-0.440000,1.091673,5
fc3_h64,64,no_regularization,0.6,-1.350000,0.930054,5
fc3_h64,64,no_regularization,0.7,-1.830000,1.922758,5
fc3_h64,64,no_regularization,0.8,-1.680000,2.384743,5
fc3_h64,64,no_regularization,0.9,-2.090000,2.003559,5
fc3_h64,64,no_regularization,1.0,-2.720000,1.764086,5
fc3_h128,128,mne_l2,0.0,-0.360000,0.472229,5
fc3_h128,128,mne_l2,0.1,-0.240000,0.155724,5
fc3_h128,128,mne_l2,0.2,-0.340000,0.255930,5
fc3_h128,128,mne_l2,0.3,-0.120000,0.448051,5
fc3_h128,128,mne_l2,0.4,-0.240000,0.285920,5
fc3_h128,128,mne_l2,0.5,-0.200000,0.551135,5
fc3_h128,128,mne_l2,0.6,0.000000,0.176777,5
fc3_h128,128,mne_l2,0.7,0.020000,0.546123,5
fc3_h128,128,mne_l2,0.8,-0.690000,0.304959,5
fc3_h128,128,mne_l2,0.9,-0.810000,0.506705,5
fc3_h128,128,mne_l2,1.0,0.200000,0.863134,5
fc3_h128,128,weight_decay,0.0,-0.360000,0.971082,5
fc3_h128,128,weight_decay,0.1,-0.680000,0.376829,5
fc3_h128,128,weight_decay,0.2,-0.580000,0.315436,5
fc3_h128,128,weight_decay,0.3,-0.830000,0.317411,5
fc3_h128,128,weight_decay,0.4,-0.530000,0.156525,5
fc3_h128,128,weight_decay,0.5,-0.920000,0.563028,5
fc3_h128,128,weight_decay,0.6,-2.130000,0.815935,5
fc3_h128,128,weight_decay,0.7,-1.700000,0.876071,5
fc3_h128,128,weight_decay,0.8,-2.010000,0.736885,5
fc3_h128,128,weight_decay,0.9,-2.930000,0.754652,5
fc3_h128,128,weight_decay,1.0,-3.260000,1.671227,5
fc3_h128,128,no_regularization,0.0,-0.760000,1.254193,5
fc3_h128,128,no_regularization,0.1,-0.790000,0.655172,5
fc3_h128,128,no_regularization,0.2,-1.650000,0.667083,5
fc3_h128,128,no_regularization,0.3,-2.430000,1.888650,5
fc3_h128,128,no_regularization,0.4,-3.440000,2.682676,5
fc3_h128,128,no_regularization,0.5,-4.970000,3.932016,5
fc3_h128,128,no_regularization,0.6,-5.510000,4.656367,5
fc3_h128,128,no_regularization,0.7,-7.730000,6.445211,5
fc3_h128,128,no_regularization,0.8,-9.770000,8.492394,5
fc3_h128,128,no_regularization,0.9,-11.030000,9.529271,5
fc3_h128,128,no_regularization,1.0,-12.400000,11.395833,5
