arch,hidden_size,regularizer,sigma,acc_mean,acc_std,n_seeds
fc3_h32,32,mne_l2,0.65,94.282000,0.282259,5
fc3_h32,32,mne_l2,0.70,93.440000,0.326497,5
fc3_h32,32,mne_l2,0.75,92.388000,0.438030,5
fc3_h32,32,mne_l2,0.80,91.018000,0.455763,5
fc3_h32,32,mne_l2,0.85,89.718000,0.682070,5
fc3_h32,32,mne_l2,0.90,87.850000,0.861713,5
fc3_h32,32,mne_l2,0.95,86.006000,1.142992,5
fc3_h32,32,mne_l2,1.00,83.500000,1.337479,5
fc3_h32,32,weight_decay,0.00,97.168000,0.292181,5
fc3_h32,32,weight_decay,0.05,97.160000,0.275045,5
fc3_h32,32,weight_decay,0.10,97.156000,0.315801,5
fc3_h32,32,weight_decay,0.15,97.128000,0.298530,5
fc3_h32,32,weight_decay,0.20,97.076000,0.313815,5
fc3_h32,32,weight_decay,0.25,97.094000,0.362119,5
fc3_h32,32,weight_decay,0.30,97.022000,0.310032,5
fc3_h32,32,weight_decay,0.35,97.010000,0.248495,5
fc3_h32,32,weight_decay,0.40,96.870000,0.277128,5
fc3_h32,32,weight_decay,0.45,96.712000,0.216956,5
fc3_h32,32,weight_decay,0.50,96.500000,0.277579,5
fc3_h32,32,weight_decay,0.55,96.300000,0.272672,5
fc3_h32,32,weight_decay,0.60,95.776000,0.239123,5
fc3_h32,32,weight_decay,0.65,95.188000,0.435396,5
fc3_h32,32,weight_decay,0.70,94.160000,0.517446,5
fc3_h32,32,weight_decay,0.75,92.800000,0.857263,5
fc3_h32,32,weight_decay,0.80,91.098000,0.905577,5
fc3_h32,32,weight_decay,0.85,89.232000,1.155755,5
fc3_h32,32,weight_decay,0.90,86.720000,1.415221,5
fc3_h32,32,weight_decay,0.95,84.070000,1.838233,5
fc3_h32,32,weight_decay,1.00,81.312000,1.753531,5
fc3_h32,32,no_regularization,0.00,96.184000,0.281567,5
fc3_h32,32,no_regularization,0.05,96.098000,0.277615,5
fc3_h32,32,no_regularization,0.10,96.132000,0.274171,5
fc3_h32,32,no_regularization,0.15,96.098000,0.288652,5
fc3_h32,32,no_regularization,0.20,96.076000,0.278262,5
fc3_h32,32,no_regularization,0.25,96.036000,0.309564,5
fc3_h32,32,no_regularization,0.30,95.908000,0.327521,5
fc3_h32,32,no_regularization,0.35,95.652000,0.296260,5
fc3_h32,32,no_regularization,0.40,95.138000,0.524662,5
fc3_h32,32,no_regularization,0.45,94.104000,0.923542,5
fc3_h32,32,no_regularization,0.50,92.308000,1.622011,5
fc3_h32,32,no_regularization,0.55,89.398000,2.719866,5
fc3_h32,32,no_regularization,0.60,85.670000,3.676683,5
