model,method,method_label,seed,L,T,site,sigma,noise_seed,accuracy,checkpoint
cnn2_c8_c16,threshold_l2,Threshold-L2,41,16,16,both,0.5,20301802,76.200000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_threshold_l2_rc0p0001_seed41_ep30_L16_trainT0.pth
cnn2_c8_c16,threshold_l2,Threshold-L2,41,16,16,both,1,20301803,42.900000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_threshold_l2_rc0p0001_seed41_ep30_L16_trainT0.pth
cnn2_c8_c16,old_detach,MNE-L2,42,16,16,both,0,20302801,86.760000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_old_detach_rc0p0001_seed42_ep30_L16_trainT0.pth
cnn2_c8_c16,old_detach,MNE-L2,42,16,16,both,0.5,20302802,64.960000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_old_detach_rc0p0001_seed42_ep30_L16_trainT0.pth
cnn2_c8_c16,old_detach,MNE-L2,42,16,16,both,1,20302803,25.590000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_old_detach_rc0p0001_seed42_ep30_L16_trainT0.pth
cnn2_c8_c16,l2_sp,L2-SP,42,16,16,both,0,20302801,86.380000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_sp_rc0p01_seed42_ep30_L16_trainT0.pth
cnn2_c8_c16,l2_sp,L2-SP,42,16,16,both,0.5,20302802,68.270000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_sp_rc0p01_seed42_ep30_L16_trainT0.pth
cnn2_c8_c16,l2_sp,L2-SP,42,16,16,both,1,20302803,26.530000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_sp_rc0p01_seed42_ep30_L16_trainT0.pth
cnn2_c8_c16,l2,L2,42,16,16,both,0,20302801,87.860000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_rcnone_seed42_ep30_L16_trainT0.pth
cnn2_c8_c16,l2,L2,42,16,16,both,0.5,20302802,57.280000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_rcnone_seed42_ep30_L16_trainT0.pth
cnn2_c8_c16,l2,L2,42,16,16,both,1,20302803,22.870000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_rcnone_seed42_ep30_L16_trainT0.pth
cnn2_c8_c16,orthogonal,Orthogonal,42,16,16,both,0,20302801,86.660000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_orthogonal_rc0p0001_seed42_ep30_L16_trainT0.pth
cnn2_c8_c16,orthogonal,Orthogonal,42,16,16,both,0.5,20302802,68.460000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_orthogonal_rc0p0001_seed42_ep30_L16_trainT0.pth
cnn2_c8_c16,orthogonal,Orthogonal,42,16,16,both,1,20302803,28.680000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_orthogonal_rc0p0001_seed42_ep30_L16_trainT0.pth
cnn2_c8_c16,threshold_l2,Threshold-L2,42,16,16,both,0,20302801,86.470000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_threshold_l2_rc0p0001_seed42_ep30_L16_trainT0.pth
cnn2_c8_c16,threshold_l2,Threshold-L2,42,16,16,both,0.5,20302802,69.220000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_threshold_l2_rc0p0001_seed42_ep30_L16_trainT0.pth
cnn2_c8_c16,threshold_l2,Threshold-L2,42,16,16,both,1,20302803,27.750000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_threshold_l2_rc0p0001_seed42_ep30_L16_trainT0.pth
