stage,epoch,epochs,regularizer,reg_coeff,param_kind,layer,numel,value_mean,value_rms,value_l2,grad_ce_l2,grad_reg_l2,grad_total_l2,cos_ce_reg,dot_ce_reg,sign_agree_frac,grad_ce_mean,grad_reg_mean,ce_loss,reg_loss
early,0,300,manual_l2,0.00025,bn_gamma,layer3.5,256,1.0002139806747437,1.0002632141113281,16.00421142578125,0.004492679610848427,0.0,0.004492679610848427,nan,0.0,0.0,-1.235272065969184e-06,0.0,2.1011393070220947,1.8728370666503906
early,0,300,manual_l2,0.00025,lambda,layer3.6,1,7.993197917938232,7.993197917938232,7.993197917938232,4.861492197960615e-05,0.0,4.861492197960615e-05,nan,0.0,0.0,4.861492197960615e-05,0.0,2.1011393070220947,1.8728370666503906
early,0,300,manual_l2,0.00025,bn_gamma,layer3.9,256,1.0002167224884033,1.0002485513687134,16.003976821899414,0.0034452241379767656,0.0,0.0034452241379767656,nan,0.0,0.0,2.627044523251243e-06,0.0,2.1011393070220947,1.8728370666503906
early,0,300,manual_l2,0.00025,lambda,layer3.10,1,7.992893218994141,7.992893218994141,7.992893218994141,5.705177318304777e-05,0.0,5.705177318304777e-05,nan,0.0,0.0,-5.705177318304777e-05,0.0,2.1011393070220947,1.8728370666503906
early,0,300,manual_l2,0.00025,bn_gamma,layer4.1,512,1.0000666379928589,1.000079870223999,22.62922477722168,0.003227434353902936,0.0,0.003227434353902936,nan,0.0,0.0,-1.6639839941490209e-06,0.0,2.1011393070220947,1.8728370666503906
early,0,300,manual_l2,0.00025,lambda,layer4.2,1,7.995861053466797,7.995861053466797,7.995861053466797,0.00011264439672231674,0.0,0.00011264439672231674,nan,0.0,0.0,0.00011264439672231674,0.0,2.1011393070220947,1.8728370666503906
early,0,300,manual_l2,0.00025,bn_gamma,layer4.5,512,1.0001134872436523,1.0001256465911865,22.630260467529297,0.0032901472877711058,0.0,0.0032901472877711058,nan,0.0,0.0,-2.081763796013547e-06,0.0,2.1011393070220947,1.8728370666503906
early,0,300,manual_l2,0.00025,lambda,layer4.6,1,7.992779731750488,7.992779731750488,7.992779731750488,0.0001397088635712862,0.0,0.0001397088635712862,nan,0.0,0.0,0.0001397088635712862,0.0,2.1011393070220947,1.8728370666503906
early,0,300,manual_l2,0.00025,bn_gamma,layer4.9,512,1.0000181198120117,1.0000296831130981,22.628089904785156,0.002900828141719103,0.0,0.002900828141719103,nan,0.0,0.0,-3.0637465897598304e-08,0.0,2.1011393070220947,1.8728370666503906
early,0,300,manual_l2,0.00025,lambda,layer4.10,1,7.9988298416137695,7.9988298416137695,7.9988298416137695,1.2648524716496468e-05,0.0,1.2648524716496468e-05,nan,0.0,0.0,1.2648524716496468e-05,0.0,2.1011393070220947,1.8728370666503906
early,0,300,manual_l2,0.00025,bn_gamma,layer5.1,512,1.0001150369644165,1.0001364946365356,22.630504608154297,0.005565986968576908,0.0,0.005565986968576908,nan,0.0,0.0,-2.426182845738367e-06,0.0,2.1011393070220947,1.8728370666503906
early,0,300,manual_l2,0.00025,lambda,layer5.2,1,7.9925856590271,7.9925856590271,7.9925856590271,0.00014556990936398506,0.0,0.00014556990936398506,nan,0.0,0.0,0.00014556990936398506,0.0,2.1011393070220947,1.8728370666503906
early,0,300,manual_l2,0.00025,bn_gamma,layer5.5,512,1.000196099281311,1.0002294778823853,22.63260841369629,0.005798551253974438,0.0,0.005798551253974438,nan,0.0,0.0,-1.98423049369012e-06,0.0,2.1011393070220947,1.8728370666503906
early,0,300,manual_l2,0.00025,lambda,layer5.6,1,7.987661838531494,7.987661838531494,7.987661838531494,0.00013859011232852936,0.0,0.00013859011232852936,nan,0.0,0.0,0.00013859011232852936,0.0,2.1011393070220947,1.8728370666503906
