arch,regularizer,sigma,acc_mean,acc_std,n_seeds
fc2_h256,mne_l2,0.8,97.198000,0.103537,5
fc2_h256,mne_l2,0.9,97.174000,0.074027,5
fc2_h256,mne_l2,1.0,97.128000,0.097826,5
fc2_h256,no_regularization,0.0,97.390000,0.083367,5
fc2_h256,no_regularization,0.1,97.372000,0.163768,5
fc2_h256,no_regularization,0.2,97.304000,0.166823,5
fc2_h256,no_regularization,0.3,97.264000,0.068044,5
fc2_h256,no_regularization,0.4,97.226000,0.110589,5
fc2_h256,no_regularization,0.5,97.214000,0.079561,5
fc2_h256,no_regularization,0.6,97.208000,0.116490,5
fc2_h256,no_regularization,0.7,97.026000,0.095026,5
fc2_h256,no_regularization,0.8,97.000000,0.138022,5
fc2_h256,no_regularization,0.9,96.926000,0.121161,5
fc2_h256,no_regularization,1.0,96.770000,0.094074,5
fc2_h256,weight_decay,0.0,97.998000,0.031145,5
fc2_h256,weight_decay,0.1,97.972000,0.062209,5
fc2_h256,weight_decay,0.2,97.930000,0.066332,5
fc2_h256,weight_decay,0.3,97.902000,0.060581,5
fc2_h256,weight_decay,0.4,97.900000,0.082158,5
fc2_h256,weight_decay,0.5,97.872000,0.031145,5
fc2_h256,weight_decay,0.6,97.836000,0.080808,5
fc2_h256,weight_decay,0.7,97.826000,0.101882,5
fc2_h256,weight_decay,0.8,97.768000,0.137004,5
fc2_h256,weight_decay,0.9,97.748000,0.086429,5
fc2_h256,weight_decay,1.0,97.682000,0.112561,5
fc2_h64,mne_l2,0.0,96.640000,0.052915,5
fc2_h64,mne_l2,0.1,96.634000,0.065422,5
fc2_h64,mne_l2,0.2,96.588000,0.082583,5
fc2_h64,mne_l2,0.3,96.648000,0.070852,5
fc2_h64,mne_l2,0.4,96.598000,0.113446,5
fc2_h64,mne_l2,0.5,96.578000,0.040866,5
fc2_h64,mne_l2,0.6,96.586000,0.033615,5
fc2_h64,mne_l2,0.7,96.558000,0.046583,5
fc2_h64,mne_l2,0.8,96.516000,0.054129,5
fc2_h64,mne_l2,0.9,96.490000,0.125897,5
fc2_h64,mne_l2,1.0,96.444000,0.073007,5
fc2_h64,no_regularization,0.0,96.726000,0.248052,5
fc2_h64,no_regularization,0.1,96.706000,0.291256,5
fc2_h64,no_regularization,0.2,96.610000,0.288877,5
fc2_h64,no_regularization,0.3,96.504000,0.302870,5
fc2_h64,no_regularization,0.4,96.344000,0.253436,5
fc2_h64,no_regularization,0.5,96.138000,0.315706,5
fc2_h64,no_regularization,0.6,96.038000,0.470606,5
fc2_h64,no_regularization,0.7,95.808000,0.470128,5
fc2_h64,no_regularization,0.8,95.364000,0.360319,5
fc2_h64,no_regularization,0.9,94.948000,0.515432,5
fc2_h64,no_regularization,1.0,94.544000,0.775261,5
fc2_h64,weight_decay,0.0,97.778000,0.118828,5
fc2_h64,weight_decay,0.1,97.744000,0.114804,5
fc2_h64,weight_decay,0.2,97.712000,0.154175,5
fc2_h64,weight_decay,0.3,97.696000,0.135757,5
fc2_h64,weight_decay,0.4,97.670000,0.153134,5
fc2_h64,weight_decay,0.5,97.644000,0.128180,5
fc2_h64,weight_decay,0.6,97.648000,0.088148,5
fc2_h64,weight_decay,0.7,97.546000,0.106911,5
fc2_h64,weight_decay,0.8,97.534000,0.132778,5
fc2_h64,weight_decay,0.9,97.500000,0.109316,5
fc2_h64,weight_decay,1.0,97.444000,0.084439,5
