epoch,alpha,q_assignment,q_mean,q_std,q_min,q_max,q_os_mean,q_os_std,p_gt_tau,p_at_qmax,q_cap,reg_grad_norm,reg_coeff_grad_norm,ce_grad_norm,reg_ce_ratio,ann_train_acc,ann_test_acc,train_loss
10.0,0.0,strength,1.0,0.0,1.0,1.0,1.0,0.0,0.7522927516561639,0.0,0.0,49.78826329984358,0.02489413164992179,1.745579758558302,0.014261239870518545,38.01,46.38,1167.4096014499664
11.0,0.0,strength,1.0,0.0,1.0,1.0,1.0,0.0,0.7504998044589596,0.0,0.0,50.97590180067529,0.025487950900337644,1.662102314681404,0.015334766503362483,39.734,46.45,1151.322536945343
12.0,0.0,strength,1.0,0.0,1.0,1.0,1.0,0.0,0.7406021050175132,0.0,0.0,52.03401087862106,0.02601700543931053,1.7354719253524795,0.01499131450024834,40.712,49.35,1142.575755596161
13.0,0.0,strength,1.0,0.0,1.0,1.0,1.0,0.0,0.7361898086869808,0.0,0.0,53.035832869638895,0.026517916434819447,1.7772003098251339,0.01492117477597596,41.962,50.07,1136.2672321796417
14.0,0.0,strength,1.0,0.0,1.0,1.0,1.0,0.0,0.7303570074498501,0.0,0.0,53.93092505913815,0.026965462529569075,1.6707395800569214,0.016139835825670912,42.854,52.38,1128.2151160240173
15.0,0.0,strength,1.0,0.0,1.0,1.0,1.0,0.0,0.7295545775567174,0.0,0.0,54.70943379899344,0.027354716899496718,1.7491266917714532,0.01563907121661544,43.88,46.61,1120.6095712184906
16.0,0.0,strength,1.0,0.0,1.0,1.0,1.0,0.0,0.7282630186861433,0.0,0.0,55.596212245714696,0.02779810612285735,1.8397771435213335,0.01510949639783641,44.378,52.55,1119.7714426517487
17.0,0.0,strength,1.0,0.0,1.0,1.0,1.0,0.0,0.7257720760982055,0.0,0.0,56.32900748864444,0.028164503744322222,1.9267638196358867,0.014617517444169496,44.656,52.92,1119.5926911830902
18.0,0.0,strength,1.0,0.0,1.0,1.0,1.0,0.0,0.7234324550689639,0.0,0.0,56.98943565580543,0.028494717827902714,2.0790922477253906,0.01370536485770512,45.892,52.4,1112.5703332424164
19.0,0.0,strength,1.0,0.0,1.0,1.0,1.0,0.0,0.7130040646818898,0.0,0.0,57.60601192597756,0.028803005962988782,1.8472175805490965,0.015592643912812326,46.554,55.41,1111.7185015678406
20.0,0.0,strength,1.0,0.0,1.0,1.0,1.0,0.0,0.7144698581427259,0.0,0.0,58.24728662286151,0.029123643311430754,1.8003000350715308,0.016177105340262683,46.76,56.31,1111.2267549037933
21.0,0.0,strength,1.0,0.0,1.0,1.0,1.0,0.0,0.7064498240685524,0.0,0.0,58.81976325398948,0.02940988162699474,1.9213066069871556,0.01530722973628506,47.208,53.23,1108.4618968963623
22.0,0.0,strength,1.0,0.0,1.0,1.0,1.0,0.0,0.6908701159765044,0.0,0.0,59.36306578510529,0.029681532892552646,1.9422110639746375,0.015282341576105987,47.35,49.76,1111.8244564533234
23.0,0.0,strength,1.0,0.0,1.0,1.0,1.0,0.0,0.6698289806275721,0.0,0.0,59.931388758229104,0.029965694379114553,1.766890667736725,0.01695956344457844,47.822,54.16,1113.5642132759094
24.0,0.0,strength,1.0,0.0,1.0,1.0,1.0,0.0,0.6604715634489913,0.0,0.0,60.393385241991105,0.030196692620995554,1.9295932968957508,0.015649252445877965,47.874,54.3,1115.891627073288
25.0,0.0,strength,1.0,0.0,1.0,1.0,1.0,0.0,0.6458743752725898,0.0,0.0,60.8652069549063,0.03043260347745315,1.9328333189161548,0.015745073917971555,48.598,55.42,1114.267567396164
26.0,0.0,strength,1.0,0.0,1.0,1.0,1.0,0.0,0.6267934927855001,0.0,0.0,61.26372682549063,0.030631863412745316,2.0174306588081783,0.015183601616742289,48.87,54.96,1112.1402394771576
27.0,0.0,strength,1.0,0.0,1.0,1.0,1.0,0.0,0.6048881227098157,0.0,0.0,61.58742468651049,0.030793712343255245,1.9047404357917808,0.016166881200510987,49.16,55.68,1113.683299779892
28.0,0.0,strength,1.0,0.0,1.0,1.0,1.0,0.0,0.5972304098746356,0.0,0.0,61.92585400087586,0.03096292700043793,1.9999521005138179,0.015481834286172697,49.432,54.82,1111.8076004981995
