dataset,arch,method,method_label,seed,L,T,sigma,condition,use_for_energy,noise_position,n_samples,accuracy,firing_density_mean,firing_density_median,firing_density_p95,event_synops_mean,event_synops_median,event_synops_p95,rest_acs_mean,rest_acs_median,rest_acs_p95,first_macs_per_sample,energy_mJ_mean,energy_mJ_median,energy_mJ_p95,checkpoint
cifar10,vgg16,l2_wo,L2-wo,42,16,8,1,noise,no,post_input_if,10000,90.02,0.10157328131147426,0.10228833534734712,0.11665493532908049,434336165.0789625,433271125.5,462433534.2,420764069.0789625,419699029.5,448861438.2,14155776.0,0.4438042317710663,0.44284569615,0.46909186398,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed42_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,42,16,16,0,clean,yes,post_input_if,10000,91.17,0.10110317661642171,0.10179621195621627,0.1161542494520009,438565696.46045,437240407.25,508898265.05,411421504.46045,410096215.25,481754073.05,28311552.0,0.500512493214405,0.499319732925,0.5638118049449999,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed42_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,42,16,16,1,noise,no,post_input_if,10000,90.89,0.10139031271076888,0.10207690780968975,0.11636506224707734,878621472.30085,876600904.75,934331548.65,851477280.30085,849456712.75,907187356.65,28311552.0,0.8965626914707651,0.8947441806750002,0.946701760185,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed42_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,43,16,4,0,clean,yes,post_input_if,10000,90.28,0.10204658185560928,0.10270767760791366,0.11723272748988309,106714232.57305919,106459982.375,124456340.8875,99928184.57385918,99673934.375,117670292.8875,7077888.0,0.12249365091647328,0.1222648257375,0.13846154839875002,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed43_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,43,16,4,1,noise,no,post_input_if,10000,88.47,0.10316058077366233,0.10383836485499101,0.11844868831497302,215308179.92548907,214834727.9375,229561724.7125,208522131.92628905,208048679.9375,222775676.7125,7077888.0,0.22022820353366016,0.21980209674375,0.23305639384125001,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed43_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,43,16,8,0,clean,yes,post_input_if,10000,90.88000000000001,0.10234332898915242,0.10296213712623652,0.11745030245334982,216510142.0769875,215914239.375,251989587.79999998,202938046.0769875,202342143.375,238417491.79999998,14155776.0,0.24776081106928877,0.2472244986375,0.27969231222,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed43_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,43,16,8,1,noise,no,post_input_if,10000,89.99000000000001,0.10293139608918334,0.10364274498370055,0.118152228705317,434304042.465575,433445751.625,462145772.55,420731946.465575,419873655.625,448573676.55,14155776.0,0.44377532141901754,0.44300285966249997,0.4688328784950001,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed43_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,43,16,16,0,clean,yes,post_input_if,10000,90.98,0.10238659031271077,0.1030214158751124,0.11746364017184689,442285013.016625,441437222.75,513206387.24999994,415140821.016625,414293030.75,486062195.24999994,28311552.0,0.5038598781149625,0.503096866875,0.567689114925,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed43_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,43,16,16,1,noise,no,post_input_if,10000,90.64,0.10271808563891074,0.10340562998819694,0.11777128590096671,878241828.457,876784382.0,933169556.4,851097636.457,849640190.0,906025364.4,28311552.0,0.8962210120112999,0.8949093102,0.9456559671600001,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed43_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,44,16,4,0,clean,yes,post_input_if,10000,90.53999999999999,0.10118932719059127,0.1018711885959982,0.116741196886241,106640117.44289179,106431008.8125,124792323.0,99854069.44369179,99644960.8125,118006275.0,7077888.0,0.12242694729932262,0.12223874953125001,0.1387639323,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed44_L16_trainT0.pth
