dataset,arch,method,method_label,T,sigma,condition,use_for_energy,n_seeds,n_samples,noise_position,accuracy_mean,accuracy_std,firing_density_mean_mean,firing_density_mean_std,firing_density_median_mean,firing_density_median_std,firing_density_p95_mean,firing_density_p95_std,event_synops_mean_mean,event_synops_mean_std,event_synops_median_mean,event_synops_median_std,event_synops_p95_mean,event_synops_p95_std,rest_acs_mean_mean,rest_acs_mean_std,rest_acs_median_mean,rest_acs_median_std,rest_acs_p95_mean,rest_acs_p95_std,energy_mJ_mean_mean,energy_mJ_mean_std,energy_mJ_median_mean,energy_mJ_median_std,energy_mJ_p95_mean,energy_mJ_p95_std
cifar10,vgg16,mne_l2,MNE-L2,8,1,noise,no,5,10000,post_input_if,89.76,0.17776388834630938,0.08282865198368648,0.0014558189186637818,0.08293781966614208,0.0014166484854179796,0.09904651230187723,0.0015998325835010843,440052611.4267725,713085.2705226922,437996591.325,673994.018895827,478547094.92749995,1266496.1840591738,426480515.4267725,713085.2705226922,424424495.325,673994.018895827,464974998.92749995,1266496.1840591738,0.4489490334840953,0.0006417767434704372,0.44709861539250007,0.0006065946170062264,0.4835940686347501,0.0011398465656532522
cifar10,vgg16,mne_l2,MNE-L2,16,0,clean,yes,5,10000,post_input_if,90.378,0.14498275759551624,0.08294631562377051,0.0013383089139893383,0.08305576242131295,0.0013258128422550912,0.09903557866597347,0.001541047457480305,406388369.59528744,2939608.02543365,402464455.275,2794495.8385328907,496371064.375,4241568.244521193,379244177.59528744,2939608.02543365,375320263.275,2794495.8385328907,469226872.375,4241568.244521193,0.4715528990357588,0.0026456472228902706,0.46802137614750006,0.0025150462546796007,0.5525373243375,0.0038174114200690964
cifar10,vgg16,mne_l2,MNE-L2,16,1,noise,no,5,10000,post_input_if,90.094,0.10237187113655648,0.08288674346704276,0.0014040014826479865,0.0830040142690535,0.0013823650505332204,0.09905874348372863,0.0015707691256893915,891641605.8687651,1452513.1305412136,888123773.55,1419194.787699232,968332126.4199998,2472143.7527472884,864497413.8687651,1452513.1305412136,860979581.55,1419194.787699232,941187934.4199998,2472143.7527472884,0.9082808116818886,0.001307261817487119,0.9051147625950001,0.0012772753089293255,0.977302280178,0.0022249293774725776
cifar100,vgg16,l2,L2,4,0,clean,yes,5,10000,post_input_if,61.83,0.46588625221184893,0.1058123755936657,0.00310375186179219,0.10637233377360611,0.0031627467058149383,0.12106579677664117,0.0035526564171509192,121057187.65782876,2175346.2984622037,121174880.75,2195629.2294116467,137225696.4625,2416949.827871243,114271139.65862875,2175346.2984622037,114388832.75,2195629.2294116467,130439648.4625,2416949.82787125,0.13540231049276588,0.0019578116686159823,0.135508234275,0.0019760663064704916,0.14995396841625003,0.002175254845084134
cifar100,vgg16,l2,L2,4,1,noise,no,5,10000,post_input_if,1.562,0.40406682615626843,0.13931979304251912,0.00534145797248886,0.13960531769896584,0.005325179355766383,0.1478710586218525,0.005651691131692476,259460747.50692502,2301091.0040274784,259517072.45,2306873.1957842014,262947167.8,2119214.569263583,252674699.507725,2301091.004027486,252731024.45,2306873.1957842014,256161119.8,2119214.569263583,0.25996551435695253,0.002070981903624741,0.260016206805,0.0020761858762057745,0.26310329262,0.0019072931123371968
cifar100,vgg16,l2,L2,8,0,clean,yes,5,10000,post_input_if,62.217999999999996,0.4878216887347233,0.10585521228817726,0.0031268286743675387,0.10642867054013039,0.0032051956691516535,0.12109815419149055,0.003579857661542332,245864238.67970252,4351073.695560784,246158243.95,4395039.4231701875,278190400.505,4812769.606393661,232292142.67970252,4351073.695560784,232586147.95,4395039.4231701875,264618304.50499997,4812769.606393657,0.27417949801173225,0.00391596632600472,0.27444410275500003,0.003955535480853172,0.30327304365450003,0.0043314926457543035
cifar100,vgg16,l2,L2,8,1,noise,no,5,10000,post_input_if,2.884,0.8326643981821248,0.12482690802924065,0.004925910411994963,0.12505212138882643,0.00497489955155488,0.1346938318485836,0.005026037247652484,499156337.06161004,3863828.368392104,499294683.95,3970862.0998291783,509839657.465,3606806.5162212225,485584241.06161004,3863828.368392104,485722587.95,3970862.0998291783,496267561.465,3606806.5162212225,0.5021423865554491,0.0034774455315529007,0.5022668987550001,0.0035737758898462184,0.5117573749185,0.003246125864599117
cifar100,vgg16,l2,L2,16,0,clean,yes,5,10000,post_input_if,62.272000000000006,0.3729879354617275,0.10587384142539484,0.003124978701497161,0.10644792515596897,0.003176495090180035,0.12108921407795639,0.003547224174277162,502146878.05294496,8706257.315774523,502868933.45,8769787.791883875,566400178.6600001,9722581.350153819,475002686.05294496,8706257.315774523,475724741.45,8769787.791883875,539255986.6600001,9722581.350153819,0.5577355566476505,0.007835631584197148,0.558385406505,0.007892809012695491,0.6155635271940001,0.008750323215138389
cifar100,vgg16,l2,L2,16,1,noise,no,5,10000,post_input_if,14.64,3.164861766333563,0.11387443934598415,0.004244130928186848,0.1140276353136241,0.004249110154036751,0.1259245311270515,0.004253734079500153,971365501.1078199,4700016.1936448645,970863735.1,5085634.365818443,1009071546.4799999,2832757.4463148033,944221309.1078199,4700016.1936448645,943719543.1,5085634.365818443,981927354.4799999,2832757.4463148033,0.980032317397038,0.004230014574280322,0.97958072799,0.004577070929236624,1.0139677582320001,0.0025494817016832854
cifar100,vgg16,l2_wo,L2-wo,4,0,clean,yes,5,10000,post_input_if,62.681999999999995,0.5420977771583273,0.10487843331975047,0.0007928421970140466,0.1054092956103867,0.0008684466855222932,0.11984690275123651,0.0011784917977717823,111864192.0779175,507344.8533755568,111796971.4375,501326.8643289997,127327990.91999999,750709.9129377668,105078144.0787175,507344.85337555426,105010923.4375,501326.8643289997,120541943.01499999,750710.0249784059,0.12712861447084575,0.00045661036803799806,0.12706811589375003,0.00045119417789611475,0.1410460335135,0.0006756390224805658
cifar100,vgg16,l2_wo,L2-wo,4,1,noise,no,5,10000,post_input_if,61.467999999999996,0.6045825005737383,0.10547501691420302,0.0010626988015828146,0.10600735232126798,0.0010968015460782056,0.1204244797521358,0.001394738074803192,219185804.77516064,747517.3477971317,218872625.9625,776156.067521287,231269561.30749997,855098.2060254801,212399756.77596062,747517.347797145,212086577.9625,776156.067521287,224483513.30749997,855098.2060254801,0.22371806589836457,0.0006727656130174115,0.22343620496625,0.0006985404607691473,0.23459344677675,0.0007695883854229296
cifar100,vgg16,l2_wo,L2-wo,8,0,clean,yes,5,10000,post_input_if,63.56999999999999,0.30732718721258784,0.10496968472487636,0.0008110171982526224,0.1055034390456385,0.0008567902780229704,0.11987774087370728,0.0012002130191762473,226650370.7466125,1109703.6879947206,226562813.1,1098283.0386395394,257601311.75499997,1626281.509801963,213078274.7466125,1109703.6879947206,212990717.1,1098283.0386395394,244029215.75499997,1626281.509801963,0.25688701687195126,0.000998733319195274,0.25680821499,0.0009884547347755945,0.28474286377950003,0.0014636533588217903
cifar100,vgg16,l2_wo,L2-wo,8,1,noise,no,5,10000,post_input_if,63.186,0.43826932358996085,0.10530125481255621,0.0009509999112166706,0.1058217439720099,0.000982635677416253,0.1201622173940535,0.0013086952176728885,441944131.66695005,1521071.3745342994,441408597.25,1553126.4483204214,466089971.10999995,1815370.0364610043,428372035.66695,1521071.3745342994,427836501.25,1553126.4483204214,452517875.10999995,1815370.0364610043,0.4506514017002551,0.0013689642370808542,0.450169420725,0.0013978138034883936,0.472382657199,0.001633833032814921
cifar100,vgg16,l2_wo,L2-wo,16,0,clean,yes,5,10000,post_input_if,63.826,0.264064386087939,0.10498150770008993,0.0008207688725562277,0.10552359382025629,0.0008773974024349694,0.11987710198052495,0.001209712761079622,462948788.26589,2346897.899858833,462935180.8,2280215.011055909,524477817.2,3438845.8957965747,435804596.26589,2346897.899858833,435790988.8,2280215.011055909,497333625.2,3438845.8957965747,0.5224572758393011,0.002112208109872915,0.52244502912,0.002052193509950343,0.5778334018800001,0.00309496130621693
