dataset,method,sigma,if_name,n_channels,r_mean,m_mean,q_mean,A_mean,p_cross_mean,p_bound_mean,D_mean,S_mean
cifar10,mne,0.25,classifier.5,4096,3800.2119140625,104.97044760565745,5.163609027862549,0.07021091986465929,0.018409716796875,0.004037886822085453,9.859588515247311e-09,7.406781286658145e-10
cifar10,mne,0.5,layer1.6,64,0.6464556390419602,19.544275157153606,1.0,0.519252484637799,0.08794551544189454,0.01767243096962047,5.137748148112389e-08,4.7104271127741925e-09
cifar10,mne,0.5,layer2.2,128,2.798697254154831,52.101418271660805,1.0,0.4260793726050935,0.0855166290283203,0.019615922687579224,3.6485700268768415e-08,3.487932776720655e-09
cifar10,mne,0.5,layer2.6,128,1.387623752001673,28.929920334368944,1.0,0.5394871676825586,0.07909869079589844,0.01900448695728555,2.1586237924312718e-08,1.7815431685067724e-09
cifar10,mne,0.5,layer3.2,256,3.3425832241773605,46.6018480733037,1.0,0.3643369769027289,0.06001438598632813,0.013322385603631847,1.8934019859410956e-08,1.1548361157195389e-09
cifar10,mne,0.5,layer3.6,256,2.722259094938636,39.39577656239271,1.0,0.4265675053606067,0.05856425781249999,0.012843661651643924,1.4656435649231794e-08,8.646799255888275e-10
cifar10,mne,0.5,layer3.10,256,3.3066837689839303,30.17420168966055,1.0,0.3332502357294949,0.057504547119140624,0.01292123766647419,8.436413269908216e-09,4.950620621322929e-10
cifar10,mne,0.5,layer4.2,512,6.781284699216485,28.372314363718033,1.0,0.20505908511365561,0.047481591796875,0.010330524310894543,2.7819075680758667e-09,1.3873768155003005e-10
cifar10,mne,0.5,layer4.6,512,0.8963012531166896,3.725966272642836,1.0,0.15033328030472612,0.04016265869140625,0.008718976777352509,8.418443888008635e-10,3.527726672252793e-11
cifar10,mne,0.5,layer4.10,512,0.3509016625757795,1.111981468333397,1.0,0.12334483244872599,0.0449728515625,0.009277025750163011,4.242385510709979e-10,1.971947881805955e-11
cifar10,mne,0.5,layer5.2,512,0.7211371042067185,2.187787742819637,1.0,0.15357696932953246,0.0567125,0.0120166274370451,1.007301781907683e-09,5.835879272002375e-11
cifar10,mne,0.5,layer5.6,512,0.5250040124519728,1.8067717504454777,1.0,0.171297209737211,0.06113232421875,0.012994972928948117,1.0309411855127405e-09,6.245516845911454e-11
cifar10,mne,0.5,layer5.10,512,2.634296366304625,11.002150679007173,1.0,0.47507365679862745,0.057177587890625,0.013798550641136621,6.5461247827357046e-09,4.344121776913014e-10
cifar10,mne,0.5,classifier.2,4096,1993.4873046875,42.326025728005334,2.2332608699798584,0.1565121901962151,0.029240112304687496,0.006143963697576369,5.902437988440957e-09,3.584614724279141e-10
cifar10,mne,0.5,classifier.5,4096,3800.2119140625,104.97044760565745,5.163609027862549,0.09632571707097562,0.023817578125,0.005518389316334905,9.859588515247311e-09,9.561882690853675e-10
cifar10,mne,1.0,layer1.6,64,0.6464556390419602,19.544275157153606,1.0,1.0385049685493872,0.15033136749267578,0.030188719222438522,5.137748148112389e-08,8.12903432409936e-09
cifar10,mne,1.0,layer2.2,128,2.798697254154831,52.101418271660805,1.0,0.8236195320875082,0.147524462890625,0.03354702369892839,3.6485700268768415e-08,6.059904211424711e-09
cifar10,mne,1.0,layer2.6,128,1.387623752001673,28.929920334368944,1.0,1.1505399100826659,0.1279983459472656,0.03184458078022581,2.1586237924312718e-08,2.89153644554307e-09
cifar10,mne,1.0,layer3.2,256,3.3425832241773605,46.6018480733037,1.0,0.7146130433606318,0.10431251220703125,0.023960988730355164,1.8934019859410956e-08,2.0005508404705695e-09
cifar10,mne,1.0,layer3.6,256,2.722259094938636,39.39577656239271,1.0,0.8091003930182147,0.09256203002929689,0.02186419899666216,1.4656435649231794e-08,1.3629343874884028e-09
cifar10,mne,1.0,layer3.10,256,3.3066837689839303,30.17420168966055,1.0,0.6282794870442261,0.092188720703125,0.02321616097786464,8.436413269908216e-09,7.932602532354932e-10
cifar10,mne,1.0,layer4.2,512,6.781284699216485,28.372314363718033,1.0,0.38728699327485544,0.0835271728515625,0.01940659141439246,2.7819075680758667e-09,2.435396393867827e-10
cifar10,mne,1.0,layer4.6,512,0.8963012531166896,3.725966272642836,1.0,0.2732314908062095,0.0680994140625,0.01586927867557388,8.418443888008635e-10,6.021261345648616e-11
cifar10,mne,1.0,layer4.10,512,0.3509016625757795,1.111981468333397,1.0,0.23013382880166977,0.07876136474609374,0.01734014111504075,4.242385510709979e-10,3.490895217038803e-11
cifar10,mne,1.0,layer5.2,512,0.7211371042067185,2.187787742819637,1.0,0.31916515789832756,0.108417529296875,0.024913983972673304,1.007301781907683e-09,1.1175562449629841e-10
cifar10,mne,1.0,layer5.6,512,0.5250040124519728,1.8067717504454777,1.0,0.35349722760470076,0.113572509765625,0.026729517136199865,1.0309411855127405e-09,1.1665268544854962e-10
cifar10,mne,1.0,layer5.10,512,2.634296366304625,11.002150679007173,1.0,0.9897679882455189,0.08931206054687499,0.02371866572426279,6.5461247827357046e-09,6.813339247216434e-10
cifar10,mne,1.0,classifier.2,4096,1993.4873046875,42.326025728005334,2.2332608699798584,0.3173222821538757,0.049303540039062496,0.011755550979647797,5.902437988440957e-09,5.997530080708442e-10
cifar10,mne,1.0,classifier.5,4096,3800.2119140625,104.97044760565745,5.163609027862549,0.19705477276464833,0.03803740234375,0.010068654360721997,9.859588515247311e-09,1.5223773817366853e-09
