arch,c1,c2,size_label,regularizer,L,T,if_mode,acc_mean,acc_std,n_seeds
cnn2_c4_c8,4,8,c4c8,weight_decay,32,8,normal,97.796000,0.427411,5
cnn2_c4_c8,4,8,c4c8,weight_decay,32,16,normal,97.996000,0.291685,5
cnn2_c4_c8,4,8,c4c8,weight_decay,32,32,normal,98.118000,0.198671,5
cnn2_c8_c16,8,16,c8c16,weight_decay,2,2,normal,98.420000,0.165378,5
cnn2_c8_c16,8,16,c8c16,weight_decay,2,4,normal,97.126000,1.254325,5
cnn2_c8_c16,8,16,c8c16,weight_decay,2,8,normal,97.824000,0.667031,5
cnn2_c8_c16,8,16,c8c16,weight_decay,2,16,normal,97.598000,0.828535,5
cnn2_c8_c16,8,16,c8c16,weight_decay,2,32,normal,97.638000,0.784423,5
cnn2_c8_c16,8,16,c8c16,weight_decay,4,2,normal,98.326000,0.281212,5
cnn2_c8_c16,8,16,c8c16,weight_decay,4,4,normal,98.666000,0.131453,5
cnn2_c8_c16,8,16,c8c16,weight_decay,4,8,normal,98.764000,0.094499,5
cnn2_c8_c16,8,16,c8c16,weight_decay,4,16,normal,98.788000,0.128919,5
cnn2_c8_c16,8,16,c8c16,weight_decay,4,32,normal,98.822000,0.143597,5
cnn2_c8_c16,8,16,c8c16,weight_decay,8,2,normal,97.730000,0.272580,5
cnn2_c8_c16,8,16,c8c16,weight_decay,8,4,normal,98.328000,0.137732,5
cnn2_c8_c16,8,16,c8c16,weight_decay,8,8,normal,98.576000,0.060249,5
cnn2_c8_c16,8,16,c8c16,weight_decay,8,16,normal,98.676000,0.122188,5
cnn2_c8_c16,8,16,c8c16,weight_decay,8,32,normal,98.726000,0.105499,5
cnn2_c8_c16,8,16,c8c16,weight_decay,16,2,normal,97.634000,0.401348,5
cnn2_c8_c16,8,16,c8c16,weight_decay,16,4,normal,98.224000,0.366033,5
cnn2_c8_c16,8,16,c8c16,weight_decay,16,8,normal,98.520000,0.188282,5
cnn2_c8_c16,8,16,c8c16,weight_decay,16,16,normal,98.640000,0.135647,5
cnn2_c8_c16,8,16,c8c16,weight_decay,16,32,normal,98.642000,0.089554,5
cnn2_c8_c16,8,16,c8c16,weight_decay,32,2,normal,97.736000,0.236707,5
cnn2_c8_c16,8,16,c8c16,weight_decay,32,4,normal,98.298000,0.112783,5
cnn2_c8_c16,8,16,c8c16,weight_decay,32,8,normal,98.630000,0.115974,5
cnn2_c8_c16,8,16,c8c16,weight_decay,32,16,normal,98.786000,0.047223,5
cnn2_c8_c16,8,16,c8c16,weight_decay,32,32,normal,98.822000,0.031145,5
